cavitynest_interactor,recorder,BBS_InteractionPairs_entry,BOW_citation,Genus,Species,English_Common_Name,French_Common_Name,Spanish_Common_Name,ORDER,Family,Seq,AOU
,,,,Dendrocygna,autumnalis,Black-bellied Whistling-Duck,Dendrocygne à ventre noir,Dendrocygna autumnalis,Anseriformes,Anatidae,6,1770
,,,,Dendrocygna,bicolor,Fulvous Whistling-Duck,Dendrocygne fauve,Dendrocygna bicolor,Anseriformes,Anatidae,7,1780
,,,,Anser,canagicus,Emperor Goose,Oie empereur,Anser canagicus,Anseriformes,Anatidae,8,1760
,,,,Anser,caerulescens,Snow Goose,Oie des neiges,Anser caerulescens,Anseriformes,Anatidae,9,1690
,,,,Anser,caerulescens (blue form),(Blue Goose) Snow Goose,Oie des neiges (forme bleue),Anser caerulescens (blue form),Anseriformes,Anatidae,10,1691
,,,,Anser,rossii,Ross's Goose,Oie de Ross,Anser rossii,Anseriformes,Anatidae,11,1700
,,,,Anser,albifrons,Greater White-fronted Goose,Oie rieuse,Anser albifrons,Anseriformes,Anatidae,13,1710
,,,,Branta,bernicla,Brant,Bernache cravant,Branta bernicla,Anseriformes,Anatidae,18,1730
,,,,Branta,bernicla nigricans,(Black Brant) Brant,Bernache cravant (groupe nigricans),Branta bernicla nigricans,Anseriformes,Anatidae,19,1740
,,,,Branta,hutchinsii,Cackling Goose,Bernache de Hutchins,Branta hutchinsii,Anseriformes,Anatidae,21,1725
,,,,Branta,canadensis,Canada Goose,Bernache du Canada,Branta canadensis,Anseriformes,Anatidae,22,1720
,,,,Cygnus,olor,Mute Swan,Cygne tuberculé,Cygnus olor,Anseriformes,Anatidae,23,1782
,,,,Cygnus,buccinator,Trumpeter Swan,Cygne trompette,Cygnus buccinator,Anseriformes,Anatidae,24,1810
,,,,Cygnus,columbianus,Tundra Swan,Cygne siffleur,Cygnus columbianus,Anseriformes,Anatidae,25,1800
,,,,Alopochen,aegyptiaca,Egyptian Goose,Ouette d'Égypte,Alopochen aegyptiaca,Anseriformes,Anatidae,27,20630
,,,,Cairina,moschata,Muscovy Duck,Canard musqué,Cairina moschata,Anseriformes,Anatidae,28,10210
secondary,MB/IH,4/2/2019-09/13/2022,"Hepp, G. R. and F. C. Bellrose (2020). Wood Duck (Aix sponsa), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.wooduc.01",Aix,sponsa,Wood Duck,Canard branchu,Aix sponsa,Anseriformes,Anatidae,29,1440
,,,,Spatula,discors,Blue-winged Teal,Sarcelle à ailes bleues,Spatula discors,Anseriformes,Anatidae,32,1400
,,,,Spatula,cyanoptera,Cinnamon Teal,Sarcelle cannelle,Spatula cyanoptera,Anseriformes,Anatidae,33,1410
,,,,Spatula,clypeata,Northern Shoveler,Canard souchet,Spatula clypeata,Anseriformes,Anatidae,34,1420
,,,,Mareca,strepera,Gadwall,Canard chipeau,Mareca strepera,Anseriformes,Anatidae,35,1350
,,,,Mareca,penelope,Eurasian Wigeon,Canard siffleur,Mareca penelope,Anseriformes,Anatidae,37,1360
,,,,Mareca,americana,American Wigeon,Canard d'Amérique,Mareca americana,Anseriformes,Anatidae,38,1370
