scientific_name.raw,common_name.raw,scientific_name.edit,edit_notes,comments
Turdus nudigenis,Bare-Eyed Thrush ,Turdus nudigenis,Turdus nudigenis = Spectacled Thrush on Clements 2024,No edit of scientific name: Turdus nudigenis = Spectacled Thrush on Clements 2024. There is a space before Turdus in the scientific_name.raw but not in the int.raw data; removed it here.
Acanthis hornemanni,Hoary Redpoll,Acanthis flammea hornemanni/exilipes,Hoary Redpoll = Acanthis flammea hornemanni/exilipes on Clement 2024,Repolls common name match:  Hoary-throated Spinetail 0.75 Synallaxis kollari ; scientific name match:  Acanthis flammea hornemanni 0.84 ;
Accipiter atricapillus,American Goshawk,Astur atricapillus,"Update to checklist Listed as American Goshawk, now genus Astur (Clements 2024)",
Accipiter gentilis,Northern Goshawk,Astur atricapillus,"Update to checklist Listed as American Goshawk, now genus Astur (Clements 2024)",FAILED common name match:  Northern Shrike 0.85 Lanius borealis ; scientific name match:  Accipiter nisus 0.86 ;
Accipiter gentilis,Goshawk,Astur atricapillus,"Update to checklist Listed as American Goshawk, now genus Astur (Clements 2024). Confirmed this is in N. America.",FAILED  common name match:  Red Goshawk 0.88 Erythrotriorchis radiatus ; scientific name match:  Accipiter nisus 0.86 ;
Accipiter gentilis laingi,Northern Goshawk,Astur atricapillus laingi,"Update to checklist Listed as American Goshawk, now genus Astur (Clements 2024). Confirmed this is in N. America.",FAILED  common name match:  Northern Shrike 0.85 Lanius borealis ; scientific name match:  Accipiter nisus granti 0.8 ;
Accipiter getilis,Northern Goshawk,Astur atricapillus,"Update to checklist Listed as American Goshawk, now genus Astur (Clements 2024)",FAILED  common name match:  Northern Shrike 0.85 Lanius borealis ; scientific name match:  Accipiter poliogaster 0.84 ;
Accipiter melanoleucus,Black Sparrowhawk,Astur melanoleucus,"Update to checklist Listed as Black Goshawk, now genus Astur (Clements 2024)",FAILED  common name match:  Levant Sparrowhawk 0.87 Tachyspiza brevipes ; scientific name match:  Spizaetus melanoleucus 0.84 ;
Agelaioides badius badius,,Agelaioides badius badius,Update to checklist: on Clements 2024; no update and no common name but is a subspecies of Grayish Baywing.,Space after the scientific_name.raw but no space in int.raw. Omitted space here. Agelaioides badius badius and Agelaioides badius bolivianus: Grayish Baywing subspecies but no common_name in CHECKLIST
Agelaioides badius fringillarius,,Agelaioides  fringillarius,"Update to checklist: on Clements 2024; Pale Baywing = Agelaioides fringillarius. ""Until recently, Pale Baywing was classified as a subspecies of the more southerly Grayish Baywing Agelaioides badius. """,Only species-level in Clements 2024
Anas flavirostris / anas andium,Speckled Teal,Anas andium/flavirostris,Update to checklist Andean/Yellow-billed Teal=Anas andium/flavirostris. According to BOW there is no Anas flavirostris / anas andium. Common name in int.raw is Speckled Teal but checklist is Andean/Yellow-billed Teal.  edited to match checklist (Clements 2024),FAILED common name match:  Speckled Rail 0.9 Laterallus notatus ; scientific name match:  Anas flavirostris 0.85 ;
Anas platyrhynchos domesticus,Domestic Duck,Anas platyrhynchos (Domestic type),Update to checklist Mallard (Domestic type)=Anas platyrhynchos (Domestic type). edited to match checklist (Clements 2024),FAILED  common name match:  Mexican Duck 0.81 Anas diazi ; scientific name match:  Anas platyrhynchos (Domestic type) 0.91 ;
Anas superciliosa rogersi,Australian Black Duck,Anas superciliosa,Update to checklist: Pacific Black Duck=Anas superciliosa. edited to match checklist (Clements 2024),FAILED common name match:  Australian Shelduck 0.83 Tadorna tadornoides ; scientific name match:  Anas superciliosa 0.89 ;
Aphelocoma woodhouseii suttoni,Woodhouse's Scrub-Jay (Suttoni),Aphelocoma woodhouseii,"Update to checklist at species level because unclear which subspecies (several are in Mexico), even though it is a subspecies in BBS: Pacific Black Duck=Anas superciliosa. edited to match checklist (Clements 2024)",OK common name match:  Woodhouse's Scrub-Jay 0.89 Aphelocoma woodhouseii ; scientific name match:  Aphelocoma woodhouseii cyanotis 0.92 ;
Argya affinis somervillei,Black-Winged Babbler,Argya striata somervillei,Update to checklist: BOW and checklist: 'Black-winged Babbler' is most likely Jungle Babbler (Black-winged) Argya striata somervillei,FAILED common name match:  Black-chinned Babbler 0.92 Cyanoderma pyrrhops ; scientific name match:  Argya affinis 0.84 ;
Branta canadensis minima,Cackling Canada Goose,Branta hutchinsii minima,Update to checklist Cackling Goose (minima)=Branta hutchinsii minima. edited to match checklist (Clements 2024),FAILED common name match:  Cackling/Canada Goose 0.91 character(0) ; scientific name match:  Branta canadensis maxima 0.92 ;
Branta canadensis/hutchinsii,Unid. Canada Goose /Cackling Goose,Branta hutchinsii/canadensis,Update to checklist Cackling/Canada Goose=Branta hutchinsii/canadensis. edited to match checklist (Clements 2024),FAILED common name match:  Canada Goose 0.7 Branta canadensis ; scientific name match:  Branta hutchinsii/canadensis 0.92 ;
Branta leucopsis x anser indicus,Hybrid Barnacle X Bar-Headed Goose,Anser indicus x Branta leucopsis,Update to checklist Bar-headed x Barnacle Goose (hybrid)=Anser indicus x Branta leucopsis. edited to match checklist (Clements 2024),FAILED common name match:  Hoary-headed Grebe 0.69 Poliocephalus poliocephalus ; scientific name match:  Branta leucopsis x canadensis 0.91 ;
Bubulcus ibis,Cattle Egret,Ardea ibis/coromanda,match to checklist but unspecified so either one of  these closely related species Western/Eastern Cattle-Egret       ,FAILED common name match:  Little Egret 0.86 Egretta garzetta ; scientific name match:  Caprimulgus nubicus 0.75 ;
Bulbucus ibis,Cattle Egret,Ardea ibis/coromanda,match to checklist but unspecified so either one of  these closely related species Western/Eastern Cattle-Egret       ,FAILED common name match:  Little Egret 0.86 Egretta garzetta ; scientific name match:  Caprimulgus nubicus 0.75 ;
Buteo polyosoma,Red-Backed Hawk,Geranoaetus polyosoma,Update to checklist Variable Hawk=Geranoaetus polyosoma. edited to match checklist (Clements 2024),FAILED common name match:  Red-backed Shrike 0.88 Lanius collurio ; scientific name match:  Buteo lagopus 0.78 ;
Cacomantis variolosus sepulcralis,Brush Cuckoo,Cacomantis variolosus,Update to checklist Sahul Brush Cuckoo=Cacomantis variolosus. Species-level assignment becayse subspecies exist but not this named subspecies. edited to match checklist (Clements 2024),FAILED common name match:  Barusan Cuckoo-Dove 0.83 Macropygia modiglianii ; scientific name match:  Cacomantis variolosus obscuratus 0.9 ;
Carduelis carduelis paropanisi,Eastern European Goldfinch,Carduelis caniceps paropanisi,Update to checklist Gray-crowned Goldfinch=(Carduelis caniceps). edited to match checklist (Clements 2024),"FAILED  common name match:  European Greenfinch 0.8 Chloris chloris ; scientific name match:  Carduelis carduelis parva 0.92. BOW account shows update to Carduelis caniceps paropanisi. 'The former caniceps group of subspecies, containing subspecies C. c. caniceps, C. c. paropanisi, C. c. subulata, and C. c. ultima, were shifted to a separate species, the grey-crowned goldfinch, by the International Ornithological Congress in 2023.   Carduelis caniceps paropanisi is the Grey-crowned Goldfinch (occurs in Asia only)'    "
Carduelis carduelis subulata,Eastern European Goldfinch,Carduelis caniceps subulata,Update to checklist Gray-crowned Goldfinch=(Carduelis caniceps). edited to match checklist (Clements 2024)," FAILED  common name match:  European Greenfinch 0.8 Chloris chloris ; scientific name match:  Carduelis carduelis 0.89 'The former caniceps group of subspecies, containing subspecies C. c. caniceps, C. c. paropanisi, C. c. subulata, and C. c. ultima, were shifted to a separate species, the grey-crowned goldfinch, by the International Ornithological Congress in 2023.   "
