"schema_name","file_count","ncols","earliest_latest_commit","latest_latest_commit","example_file","schema"
"schema_1",885,26,2023-03-07 20:30:55,2026-05-20 16:02:42,"C:/Users/kelly/OneDrive - Michigan State University/Research/AvianMetaNetwork/AvianMetaNetwork-Working/L0/species/Acridotheres_tristis_AH_EP.csv","BOW_evidence | effect_sp1_on_sp2 | effect_sp2_on_sp1 | entry_changes | entry_date | interaction | n_studies | name_changes | nonbreedingseason | notesA | notesB | notesC | notesD | OLDsourceA | OLDsourceB | other_species1 | recorder | sourceAupdatedURL | sourceBupdatedURL | sourceCupdatedURL | sourceDupdatedURL | species1_common | species1_scientific | species2_common | species2_scientific | uncertain_interaction"
"schema_2",210,24,2022-12-07 17:56:33,2026-05-20 15:20:41,"C:/Users/kelly/OneDrive - Michigan State University/Research/AvianMetaNetwork/AvianMetaNetwork-Working/L0/species/acanthis_flammea.csv","BOW_evidence | effect_sp1_on_sp2 | effect_sp2_on_sp1 | entry_changes | entry_date | interaction | n_studies | nonbreedingseason | notesA | notesB | notesC | notesD | OLDsourceA | OLDsourceB | recorder | sourceAupdatedURL | sourceBupdatedURL | sourceCupdatedURL | sourceDupdatedURL | species1_common | species1_scientific | species2_common | species2_scientific | uncertain_interaction"
"schema_3",80,22,2025-10-01 16:20:40,2026-04-16 17:04:43,"C:/Users/kelly/OneDrive - Michigan State University/Research/AvianMetaNetwork/AvianMetaNetwork-Working/L0/species/Aimophila_rufescens_LB_LM.csv","breeding_migration | DatabaseSearchURL | effect_sp1_on_sp2 | effect_sp2_on_sp1 | entry_changes | entry_date | interaction | interaction_strength | name_changes | other_species1 | recorder | source_citation | source_URL | species1_common | species1_lifestage | species1_scientific | species2_common | species2_lifestage | species2_scientific | text_excerpt | time_of_year | uncertain_interaction"
"schema_4",22,27,2024-10-18 21:03:27,2026-05-22 14:50:20,"C:/Users/kelly/OneDrive - Michigan State University/Research/AvianMetaNetwork/AvianMetaNetwork-Working/L0/species/Dendrortyx_leucophrys_AF_LB.csv","BOW_evidence | DatabaseSearchURL | effect_sp1_on_sp2 | effect_sp2_on_sp1 | entry_changes | entry_date | interaction | n_studies | name_changes | nonbreedingseason | notesA | notesB | notesC | notesD | OLDsourceA | OLDsourceB | other_species1 | recorder | sourceAupdatedURL | sourceBupdatedURL | sourceCupdatedURL | sourceDupdatedURL | species1_common | species1_scientific | species2_common | species2_scientific | uncertain_interaction"
"schema_5",22,25,2023-01-20 14:48:42,2026-02-05 01:52:33,"C:/Users/kelly/OneDrive - Michigan State University/Research/AvianMetaNetwork/AvianMetaNetwork-Working/L0/species/Anhinga_anhinga_IH_EP.csv","BOW_evidence | effect_sp1_on_sp2 | effect_sp2_on_sp1 | entry_changes | entry_date | interaction | n_studies | name_changes | nonbreedingseason | notesA | notesB | notesC | notesD | OLDsourceA | OLDsourceB | recorder | sourceAupdatedURL | sourceBupdatedURL | sourceCupdatedURL | sourceDupdatedURL | species1_common | species1_scientific | species2_common | species2_scientific | uncertain_interaction"
"schema_6",11,27,2026-02-20 17:51:40,2026-05-22 14:19:39,"C:/Users/kelly/OneDrive - Michigan State University/Research/AvianMetaNetwork/AvianMetaNetwork-Working/L0/species_in_review/Amaurospiza_concolor_VS.csv","country | DatabaseSearchURL | effect_tx1_on_tx2 | effect_tx2_on_tx1 | entry_changes | entry_date | interaction | interaction_excerpt | interaction_strength | location | name_changes | recorder | source_citation | source_URL | taxa1_common | taxa1_lifestage | taxa1_scientific | taxa2_common | taxa2_lifestage | taxa2_scientific | time_of_year | timing_location_excerpt | tx1_life_history_season | tx2_life_history_season | uncertain_interaction | version | year"
"schema_7",10,27,2024-10-08 17:23:19,2024-11-19 17:27:35,"C:/Users/kelly/OneDrive - Michigan State University/Research/AvianMetaNetwork/AvianMetaNetwork-Working/L0/species/Phaethornis_striigularis_CR.csv","BOW_evidence | effect_sp1_on_sp2 | effect_sp2_on_sp1 | entry_changes | entry_date | GoogleScholarURL | interaction | n_studies | name_changes | nonbreedingseason | notesA | notesB | notesC | notesD | OLDsourceA | OLDsourceB | other_species1 | recorder | sourceAupdatedURL | sourceBupdatedURL | sourceCupdatedURL | sourceDupdatedURL | species1_common | species1_scientific | species2_common | species2_scientific | uncertain_interaction"
"schema_8",3,25,2025-02-20 20:46:20,2025-04-16 21:53:19,"C:/Users/kelly/OneDrive - Michigan State University/Research/AvianMetaNetwork/AvianMetaNetwork-Working/L0/species_in_review/Selasphorus_heloisa_AJ.csv","BOW_evidence | DatabaseSearchURL | effect_sp1_on_sp2 | effect_sp2_on_sp1 | entry_changes | entry_date | interaction | n_studies | name_changes | nonbreedingseason | notesA | notesB | notesC | notesD | other_species1 | recorder | sourceA_URL | sourceB_URL | sourceC_URL | sourceD_URL | species1_common | species1_scientific | species2_common | species2_scientific | uncertain_interaction"
"schema_9",1,21,2025-10-08 15:02:30,2025-10-08 15:02:30,"C:/Users/kelly/OneDrive - Michigan State University/Research/AvianMetaNetwork/AvianMetaNetwork-Working/L0/species/Cyanolyca_cucullata_VS_CR.csv","09/03/2025 | breeding_migration | DatabaseSearchURL | effect_sp1_on_sp2 | effect_sp2_on_sp1 | entry_changes | interaction | interaction_strength | name_changes | other_species1 | recorder | source_URL | species1_common | species1_lifestage | species1_scientific | species2_common | species2_lifestage | species2_scientific | text_excerpt | time_of_year | uncertain_interaction"
"schema_10",1,26,2024-10-14 14:08:42,2024-10-14 14:08:42,"C:/Users/kelly/OneDrive - Michigan State University/Research/AvianMetaNetwork/AvianMetaNetwork-Working/L0/species_in_review/Poecilotriccus_sylvia_AJ.csv","BOW_evidence | effect_sp1_on_sp2 | effect_sp2_on_sp1 | entry_changes | entry_date | GoogleScholarURL | interaction | n_studies | name_changes | nonbreedingseason | notesA | notesB | notesC | notesD | OLDsourceA | OLDsourceB | recorder | sourceAupdatedURL | sourceBupdatedURL | sourceCupdatedURL | sourceDupdatedURL | species1_common | species1_scientific | species2_common | species2_scientific | uncertain_interaction"
