"incorrect","correct"
"ammenalism","amensalism"
"amensalism","amensalism"
"amenslism","amensalism"
"amenalism","amensalism"
"brood","brood parasitism"
"brood-parasitism","brood parasitism"
"brood parasitsm","brood parasitism"
"call mimicking","commensalism-call mimicry"
"call mimickry","commensalism-call mimicry"
"comensalism","commensalism"
"commenalism","commensalism"
"commesalism","commensalism"
"call mimicry","commensalism-call mimicry"
"commensalism -call mimicry","commensalism-call mimicry"
"commenslism - call mimicry","commensalism-call mimicry"
"commensalism-chick adoptio","commensalism-chick adoption"
"commesalism-call mimicry","commensalism-call mimicry"
"comeptition","competition"
"competiton","competition"
"competion","competition"
"competition - nest site","competition-nest site"
"courting","courtship"
"faciliation - comigration","facilitation-comigration"
"faciliation - comigration","facilitation-comigration"
"facilitation-comigrate","facilitation-comigration"
"facilitation-comigratio","facilitation-comigration"
"facilitaion-comigration","facilitation-comigration"
"faciltiation-mixed flocking","facilitation-mixed flocking"
"facillitation","facilitation"
"faciliation - mixed flocking","facilitation-mixed flocking"
"faciltation-mixed flocking","facilitation-mixed flocking"
"faciliation - mixed flocking","facilitation-mixed flocking"
"facilitation-mixed flock","facilitation-mixed flocking"
"faciltation-mixed flock","facilitation-mixed flocking"
"faciltiation-mixed flock","facilitation-mixed flocking"
"mixed flock","facilitation-mixed flocking"
"faciltation-feeding","facilitation-feeding"
"facilitation - feeding","facilitation-feeding"
"faciltiation-feeding","facilitation-feeding"
"faciliation-feeding","facilitation-feeding"
"faciliation-feeding","facilitation-feeding"
"faciltiation","facilitation"
"hybrization","hybridization"
"kleptoparasitsim","kleptoparasitism"
"kleptoparasitsm","kleptoparasitism"
"kleptoparisitism","kleptoparasitism"
"kleptoparasitism of nest material","kleptoparasitism-nest material"
"parasitism","brood parasitism"
"predation-scavenger","predation-scavenging"
