cavitynest_interactor,Region,recorder,InteractionPairs_entry,BOW_citation,Genus,Species,English_Common_Name,French_Common_Name,Spanish_Common_Name,ORDER,Family,BBS_Seq,BBS_AOU2023,new_in_2023BBS_specieslist,SpeciesList,notes
tertiary,CONUS & Canada,EP,11/22/2022,"James, J. D. and J. E. Thompson (2020). Black-bellied Whistling-Duck (Dendrocygna autumnalis), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.bbwduc.01",Dendrocygna,autumnalis,Black-bellied Whistling-Duck,Dendrocygne à ventre noir,Dendrocygna autumnalis,Anseriformes,Anatidae,6,1770,,BBS2022,
tertiary,CONUS & Canada,EP,11/22/2022,"Hohman, W. L. and S. A. Lee (2020). Fulvous Whistling-Duck (Dendrocygna bicolor), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.fuwduc.01",Dendrocygna,bicolor,Fulvous Whistling-Duck,Dendrocygne fauve,Dendrocygna bicolor,Anseriformes,Anatidae,7,1780,,BBS2022,
quaternary,CONUS & Canada,IH,8/31/2023-9/7/2023,"Schmutz, J. A., M. R. Petersen, and R. F. Rockwell (2020). Emperor Goose (Anser canagicus), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.empgoo.01",Anser,canagicus,Emperor Goose,Oie empereur,Anser canagicus,Anseriformes,Anatidae,8,1760,,BBS2022,
tertiary,CONUS & Canada,EP,11/22/2022,"Mowbray, T. B., F. Cooke, and B. Ganter (2020). Snow Goose (Anser caerulescens), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.snogoo.01",Anser,caerulescens,Snow Goose,Oie des neiges,Anser caerulescens,Anseriformes,Anatidae,9,1690,,BBS2022,
tertiary,CONUS & Canada,EP,11/22/2022,"Mowbray, T. B., F. Cooke, and B. Ganter (2020). Snow Goose (Anser caerulescens), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.snogoo.01",Anser,caerulescens (blue form),(Blue Goose) Snow Goose,Oie des neiges (forme bleue),Anser caerulescens (blue form),Anseriformes,Anatidae,10,1691,,BBS2022,
,CONUS & Canada,EH,11/9/2023,"Jónsson, J. E., J. P. Ryder, and R. T. Alisauskas (2020). Ross's Goose (Anser rossii), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.rosgoo.01",Anser,rossii,Ross's Goose,Oie de Ross,Anser rossii,Anseriformes,Anatidae,11,1700,,BBS2022,
tertiary,CONUS & Canada,EP/GD,9/8/2023-9/18/2023,"Ely, C. R., A. X. Dzubin, C. Carboneras, G. M. Kirwan, and E. F. J. Garcia (2020). Greater White-fronted Goose (Anser albifrons), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.gwfgoo.01 ",Anser,albifrons,Greater White-fronted Goose,Oie rieuse,Anser albifrons,Anseriformes,Anatidae,13,1710,,BBS2022,
tertiary,CONUS & Canada,EP,11/23/2022,"Lewis, T. L., D. H. Ward, J. S. Sedinger, A. Reed, D. V. Derksen, C. Carboneras, D. A. Christie, and G. M. Kirwan (2020). Brant (Branta bernicla), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.brant.01",Branta,bernicla,Brant,Bernache cravant,Branta bernicla,Anseriformes,Anatidae,18,1730,,BBS2022,
tertiary,CONUS & Canada,EP,11/23/2022,"Lewis, T. L., D. H. Ward, J. S. Sedinger, A. Reed, D. V. Derksen, C. Carboneras, D. A. Christie, and G. M. Kirwan (2020). Brant (Branta bernicla), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.brant.01",Branta,bernicla nigricans,(Black Brant) Brant,Bernache cravant (groupe nigricans),Branta bernicla nigricans,Anseriformes,Anatidae,19,1740,,BBS2022,
tertiary,CONUS & Canada,IH ,9/7/2023-9/12/2023,"Mowbray, T. B., C. R. Ely, J. S. Sedinger, and R. E. Trost (2020). Cackling Goose (Branta hutchinsii), version 1.0. In Birds of the World (P. G. Rodewald and B. K. Keeney, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.cacgoo1.01",Branta,hutchinsii,Cackling Goose,Bernache de Hutchins,Branta hutchinsii,Anseriformes,Anatidae,21,1725,,BBS2022,
