common_name,scientific_name,status,order,family,region
Black-bellied Whistling-Duck,Dendrocygna autumnalis,Rare/Accidental,ANSERIFORMES,Anatidae,CA
Fulvous Whistling-Duck,Dendrocygna bicolor,Rare/Accidental,ANSERIFORMES,Anatidae,CA
Bar-headed Goose,Anser indicus,Uncertain origin,ANSERIFORMES,Anatidae,CA
Emperor Goose,Anser canagicus,Rare/Accidental,ANSERIFORMES,Anatidae,CA
Snow Goose,Anser caerulescens,,ANSERIFORMES,Anatidae,CA
Ross's Goose,Anser rossii,Breeding endemic,ANSERIFORMES,Anatidae,CA
Graylag Goose,Anser anser,Rare/Accidental,ANSERIFORMES,Anatidae,CA
Greater White-fronted Goose,Anser albifrons,,ANSERIFORMES,Anatidae,CA
Taiga Bean-Goose,Anser fabalis,Rare/Accidental,ANSERIFORMES,Anatidae,CA
Tundra Bean-Goose,Anser serrirostris,Rare/Accidental,ANSERIFORMES,Anatidae,CA
Pink-footed Goose,Anser brachyrhynchus,Rare/Accidental,ANSERIFORMES,Anatidae,CA
Brant,Branta bernicla,,ANSERIFORMES,Anatidae,CA
Barnacle Goose,Branta leucopsis,Rare/Accidental,ANSERIFORMES,Anatidae,CA
Cackling Goose,Branta hutchinsii,,ANSERIFORMES,Anatidae,CA
Canada Goose,Branta canadensis,,ANSERIFORMES,Anatidae,CA
Mute Swan,Cygnus olor,Introduced species,ANSERIFORMES,Anatidae,CA
Trumpeter Swan,Cygnus buccinator,,ANSERIFORMES,Anatidae,CA
Tundra Swan,Cygnus columbianus,,ANSERIFORMES,Anatidae,CA
Whooper Swan,Cygnus cygnus,Rare/Accidental,ANSERIFORMES,Anatidae,CA
Ruddy Shelduck,Tadorna ferruginea,Uncertain origin,ANSERIFORMES,Anatidae,CA
Common Shelduck,Tadorna tadorna,Rare/Accidental,ANSERIFORMES,Anatidae,CA
Wood Duck,Aix sponsa,,ANSERIFORMES,Anatidae,CA
Baikal Teal,Sibirionetta formosa,Rare/Accidental,ANSERIFORMES,Anatidae,CA
Garganey,Spatula querquedula,Rare/Accidental,ANSERIFORMES,Anatidae,CA
Blue-winged Teal,Spatula discors,,ANSERIFORMES,Anatidae,CA
Cinnamon Teal,Spatula cyanoptera,,ANSERIFORMES,Anatidae,CA
Northern Shoveler,Spatula clypeata,,ANSERIFORMES,Anatidae,CA
Gadwall,Mareca strepera,,ANSERIFORMES,Anatidae,CA
Falcated Duck,Mareca falcata,Rare/Accidental,ANSERIFORMES,Anatidae,CA
Eurasian Wigeon,Mareca penelope,,ANSERIFORMES,Anatidae,CA
American Wigeon,Mareca americana,,ANSERIFORMES,Anatidae,CA
