common_name,scientific_name,status,order,family,region
White-faced Whistling-Duck,Dendrocygna viduata,Rare/Accidental,ANSERIFORMES,Anatidae,CAR
Black-bellied Whistling-Duck,Dendrocygna autumnalis,,ANSERIFORMES,Anatidae,CAR
West Indian Whistling-Duck,Dendrocygna arborea,Endemic Near-threatened,ANSERIFORMES,Anatidae,CAR
Fulvous Whistling-Duck,Dendrocygna bicolor,,ANSERIFORMES,Anatidae,CAR
Snow Goose,Anser caerulescens,,ANSERIFORMES,Anatidae,CAR
Ross's Goose,Anser rossii,Rare/Accidental,ANSERIFORMES,Anatidae,CAR
Greater White-fronted Goose,Anser albifrons,Rare/Accidental,ANSERIFORMES,Anatidae,CAR
Brant,Branta bernicla,Rare/Accidental,ANSERIFORMES,Anatidae,CAR
Canada Goose,Branta canadensis,,ANSERIFORMES,Anatidae,CAR
Tundra Swan,Cygnus columbianus,Rare/Accidental,ANSERIFORMES,Anatidae,CAR
Orinoco Goose,Oressochen jubatus,Rare/Accidental Near-threatened,ANSERIFORMES,Anatidae,CAR
Egyptian Goose,Alopochen aegyptiaca,Introduced species,ANSERIFORMES,Anatidae,CAR
Common Shelduck,Tadorna tadorna,Rare/Accidental,ANSERIFORMES,Anatidae,CAR
Muscovy Duck,Cairina moschata,Introduced species,ANSERIFORMES,Anatidae,CAR
Wood Duck,Aix sponsa,,ANSERIFORMES,Anatidae,CAR
Garganey,Spatula querquedula,Rare/Accidental,ANSERIFORMES,Anatidae,CAR
Blue-winged Teal,Spatula discors,,ANSERIFORMES,Anatidae,CAR
Cinnamon Teal,Spatula cyanoptera,,ANSERIFORMES,Anatidae,CAR
Northern Shoveler,Spatula clypeata,,ANSERIFORMES,Anatidae,CAR
Gadwall,Mareca strepera,,ANSERIFORMES,Anatidae,CAR
Eurasian Wigeon,Mareca penelope,,ANSERIFORMES,Anatidae,CAR
American Wigeon,Mareca americana,,ANSERIFORMES,Anatidae,CAR
Mallard,Anas platyrhynchos,,ANSERIFORMES,Anatidae,CAR
American Black Duck,Anas rubripes,Rare/Accidental,ANSERIFORMES,Anatidae,CAR
Mottled Duck,Anas fulvigula,Rare/Accidental,ANSERIFORMES,Anatidae,CAR
White-cheeked Pintail,Anas bahamensis,,ANSERIFORMES,Anatidae,CAR
Northern Pintail,Anas acuta,,ANSERIFORMES,Anatidae,CAR
Green-winged Teal,Anas crecca,,ANSERIFORMES,Anatidae,CAR
Canvasback,Aythya valisineria,Rare/Accidental,ANSERIFORMES,Anatidae,CAR
Redhead,Aythya americana,,ANSERIFORMES,Anatidae,CAR
Common Pochard,Aythya ferina,Rare/Accidental Vulnerable,ANSERIFORMES,Anatidae,CAR
Ring-necked Duck,Aythya collaris,,ANSERIFORMES,Anatidae,CAR
Ferruginous Duck,Aythya nyroca,Rare/Accidental Near-threatened,ANSERIFORMES,Anatidae,CAR
Tufted Duck,Aythya fuligula,Rare/Accidental,ANSERIFORMES,Anatidae,CAR
Greater Scaup,Aythya marila,Rare/Accidental,ANSERIFORMES,Anatidae,CAR
Lesser Scaup,Aythya affinis,,ANSERIFORMES,Anatidae,CAR
Common Eider,Somateria mollissima,Rare/Accidental Near-threatened,ANSERIFORMES,Anatidae,CAR
Surf Scoter,Melanitta perspicillata,Rare/Accidental,ANSERIFORMES,Anatidae,CAR
White-winged Scoter,Melanitta deglandi,Rare/Accidental,ANSERIFORMES,Anatidae,CAR
Black Scoter,Melanitta americana,Rare/Accidental Near-threatened,ANSERIFORMES,Anatidae,CAR
Long-tailed Duck,Clangula hyemalis,Rare/Accidental Vulnerable,ANSERIFORMES,Anatidae,CAR
Bufflehead,Bucephala albeola,,ANSERIFORMES,Anatidae,CAR
Hooded Merganser,Lophodytes cucullatus,,ANSERIFORMES,Anatidae,CAR
Common Merganser,Mergus merganser,Rare/Accidental,ANSERIFORMES,Anatidae,CAR
Red-breasted Merganser,Mergus serrator,Rare/Accidental,ANSERIFORMES,Anatidae,CAR
Masked Duck,Nomonyx dominicus,,ANSERIFORMES,Anatidae,CAR
Ruddy Duck,Oxyura jamaicensis,,ANSERIFORMES,Anatidae,CAR
Andean Duck,Oxyura ferruginea,Uncertain origin,ANSERIFORMES,Anatidae,CAR
Rufous-vented Chachalaca,Ortalis ruficauda,,GALLIFORMES,Cracidae,CAR
Helmeted Guineafowl,Numida meleagris,Introduced species,GALLIFORMES,Numididae,CAR
Northern Bobwhite,Colinus virginianus,Near-threatened,GALLIFORMES,Odontophoridae,CAR
Crested Bobwhite,Colinus cristatus,Extirpated,GALLIFORMES,Odontophoridae,CAR
California Quail,Callipepla californica,Extirpated,GALLIFORMES,Odontophoridae,CAR
Ring-necked Pheasant,Phasianus colchicus,Extirpated,GALLIFORMES,Phasianidae,CAR
Indian Peafowl,Pavo cristatus,Introduced species,GALLIFORMES,Phasianidae,CAR
Red Junglefowl,Gallus gallus,Introduced species,GALLIFORMES,Phasianidae,CAR
Red-legged Partridge,Alectoris rufa,Extirpated Near-threatened,GALLIFORMES,Phasianidae,CAR
Rock Pigeon,Columba livia,Introduced species,COLUMBIFORMES,Columbidae,CAR
Scaly-naped Pigeon,Patagioenas squamosa,,COLUMBIFORMES,Columbidae,CAR
Bare-eyed Pigeon,Patagioenas corensis,Introduced species,COLUMBIFORMES,Columbidae,CAR
White-crowned Pigeon,Patagioenas leucocephala,Near-threatened,COLUMBIFORMES,Columbidae,CAR
Plain Pigeon,Patagioenas inornata,Endemic Near-threatened,COLUMBIFORMES,Columbidae,CAR
Ring-tailed Pigeon,Patagioenas caribaea,Endemic Vulnerable,COLUMBIFORMES,Columbidae,CAR
Passenger Pigeon,Ectopistes migratorius,Rare/Accidental Extinct,COLUMBIFORMES,Columbidae,CAR
Eurasian Collared-Dove,Streptopelia decaocto,Introduced species,COLUMBIFORMES,Columbidae,CAR
African Collared-Dove,Streptopelia roseogrisea,Introduced species,COLUMBIFORMES,Columbidae,CAR
Spotted Dove,Spilopelia chinensis,Extirpated,COLUMBIFORMES,Columbidae,CAR
Common Ground Dove,Columbina passerina,,COLUMBIFORMES,Columbidae,CAR
Blue-headed Quail-Dove,Starnoenas cyanocephala,Endemic Endangered,COLUMBIFORMES,Columbidae,CAR
Crested Quail-Dove,Geotrygon versicolor,Endemic Near-threatened,COLUMBIFORMES,Columbidae,CAR
Ruddy Quail-Dove,Geotrygon montana,,COLUMBIFORMES,Columbidae,CAR
Gray-fronted Quail-Dove,Geotrygon caniceps,Endemic Vulnerable,COLUMBIFORMES,Columbidae,CAR
White-fronted Quail-Dove,Geotrygon leucometopia,Endemic Endangered,COLUMBIFORMES,Columbidae,CAR
Key West Quail-Dove,Geotrygon chrysia,Endemic,COLUMBIFORMES,Columbidae,CAR
Bridled Quail-Dove,Geotrygon mystacea,Endemic,COLUMBIFORMES,Columbidae,CAR
Caribbean Dove,Leptotila jamaicensis,,COLUMBIFORMES,Columbidae,CAR
Gray-headed Dove,Leptotila plumbeiceps,,COLUMBIFORMES,Columbidae,CAR
Grenada Dove,Leptotila wellsi,Endemic Critically endangered,COLUMBIFORMES,Columbidae,CAR
White-winged Dove,Zenaida asiatica,,COLUMBIFORMES,Columbidae,CAR
Zenaida Dove,Zenaida aurita,,COLUMBIFORMES,Columbidae,CAR
Eared Dove,Zenaida auriculata,,COLUMBIFORMES,Columbidae,CAR
Mourning Dove,Zenaida macroura,,COLUMBIFORMES,Columbidae,CAR
Pied Imperial-Pigeon,Ducula bicolor,Introduced species,COLUMBIFORMES,Columbidae,CAR
Greater Ani,Crotophaga major,Rare/Accidental,CUCULIFORMES,Cuculidae,CAR
Smooth-billed Ani,Crotophaga ani,,CUCULIFORMES,Cuculidae,CAR
Dark-billed Cuckoo,Coccyzus melacoryphus,Rare/Accidental,CUCULIFORMES,Cuculidae,CAR
Yellow-billed Cuckoo,Coccyzus americanus,,CUCULIFORMES,Cuculidae,CAR
Pearly-breasted Cuckoo,Coccyzus euleri,Rare/Accidental,CUCULIFORMES,Cuculidae,CAR
Mangrove Cuckoo,Coccyzus minor,,CUCULIFORMES,Cuculidae,CAR
Black-billed Cuckoo,Coccyzus erythropthalmus,,CUCULIFORMES,Cuculidae,CAR
Chestnut-bellied Cuckoo,Coccyzus pluvialis,Endemic,CUCULIFORMES,Cuculidae,CAR
Bay-breasted Cuckoo,Coccyzus rufigularis,Endemic Endangered,CUCULIFORMES,Cuculidae,CAR
Jamaican Lizard-Cuckoo,Coccyzus vetula,Endemic,CUCULIFORMES,Cuculidae,CAR
Puerto Rican Lizard-Cuckoo,Coccyzus vieilloti,Endemic,CUCULIFORMES,Cuculidae,CAR
Great Lizard-Cuckoo,Coccyzus merlini,Endemic,CUCULIFORMES,Cuculidae,CAR
Hispaniolan Lizard-Cuckoo,Coccyzus longirostris,Endemic,CUCULIFORMES,Cuculidae,CAR
Common Cuckoo,Cuculus canorus,Rare/Accidental,CUCULIFORMES,Cuculidae,CAR
Lesser Nighthawk,Chordeiles acutipennis,Rare/Accidental,CAPRIMULGIFORMES,Caprimulgidae,CAR
Common Nighthawk,Chordeiles minor,,CAPRIMULGIFORMES,Caprimulgidae,CAR
Antillean Nighthawk,Chordeiles gundlachii,,CAPRIMULGIFORMES,Caprimulgidae,CAR
White-tailed Nightjar,Hydropsalis cayennensis,,CAPRIMULGIFORMES,Caprimulgidae,CAR
Jamaican Pauraque,Siphonorhis americana,Endemic Critically endangered,CAPRIMULGIFORMES,Caprimulgidae,CAR
Least Pauraque,Siphonorhis brewsteri,Endemic Near-threatened,CAPRIMULGIFORMES,Caprimulgidae,CAR
Chuck-will's-widow,Antrostomus carolinensis,Near-threatened,CAPRIMULGIFORMES,Caprimulgidae,CAR
Rufous Nightjar,Antrostomus rufus,,CAPRIMULGIFORMES,Caprimulgidae,CAR
Cuban Nightjar,Antrostomus cubanensis,Endemic,CAPRIMULGIFORMES,Caprimulgidae,CAR
Hispaniolan Nightjar,Antrostomus ekmani,Endemic,CAPRIMULGIFORMES,Caprimulgidae,CAR
Eastern Whip-poor-will,Antrostomus vociferus,Rare/Accidental Near-threatened,CAPRIMULGIFORMES,Caprimulgidae,CAR
Puerto Rican Nightjar,Antrostomus noctitherus,Endemic Vulnerable,CAPRIMULGIFORMES,Caprimulgidae,CAR
Northern Potoo,Nyctibius jamaicensis,,NYCTIBIIFORMES,Nyctibiidae,CAR
Black Swift,Cypseloides niger,Vulnerable,APODIFORMES,Apodidae,CAR
White-collared Swift,Streptoprocne zonaris,,APODIFORMES,Apodidae,CAR
Gray-rumped Swift,Chaetura cinereiventris,,APODIFORMES,Apodidae,CAR
