common_name,scientific_name,status,order,family,region
Greater Rhea,Rhea americana,Near-threatened,RHEIFORMES,Rheidae,SAM
Lesser Rhea,Rhea pennata,,RHEIFORMES,Rheidae,SAM
Tawny-breasted Tinamou,Nothocercus julius,,TINAMIFORMES,Tinamidae,SAM
Highland Tinamou,Nothocercus bonapartei,,TINAMIFORMES,Tinamidae,SAM
Hooded Tinamou,Nothocercus nigrocapillus,,TINAMIFORMES,Tinamidae,SAM
Gray Tinamou,Tinamus tao,Vulnerable,TINAMIFORMES,Tinamidae,SAM
Solitary Tinamou,Tinamus solitarius,Near-threatened,TINAMIFORMES,Tinamidae,SAM
Black Tinamou,Tinamus osgoodi,Vulnerable,TINAMIFORMES,Tinamidae,SAM
Great Tinamou,Tinamus major,,TINAMIFORMES,Tinamidae,SAM
White-throated Tinamou,Tinamus guttatus,Near-threatened,TINAMIFORMES,Tinamidae,SAM
Cinereous Tinamou,Crypturellus cinereus,,TINAMIFORMES,Tinamidae,SAM
Berlepsch's Tinamou,Crypturellus berlepschi,,TINAMIFORMES,Tinamidae,SAM
Little Tinamou,Crypturellus soui,,TINAMIFORMES,Tinamidae,SAM
Tepui Tinamou,Crypturellus ptaritepui,,TINAMIFORMES,Tinamidae,SAM
Brown Tinamou,Crypturellus obsoletus,,TINAMIFORMES,Tinamidae,SAM
Undulated Tinamou,Crypturellus undulatus,,TINAMIFORMES,Tinamidae,SAM
Pale-browed Tinamou,Crypturellus transfasciatus,Near-threatened,TINAMIFORMES,Tinamidae,SAM
Brazilian Tinamou,Crypturellus strigulosus,,TINAMIFORMES,Tinamidae,SAM
Gray-legged Tinamou,Crypturellus duidae,,TINAMIFORMES,Tinamidae,SAM
Red-legged Tinamou,Crypturellus erythropus,,TINAMIFORMES,Tinamidae,SAM
Yellow-legged Tinamou,Crypturellus noctivagus,Near-threatened,TINAMIFORMES,Tinamidae,SAM
Black-capped Tinamou,Crypturellus atrocapillus,,TINAMIFORMES,Tinamidae,SAM
Choco Tinamou,Crypturellus kerriae,Near-threatened,TINAMIFORMES,Tinamidae,SAM
Variegated Tinamou,Crypturellus variegatus,,TINAMIFORMES,Tinamidae,SAM
Rusty Tinamou,Crypturellus brevirostris,,TINAMIFORMES,Tinamidae,SAM
Bartlett's Tinamou,Crypturellus bartletti,,TINAMIFORMES,Tinamidae,SAM
Small-billed Tinamou,Crypturellus parvirostris,,TINAMIFORMES,Tinamidae,SAM
Barred Tinamou,Crypturellus casiquiare,,TINAMIFORMES,Tinamidae,SAM
Tataupa Tinamou,Crypturellus tataupa,,TINAMIFORMES,Tinamidae,SAM
Red-winged Tinamou,Rhynchotus rufescens,,TINAMIFORMES,Tinamidae,SAM
Huayco Tinamou,Rhynchotus maculicollis,,TINAMIFORMES,Tinamidae,SAM
Taczanowski's Tinamou,Nothoprocta taczanowskii,Vulnerable,TINAMIFORMES,Tinamidae,SAM
Ornate Tinamou,Nothoprocta ornata,,TINAMIFORMES,Tinamidae,SAM
Chilean Tinamou,Nothoprocta perdicaria,,TINAMIFORMES,Tinamidae,SAM
Brushland Tinamou,Nothoprocta cinerascens,,TINAMIFORMES,Tinamidae,SAM
Andean Tinamou,Nothoprocta pentlandii,,TINAMIFORMES,Tinamidae,SAM
Curve-billed Tinamou,Nothoprocta curvirostris,,TINAMIFORMES,Tinamidae,SAM
White-bellied Nothura,Nothura boraquira,,TINAMIFORMES,Tinamidae,SAM
Lesser Nothura,Nothura minor,Vulnerable,TINAMIFORMES,Tinamidae,SAM
Darwin's Nothura,Nothura darwinii,,TINAMIFORMES,Tinamidae,SAM
Spotted Nothura,Nothura maculosa,,TINAMIFORMES,Tinamidae,SAM
Dwarf Tinamou,Taoniscus nanus,Endangered,TINAMIFORMES,Tinamidae,SAM
Elegant Crested-Tinamou,Eudromia elegans,,TINAMIFORMES,Tinamidae,SAM
Quebracho Crested-Tinamou,Eudromia formosa,,TINAMIFORMES,Tinamidae,SAM
Puna Tinamou,Tinamotis pentlandii,,TINAMIFORMES,Tinamidae,SAM
Patagonian Tinamou,Tinamotis ingoufi,,TINAMIFORMES,Tinamidae,SAM
Horned Screamer,Anhima cornuta,,ANSERIFORMES,Anhimidae,SAM
Southern Screamer,Chauna torquata,,ANSERIFORMES,Anhimidae,SAM
Northern Screamer,Chauna chavaria,,ANSERIFORMES,Anhimidae,SAM
White-faced Whistling-Duck,Dendrocygna viduata,,ANSERIFORMES,Anatidae,SAM
Black-bellied Whistling-Duck,Dendrocygna autumnalis,,ANSERIFORMES,Anatidae,SAM
West Indian Whistling-Duck,Dendrocygna arborea,Near-threatened,ANSERIFORMES,Anatidae,SAM
Fulvous Whistling-Duck,Dendrocygna bicolor,,ANSERIFORMES,Anatidae,SAM
Snow Goose,Anser caerulescens,,ANSERIFORMES,Anatidae,SAM
Graylag Goose,Anser anser,Introduced species,ANSERIFORMES,Anatidae,SAM
