common_name,scientific_name,status,order,family,region
Little Tinamou,Crypturellus soui,,TINAMIFORMES,Tinamidae,TT
Horned Screamer,Anhima cornuta,Extirpated,ANSERIFORMES,Anhimidae,TT
White-faced Whistling-Duck,Dendrocygna viduata,,ANSERIFORMES,Anatidae,TT
Black-bellied Whistling-Duck,Dendrocygna autumnalis,,ANSERIFORMES,Anatidae,TT
Fulvous Whistling-Duck,Dendrocygna bicolor,,ANSERIFORMES,Anatidae,TT
Snow Goose,Anser caerulescens,Rare/Accidental,ANSERIFORMES,Anatidae,TT
Comb Duck,Sarkidiornis sylvicola,Rare/Accidental,ANSERIFORMES,Anatidae,TT
Muscovy Duck,Cairina moschata,Rare/Accidental,ANSERIFORMES,Anatidae,TT
Blue-winged Teal,Spatula discors,,ANSERIFORMES,Anatidae,TT
Northern Shoveler,Spatula clypeata,Rare/Accidental,ANSERIFORMES,Anatidae,TT
Eurasian Wigeon,Mareca penelope,Rare/Accidental,ANSERIFORMES,Anatidae,TT
American Wigeon,Mareca americana,Rare/Accidental,ANSERIFORMES,Anatidae,TT
White-cheeked Pintail,Anas bahamensis,,ANSERIFORMES,Anatidae,TT
Northern Pintail,Anas acuta,Rare/Accidental,ANSERIFORMES,Anatidae,TT
Green-winged Teal,Anas crecca,Rare/Accidental,ANSERIFORMES,Anatidae,TT
Southern Pochard,Netta erythrophthalma,Rare/Accidental,ANSERIFORMES,Anatidae,TT
Ring-necked Duck,Aythya collaris,Rare/Accidental,ANSERIFORMES,Anatidae,TT
Lesser Scaup,Aythya affinis,Rare/Accidental,ANSERIFORMES,Anatidae,TT
Masked Duck,Nomonyx dominicus,,ANSERIFORMES,Anatidae,TT
Rufous-vented Chachalaca,Ortalis ruficauda,,GALLIFORMES,Cracidae,TT
Trinidad Piping-Guan,Pipile pipile,Endemic Critically endangered,GALLIFORMES,Cracidae,TT
Rock Pigeon,Columba livia,Introduced species,COLUMBIFORMES,Columbidae,TT
Pale-vented Pigeon,Patagioenas cayennensis,,COLUMBIFORMES,Columbidae,TT
Scaled Pigeon,Patagioenas speciosa,,COLUMBIFORMES,Columbidae,TT
Scaly-naped Pigeon,Patagioenas squamosa,Rare/Accidental,COLUMBIFORMES,Columbidae,TT
Band-tailed Pigeon,Patagioenas fasciata,Extirpated,COLUMBIFORMES,Columbidae,TT
Eurasian Collared-Dove,Streptopelia decaocto,Rare/Accidental,COLUMBIFORMES,Columbidae,TT
Common Ground Dove,Columbina passerina,,COLUMBIFORMES,Columbidae,TT
Plain-breasted Ground Dove,Columbina minuta,,COLUMBIFORMES,Columbidae,TT
Ruddy Ground Dove,Columbina talpacoti,,COLUMBIFORMES,Columbidae,TT
Scaled Dove,Columbina squammata,Rare/Accidental,COLUMBIFORMES,Columbidae,TT
Blue Ground Dove,Claravis pretiosa,,COLUMBIFORMES,Columbidae,TT
Ruddy Quail-Dove,Geotrygon montana,,COLUMBIFORMES,Columbidae,TT
White-tipped Dove,Leptotila verreauxi,,COLUMBIFORMES,Columbidae,TT
Gray-fronted Dove,Leptotila rufaxilla,,COLUMBIFORMES,Columbidae,TT
Lined Quail-Dove,Zentrygon linearis,,COLUMBIFORMES,Columbidae,TT
Eared Dove,Zenaida auriculata,,COLUMBIFORMES,Columbidae,TT
Greater Ani,Crotophaga major,,CUCULIFORMES,Cuculidae,TT
Smooth-billed Ani,Crotophaga ani,,CUCULIFORMES,Cuculidae,TT
Striped Cuckoo,Tapera naevia,,CUCULIFORMES,Cuculidae,TT
Little Cuckoo,Coccycua minuta,,CUCULIFORMES,Cuculidae,TT
Dwarf Cuckoo,Coccycua pumila,Rare/Accidental,CUCULIFORMES,Cuculidae,TT
Squirrel Cuckoo,Piaya cayana,,CUCULIFORMES,Cuculidae,TT
Dark-billed Cuckoo,Coccyzus melacoryphus,Rare/Accidental,CUCULIFORMES,Cuculidae,TT
Yellow-billed Cuckoo,Coccyzus americanus,,CUCULIFORMES,Cuculidae,TT
Mangrove Cuckoo,Coccyzus minor,,CUCULIFORMES,Cuculidae,TT
