common_name,scientific_name,status,order,family,region
Black-bellied Whistling-Duck,Dendrocygna autumnalis,,ANSERIFORMES,Anatidae,US48
West Indian Whistling-Duck,Dendrocygna arborea,Rare/Accidental Near-threatened,ANSERIFORMES,Anatidae,US48
Fulvous Whistling-Duck,Dendrocygna bicolor,,ANSERIFORMES,Anatidae,US48
Emperor Goose,Anser canagicus,,ANSERIFORMES,Anatidae,US48
Snow Goose,Anser caerulescens,,ANSERIFORMES,Anatidae,US48
Ross's Goose,Anser rossii,,ANSERIFORMES,Anatidae,US48
Graylag Goose,Anser anser,Rare/Accidental,ANSERIFORMES,Anatidae,US48
Greater White-fronted Goose,Anser albifrons,,ANSERIFORMES,Anatidae,US48
Taiga Bean-Goose,Anser fabalis,Rare/Accidental,ANSERIFORMES,Anatidae,US48
Tundra Bean-Goose,Anser serrirostris,Rare/Accidental,ANSERIFORMES,Anatidae,US48
Pink-footed Goose,Anser brachyrhynchus,,ANSERIFORMES,Anatidae,US48
Brant,Branta bernicla,Rare/Accidental,ANSERIFORMES,Anatidae,US48
Barnacle Goose,Branta leucopsis,Rare/Accidental,ANSERIFORMES,Anatidae,US48
Cackling Goose,Branta hutchinsii,,ANSERIFORMES,Anatidae,US48
Canada Goose,Branta canadensis,,ANSERIFORMES,Anatidae,US48
Hawaiian Goose,Branta sandvicensis,Uncertain origin Near-threatened,ANSERIFORMES,Anatidae,US48
Mute Swan,Cygnus olor,Introduced species,ANSERIFORMES,Anatidae,US48
Trumpeter Swan,Cygnus buccinator,,ANSERIFORMES,Anatidae,US48
Tundra Swan,Cygnus columbianus,,ANSERIFORMES,Anatidae,US48
Whooper Swan,Cygnus cygnus,Rare/Accidental,ANSERIFORMES,Anatidae,US48
Egyptian Goose,Alopochen aegyptiaca,Introduced species,ANSERIFORMES,Anatidae,US48
Muscovy Duck,Cairina moschata,Rare/Accidental,ANSERIFORMES,Anatidae,US48
Wood Duck,Aix sponsa,,ANSERIFORMES,Anatidae,US48
Mandarin Duck,Aix galericulata,Introduced species,ANSERIFORMES,Anatidae,US48
Baikal Teal,Sibirionetta formosa,Rare/Accidental,ANSERIFORMES,Anatidae,US48
Garganey,Spatula querquedula,Rare/Accidental,ANSERIFORMES,Anatidae,US48
Blue-winged Teal,Spatula discors,,ANSERIFORMES,Anatidae,US48
Cinnamon Teal,Spatula cyanoptera,,ANSERIFORMES,Anatidae,US48
Northern Shoveler,Spatula clypeata,,ANSERIFORMES,Anatidae,US48
Gadwall,Mareca strepera,,ANSERIFORMES,Anatidae,US48
Falcated Duck,Mareca falcata,Rare/Accidental,ANSERIFORMES,Anatidae,US48
Eurasian Wigeon,Mareca penelope,,ANSERIFORMES,Anatidae,US48
American Wigeon,Mareca americana,,ANSERIFORMES,Anatidae,US48
Eastern Spot-billed Duck,Anas zonorhyncha,Rare/Accidental,ANSERIFORMES,Anatidae,US48
Mallard,Anas platyrhynchos,,ANSERIFORMES,Anatidae,US48
Mexican Duck,Anas diazi,,ANSERIFORMES,Anatidae,US48
American Black Duck,Anas rubripes,,ANSERIFORMES,Anatidae,US48
Mottled Duck,Anas fulvigula,,ANSERIFORMES,Anatidae,US48
White-cheeked Pintail,Anas bahamensis,Rare/Accidental,ANSERIFORMES,Anatidae,US48
Northern Pintail,Anas acuta,,ANSERIFORMES,Anatidae,US48
Green-winged Teal,Anas crecca,,ANSERIFORMES,Anatidae,US48
Canvasback,Aythya valisineria,,ANSERIFORMES,Anatidae,US48
Redhead,Aythya americana,,ANSERIFORMES,Anatidae,US48
Common Pochard,Aythya ferina,Rare/Accidental Vulnerable,ANSERIFORMES,Anatidae,US48
Ring-necked Duck,Aythya collaris,,ANSERIFORMES,Anatidae,US48
Tufted Duck,Aythya fuligula,,ANSERIFORMES,Anatidae,US48
Greater Scaup,Aythya marila,,ANSERIFORMES,Anatidae,US48
Lesser Scaup,Aythya affinis,,ANSERIFORMES,Anatidae,US48
Steller's Eider,Polysticta stelleri,Rare/Accidental Vulnerable,ANSERIFORMES,Anatidae,US48
Labrador Duck,Camptorhynchus labradorius,Rare/Accidental Extinct,ANSERIFORMES,Anatidae,US48
King Eider,Somateria spectabilis,,ANSERIFORMES,Anatidae,US48
Common Eider,Somateria mollissima,Near-threatened,ANSERIFORMES,Anatidae,US48
Harlequin Duck,Histrionicus histrionicus,,ANSERIFORMES,Anatidae,US48
Surf Scoter,Melanitta perspicillata,,ANSERIFORMES,Anatidae,US48
White-winged Scoter,Melanitta deglandi,,ANSERIFORMES,Anatidae,US48
Stejneger's Scoter,Melanitta stejnegeri,Rare/Accidental,ANSERIFORMES,Anatidae,US48
