common_name,scientific_name,status,order,family,region
Fulvous Whistling-Duck,Dendrocygna bicolor,Rare/Accidental,ANSERIFORMES,Anatidae,XX
Cackling Goose,Branta hutchinsii,,ANSERIFORMES,Anatidae,XX
Northern Shoveler,Spatula clypeata,,ANSERIFORMES,Anatidae,XX
American Wigeon,Mareca americana,Rare/Accidental,ANSERIFORMES,Anatidae,XX
Pacific Black Duck,Anas superciliosa,,ANSERIFORMES,Anatidae,XX
Northern Pintail,Anas acuta,,ANSERIFORMES,Anatidae,XX
Green-winged Teal,Anas crecca,,ANSERIFORMES,Anatidae,XX
Greater Scaup,Aythya marila,,ANSERIFORMES,Anatidae,XX
King Eider,Somateria spectabilis,,ANSERIFORMES,Anatidae,XX
Common Eider,Somateria mollissima,Near-threatened,ANSERIFORMES,Anatidae,XX
Surf Scoter,Melanitta perspicillata,,ANSERIFORMES,Anatidae,XX
White-winged Scoter,Melanitta deglandi,,ANSERIFORMES,Anatidae,XX
Black Scoter,Melanitta americana,Near-threatened,ANSERIFORMES,Anatidae,XX
Long-tailed Duck,Clangula hyemalis,Vulnerable,ANSERIFORMES,Anatidae,XX
Red-breasted Merganser,Mergus serrator,,ANSERIFORMES,Anatidae,XX
Common Quail,Coturnix coturnix,Rare/Accidental,GALLIFORMES,Phasianidae,XX
Rock Pigeon,Columba livia,Introduced species,COLUMBIFORMES,Columbidae,XX
European Turtle-Dove,Streptopelia turtur,Uncertain origin Vulnerable,COLUMBIFORMES,Columbidae,XX
Oriental Turtle-Dove,Streptopelia orientalis,,COLUMBIFORMES,Columbidae,XX
African Collared-Dove,Streptopelia roseogrisea,,COLUMBIFORMES,Columbidae,XX
White-winged Dove,Zenaida asiatica,,COLUMBIFORMES,Columbidae,XX
Eared Dove,Zenaida auriculata,,COLUMBIFORMES,Columbidae,XX
Mourning Dove,Zenaida macroura,,COLUMBIFORMES,Columbidae,XX
Himalayan Cuckoo,Cuculus saturatus,,CUCULIFORMES,Cuculidae,XX
