"common_name","scientific_name","status","order","family","region"
"Redpoll","Acanthis flammea","","PASSERIFORMES","Fringillidae","AK; CA; US48"
"Eurasian Sparrowhawk","Accipiter nisus","Rare/Accidental","ACCIPITRIFORMES","Accipitridae","AK"
"Sharp-shinned Hawk","Accipiter striatus","","ACCIPITRIFORMES","Accipitridae","AK; CA; US48"
"Crested Myna","Acridotheres cristatellus","Extirpated","PASSERIFORMES","Sturnidae","CA"
"Common Myna","Acridotheres tristis","Introduced species","PASSERIFORMES","Sturnidae","CA; US48"
"Blyth's Reed Warbler","Acrocephalus dumetorum","Rare/Accidental","PASSERIFORMES","Acrocephalidae","AK"
"Sedge Warbler","Acrocephalus schoenobaenus","Rare/Accidental","PASSERIFORMES","Acrocephalidae","AK"
"Common Sandpiper","Actitis hypoleucos","Rare/Accidental","CHARADRIIFORMES","Scolopacidae","AK"
"Spotted Sandpiper","Actitis macularius","","CHARADRIIFORMES","Scolopacidae","AK; CA; US48"
"Clark's Grebe","Aechmophorus clarkii","","PODICIPEDIFORMES","Podicipedidae","CA; US48"
"Western Grebe","Aechmophorus occidentalis","","PODICIPEDIFORMES","Podicipedidae","AK; CA; US48"
"Northern Saw-whet Owl","Aegolius acadicus","","STRIGIFORMES","Strigidae","AK; CA; US48"
"Boreal Owl","Aegolius funereus","","STRIGIFORMES","Strigidae","AK; CA; US48"
"White-throated Swift","Aeronautes saxatalis","","APODIFORMES","Apodidae","CA; US48"
"Crested Auklet","Aethia cristatella","Rare/Accidental","CHARADRIIFORMES","Alcidae","AK; CA; US48"
"Parakeet Auklet","Aethia psittacula","","CHARADRIIFORMES","Alcidae","AK; CA; US48"
"Least Auklet","Aethia pusilla","Rare/Accidental","CHARADRIIFORMES","Alcidae","AK; CA; US48"
"Whiskered Auklet","Aethia pygmaea","Rare/Accidental","CHARADRIIFORMES","Alcidae","AK; US48"
"Rosy-faced Lovebird","Agapornis roseicollis","Introduced species","PSITTACIFORMES","Psittaculidae","US48"
