"common_name","scientific_name","status","order","family","region"
"Emerald-chinned Hummingbird","Abeillia abeillei","","APODIFORMES","Trochilidae","CAM; hol; NAM; nea"
"Rufous-faced Warbler","Abroscopus albogularis","","PASSERIFORMES","Scotocercidae","ASI"
"Black-faced Warbler","Abroscopus schisticeps","","PASSERIFORMES","Scotocercidae","ASI"
"Yellow-bellied Warbler","Abroscopus superciliaris","","PASSERIFORMES","Scotocercidae","ASI"
"Wattled Guan","Aburria aburri","","GALLIFORMES","Cracidae","SAM"
"Spiny-cheeked Honeyeater","Acanthagenys rufogularis","","PASSERIFORMES","Meliphagidae","AUS; OCE"
"Peg-billed Finch","Acanthidops bairdi","","PASSERIFORMES","Thraupidae","CAM; hol; NAM; nea"
"Redpoll","Acanthis flammea","","PASSERIFORMES","Fringillidae","AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi; XX"
"Rifleman","Acanthisitta chloris","","PASSERIFORMES","Acanthisittidae","AUS; OCE"
"Inland Thornbill","Acanthiza apicalis","","PASSERIFORMES","Acanthizidae","AUS; OCE"
"Yellow-rumped Thornbill","Acanthiza chrysorrhoa","","PASSERIFORMES","Acanthizidae","AUS; OCE"
"Gray Thornbill","Acanthiza cinerea","","PASSERIFORMES","Acanthizidae","ASI; AUS; OCE"
"Tasmanian Thornbill","Acanthiza ewingii","","PASSERIFORMES","Acanthizidae","AUS; OCE"
"Western Thornbill","Acanthiza inornata","","PASSERIFORMES","Acanthizidae","AUS; OCE"
"Slender-billed Thornbill","Acanthiza iredalei","","PASSERIFORMES","Acanthizidae","AUS; OCE"
"Mountain Thornbill","Acanthiza katherina","Vulnerable","PASSERIFORMES","Acanthizidae","AUS; OCE"
"Striated Thornbill","Acanthiza lineata","","PASSERIFORMES","Acanthizidae","AUS; OCE"
"Papuan Thornbill","Acanthiza murina","","PASSERIFORMES","Acanthizidae","ASI; AUS; OCE"
"Yellow Thornbill","Acanthiza nana","","PASSERIFORMES","Acanthizidae","AUS; OCE"
"Brown Thornbill","Acanthiza pusilla","","PASSERIFORMES","Acanthizidae","AUS; OCE"
"Buff-rumped Thornbill","Acanthiza reguloides","","PASSERIFORMES","Acanthizidae","AUS; OCE"
"Slaty-backed Thornbill","Acanthiza robustirostris","","PASSERIFORMES","Acanthizidae","AUS; OCE"
"Chestnut-rumped Thornbill","Acanthiza uropygialis","","PASSERIFORMES","Acanthizidae","AUS; OCE"
"Western Spinebill","Acanthorhynchus superciliosus","","PASSERIFORMES","Meliphagidae","AUS; OCE"
"Eastern Spinebill","Acanthorhynchus tenuirostris","","PASSERIFORMES","Meliphagidae","AUS; OCE"
"Scrubtit","Acanthornis magna","","PASSERIFORMES","Acanthizidae","AUS; OCE"
"Madagascar Sparrowhawk","Accipiter madagascariensis","Near-threatened","ACCIPITRIFORMES","Accipitridae","AFR"
"Eurasian Sparrowhawk","Accipiter nisus","Rare/Accidental","ACCIPITRIFORMES","Accipitridae","AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak"
"Ovambo Sparrowhawk","Accipiter ovampensis","","ACCIPITRIFORMES","Accipitridae","AFR"
"Gray-bellied Hawk","Accipiter poliogaster","Rare/Accidental Near-threatened","ACCIPITRIFORMES","Accipitridae","CAM; hol; NAM; nea; SAM"
"Rufous-breasted Sparrowhawk","Accipiter rufiventris","","ACCIPITRIFORMES","Accipitridae","AFR"
"Sharp-shinned Hawk","Accipiter striatus","","ACCIPITRIFORMES","Accipitridae","CA; CAM; CAR; hol; NAM; nea; SAM; US48; USak"
"Rufous-necked Hornbill","Aceros nipalensis","Vulnerable","BUCEROTIFORMES","Bucerotidae","ASI"
"Rockrunner","Achaetops pycnopygius","","PASSERIFORMES","Macrosphenidae","AFR"
"Collared Myna","Acridotheres albocinctus","","PASSERIFORMES","Sturnidae","ASI"
"Burmese Myna","Acridotheres burmannicus","","PASSERIFORMES","Sturnidae","ASI"
"Pale-bellied Myna","Acridotheres cinereus","Vulnerable","PASSERIFORMES","Sturnidae","ASI"
"Crested Myna","Acridotheres cristatellus","Extirpated","PASSERIFORMES","Sturnidae","ASI; CA; EUR; hol; NAM; nea; pal; SAM"
