common_name,scientific_name,status,order,family,region
Highland Tinamou,Nothocercus bonapartei,,TINAMIFORMES,Tinamidae,nea
Great Tinamou,Tinamus major,,TINAMIFORMES,Tinamidae,nea
Little Tinamou,Crypturellus soui,,TINAMIFORMES,Tinamidae,nea
Slaty-breasted Tinamou,Crypturellus boucardi,Vulnerable,TINAMIFORMES,Tinamidae,nea
Choco Tinamou,Crypturellus kerriae,Near-threatened,TINAMIFORMES,Tinamidae,nea
Thicket Tinamou,Crypturellus cinnamomeus,,TINAMIFORMES,Tinamidae,nea
Northern Screamer,Chauna chavaria,Rare/Accidental,ANSERIFORMES,Anhimidae,nea
White-faced Whistling-Duck,Dendrocygna viduata,,ANSERIFORMES,Anatidae,nea
Black-bellied Whistling-Duck,Dendrocygna autumnalis,,ANSERIFORMES,Anatidae,nea
West Indian Whistling-Duck,Dendrocygna arborea,Near-threatened,ANSERIFORMES,Anatidae,nea
Fulvous Whistling-Duck,Dendrocygna bicolor,,ANSERIFORMES,Anatidae,nea
Bar-headed Goose,Anser indicus,,ANSERIFORMES,Anatidae,nea
Emperor Goose,Anser canagicus,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Snow Goose,Anser caerulescens,,ANSERIFORMES,Anatidae,nea
Ross's Goose,Anser rossii,,ANSERIFORMES,Anatidae,nea
Graylag Goose,Anser anser,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Greater White-fronted Goose,Anser albifrons,,ANSERIFORMES,Anatidae,nea
Lesser White-fronted Goose,Anser erythropus,Rare/Accidental Vulnerable,ANSERIFORMES,Anatidae,nea
Taiga Bean-Goose,Anser fabalis,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Tundra Bean-Goose,Anser serrirostris,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Pink-footed Goose,Anser brachyrhynchus,,ANSERIFORMES,Anatidae,nea
Brant,Branta bernicla,,ANSERIFORMES,Anatidae,nea
Barnacle Goose,Branta leucopsis,,ANSERIFORMES,Anatidae,nea
Cackling Goose,Branta hutchinsii,,ANSERIFORMES,Anatidae,nea
Canada Goose,Branta canadensis,,ANSERIFORMES,Anatidae,nea
Hawaiian Goose,Branta sandvicensis,Near-threatened,ANSERIFORMES,Anatidae,nea
Mute Swan,Cygnus olor,Introduced species,ANSERIFORMES,Anatidae,nea
Trumpeter Swan,Cygnus buccinator,,ANSERIFORMES,Anatidae,nea
Tundra Swan,Cygnus columbianus,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Whooper Swan,Cygnus cygnus,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Comb Duck,Sarkidiornis sylvicola,,ANSERIFORMES,Anatidae,nea
Orinoco Goose,Oressochen jubatus,Near-threatened,ANSERIFORMES,Anatidae,nea
Egyptian Goose,Alopochen aegyptiaca,Introduced species,ANSERIFORMES,Anatidae,nea
Ruddy Shelduck,Tadorna ferruginea,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Common Shelduck,Tadorna tadorna,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Muscovy Duck,Cairina moschata,,ANSERIFORMES,Anatidae,nea
Wood Duck,Aix sponsa,,ANSERIFORMES,Anatidae,nea
Mandarin Duck,Aix galericulata,Introduced species,ANSERIFORMES,Anatidae,nea
Baikal Teal,Sibirionetta formosa,,ANSERIFORMES,Anatidae,nea
Garganey,Spatula querquedula,,ANSERIFORMES,Anatidae,nea
Blue-winged Teal,Spatula discors,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Cinnamon Teal,Spatula cyanoptera,,ANSERIFORMES,Anatidae,nea
Northern Shoveler,Spatula clypeata,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Gadwall,Mareca strepera,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Falcated Duck,Mareca falcata,,ANSERIFORMES,Anatidae,nea
Eurasian Wigeon,Mareca penelope,Rare/Accidental,ANSERIFORMES,Anatidae,nea
American Wigeon,Mareca americana,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Laysan Duck,Anas laysanensis,Critically endangered,ANSERIFORMES,Anatidae,nea
