scientific_name,common_name,scientific_name_avibase8.17,common_name_avibase8.17,order_avibase8.17,family_avibase8.17,status_NAM_avibase8.17,status_CA_avibase8.17,status_US48_avibase8.17,status_USak_avibase8.17,regions_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,status_CA_US48_USak,L1_ca.conus.data
Accipiter nisus,Eurasian Sparrowhawk,Accipiter nisus,Eurasian Sparrowhawk,ACCIPITRIFORMES,Accipitridae,Rare/Accidental,NA,NA,Rare/Accidental,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Eurasian Sparrowhawk,Accipiter nisus,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Rare/Accidental,yes
Acridotheres cristatellus,Crested Myna,Acridotheres cristatellus,Crested Myna,PASSERIFORMES,Sturnidae,Extirpated,Extirpated,NA,NA,ASI; CA; EUR; hol; NAM; nea; pal; SAM,yes,NA,NA,NA,NA,NA,no,Crested Myna,Acridotheres cristatellus,NA,Sturnidae (Starlings),Passeriformes,yes,Extirpated,yes
Acrocephalus dumetorum,Blyth's Reed Warbler,Acrocephalus dumetorum,Blyth's Reed Warbler,PASSERIFORMES,Acrocephalidae,Rare/Accidental,NA,NA,Rare/Accidental,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Blyth's Reed Warbler,Acrocephalus dumetorum,Eastern Palearctic; winters in India and Sri Lanka,Acrocephalidae (Reed Warblers and Allies),Passeriformes,yes,Rare/Accidental,yes
Acrocephalus schoenobaenus,Sedge Warbler,Acrocephalus schoenobaenus,Sedge Warbler,PASSERIFORMES,Acrocephalidae,Rare/Accidental,NA,NA,Rare/Accidental,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Sedge Warbler,Acrocephalus schoenobaenus,Palearctic region; winters to southern Africa,Acrocephalidae (Reed Warblers and Allies),Passeriformes,yes,Rare/Accidental,yes
Aethia cristatella,Crested Auklet,Aethia cristatella,Crested Auklet,CHARADRIIFORMES,Alcidae,NA,Rare/Accidental,Rare/Accidental,NA,ASI; CA; CAM; EUR; hol; NAM; nea; opa; pal; US48; USak; XX,yes,NA,NA,NA,NA,NA,no,Crested Auklet,Aethia cristatella,breeds western Alaska and eastern Siberia; winters southward to Japan,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Rare/Accidental; Rare/Accidental,yes
Aethia psittacula,Parakeet Auklet,Aethia psittacula,Parakeet Auklet,CHARADRIIFORMES,Alcidae,NA,Rare/Accidental,NA,NA,ASI; CA; CAM; EUR; hol; NAM; nea; OCE; opa; PAC; pal; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Parakeet Auklet,Aethia psittacula,North Pacific and Bering Sea; winters to Japan and southern California,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Rare/Accidental,yes
Aethia pusilla,Least Auklet,Aethia pusilla,Least Auklet,CHARADRIIFORMES,Alcidae,NA,Rare/Accidental,Rare/Accidental,NA,ASI; CA; hol; NAM; nea; opa; pal; US48; USak; XX,yes,NA,NA,NA,NA,NA,no,Least Auklet,Aethia pusilla,breeds eastern Siberia and western Alaska; winters southward to northern Japan,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Rare/Accidental; Rare/Accidental,yes
Aethia pygmaea,Whiskered Auklet,Aethia pygmaea,Whiskered Auklet,CHARADRIIFORMES,Alcidae,NA,NA,Rare/Accidental,NA,ASI; hol; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Whiskered Auklet,Aethia pygmaea,breeds eastern Siberia and Aleutian Islands; winters southward to Japan,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Rare/Accidental,yes
Agapornis roseicollis,Rosy-faced Lovebird,Agapornis roseicollis,Rosy-faced Lovebird,PSITTACIFORMES,Psittaculidae,Introduced species,NA,Introduced species,NA,AFR; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Rosy-faced Lovebird,Agapornis roseicollis,NA,Psittaculidae (Old World Parrots),Psittaciformes,yes,Introduced species,yes
Agelaius humeralis,Tawny-shouldered Blackbird,Agelaius humeralis,Tawny-shouldered Blackbird,PASSERIFORMES,Icteridae,NA,NA,Rare/Accidental,NA,CAR; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Tawny-shouldered Blackbird,Agelaius humeralis,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Rare/Accidental,yes
