common_name,scientific_name,status,order,family,region
Common Ostrich,Struthio camelus,,STRUTHIONIFORMES,Struthionidae,AFR
Somali Ostrich,Struthio molybdophanes,Vulnerable,STRUTHIONIFORMES,Struthionidae,AFR
White-faced Whistling-Duck,Dendrocygna viduata,,ANSERIFORMES,Anatidae,AFR
Fulvous Whistling-Duck,Dendrocygna bicolor,,ANSERIFORMES,Anatidae,AFR
White-backed Duck,Thalassornis leuconotus,,ANSERIFORMES,Anatidae,AFR
Bar-headed Goose,Anser indicus,,ANSERIFORMES,Anatidae,AFR
Snow Goose,Anser caerulescens,,ANSERIFORMES,Anatidae,AFR
Graylag Goose,Anser anser,,ANSERIFORMES,Anatidae,AFR
Greater White-fronted Goose,Anser albifrons,,ANSERIFORMES,Anatidae,AFR
Lesser White-fronted Goose,Anser erythropus,Vulnerable,ANSERIFORMES,Anatidae,AFR
Taiga Bean-Goose,Anser fabalis,,ANSERIFORMES,Anatidae,AFR
Tundra Bean-Goose,Anser serrirostris,,ANSERIFORMES,Anatidae,AFR
Pink-footed Goose,Anser brachyrhynchus,Rare/Accidental,ANSERIFORMES,Anatidae,AFR
Brant,Branta bernicla,,ANSERIFORMES,Anatidae,AFR
Barnacle Goose,Branta leucopsis,Rare/Accidental,ANSERIFORMES,Anatidae,AFR
Cackling Goose,Branta hutchinsii,Uncertain origin,ANSERIFORMES,Anatidae,AFR
Red-breasted Goose,Branta ruficollis,Vulnerable,ANSERIFORMES,Anatidae,AFR
Blue-winged Goose,Cyanochen cyanoptera,Near-threatened,ANSERIFORMES,Anatidae,AFR
Mute Swan,Cygnus olor,,ANSERIFORMES,Anatidae,AFR
Tundra Swan,Cygnus columbianus,,ANSERIFORMES,Anatidae,AFR
Whooper Swan,Cygnus cygnus,,ANSERIFORMES,Anatidae,AFR
Knob-billed Duck,Sarkidiornis melanotos,,ANSERIFORMES,Anatidae,AFR
Hartlaub's Duck,Pteronetta hartlaubii,,ANSERIFORMES,Anatidae,AFR
Egyptian Goose,Alopochen aegyptiaca,,ANSERIFORMES,Anatidae,AFR
Mauritius Shelduck,Alopochen mauritiana,Rare/Accidental Extinct,ANSERIFORMES,Anatidae,AFR
Reunion Shelduck,Alopochen kervazoi,Extinct,ANSERIFORMES,Anatidae,AFR
Ruddy Shelduck,Tadorna ferruginea,,ANSERIFORMES,Anatidae,AFR
South African Shelduck,Tadorna cana,,ANSERIFORMES,Anatidae,AFR
Australian Shelduck,Tadorna tadornoides,,ANSERIFORMES,Anatidae,AFR
Common Shelduck,Tadorna tadorna,,ANSERIFORMES,Anatidae,AFR
Spur-winged Goose,Plectropterus gambensis,,ANSERIFORMES,Anatidae,AFR
Muscovy Duck,Cairina moschata,Introduced species,ANSERIFORMES,Anatidae,AFR
Cotton Pygmy-Goose,Nettapus coromandelianus,Rare/Accidental,ANSERIFORMES,Anatidae,AFR
African Pygmy-Goose,Nettapus auritus,,ANSERIFORMES,Anatidae,AFR
Wood Duck,Aix sponsa,Uncertain origin,ANSERIFORMES,Anatidae,AFR
Mandarin Duck,Aix galericulata,,ANSERIFORMES,Anatidae,AFR
Garganey,Spatula querquedula,,ANSERIFORMES,Anatidae,AFR
Blue-billed Teal,Spatula hottentota,,ANSERIFORMES,Anatidae,AFR
Blue-winged Teal,Spatula discors,,ANSERIFORMES,Anatidae,AFR
Cinnamon Teal,Spatula cyanoptera,Uncertain origin,ANSERIFORMES,Anatidae,AFR
Cape Shoveler,Spatula smithii,,ANSERIFORMES,Anatidae,AFR
Northern Shoveler,Spatula clypeata,,ANSERIFORMES,Anatidae,AFR
Gadwall,Mareca strepera,,ANSERIFORMES,Anatidae,AFR
Eurasian Wigeon,Mareca penelope,,ANSERIFORMES,Anatidae,AFR
American Wigeon,Mareca americana,,ANSERIFORMES,Anatidae,AFR
African Black Duck,Anas sparsa,,ANSERIFORMES,Anatidae,AFR
Yellow-billed Duck,Anas undulata,,ANSERIFORMES,Anatidae,AFR
Meller's Duck,Anas melleri,Endangered,ANSERIFORMES,Anatidae,AFR
Mallard,Anas platyrhynchos,,ANSERIFORMES,Anatidae,AFR
Cape Teal,Anas capensis,,ANSERIFORMES,Anatidae,AFR
Red-billed Duck,Anas erythrorhyncha,,ANSERIFORMES,Anatidae,AFR
Northern Pintail,Anas acuta,,ANSERIFORMES,Anatidae,AFR
Green-winged Teal,Anas crecca,,ANSERIFORMES,Anatidae,AFR
Mauritius Duck,Anas theodori,Rare/Accidental Extinct,ANSERIFORMES,Anatidae,AFR
Bernier's Teal,Anas bernieri,Endangered,ANSERIFORMES,Anatidae,AFR
Marbled Duck,Marmaronetta angustirostris,Near-threatened,ANSERIFORMES,Anatidae,AFR
Red-crested Pochard,Netta rufina,,ANSERIFORMES,Anatidae,AFR
Southern Pochard,Netta erythrophthalma,,ANSERIFORMES,Anatidae,AFR
Redhead,Aythya americana,Rare/Accidental,ANSERIFORMES,Anatidae,AFR
Common Pochard,Aythya ferina,Vulnerable,ANSERIFORMES,Anatidae,AFR
Ring-necked Duck,Aythya collaris,Rare/Accidental,ANSERIFORMES,Anatidae,AFR
Ferruginous Duck,Aythya nyroca,Near-threatened,ANSERIFORMES,Anatidae,AFR
Madagascar Pochard,Aythya innotata,Critically endangered,ANSERIFORMES,Anatidae,AFR
Tufted Duck,Aythya fuligula,,ANSERIFORMES,Anatidae,AFR
Greater Scaup,Aythya marila,,ANSERIFORMES,Anatidae,AFR
Lesser Scaup,Aythya affinis,Rare/Accidental,ANSERIFORMES,Anatidae,AFR
Common Eider,Somateria mollissima,Rare/Accidental Near-threatened,ANSERIFORMES,Anatidae,AFR
Surf Scoter,Melanitta perspicillata,Rare/Accidental,ANSERIFORMES,Anatidae,AFR
Velvet Scoter,Melanitta fusca,Vulnerable,ANSERIFORMES,Anatidae,AFR
Common Scoter,Melanitta nigra,,ANSERIFORMES,Anatidae,AFR
Long-tailed Duck,Clangula hyemalis,Rare/Accidental Vulnerable,ANSERIFORMES,Anatidae,AFR
Bufflehead,Bucephala albeola,Rare/Accidental,ANSERIFORMES,Anatidae,AFR
Common Goldeneye,Bucephala clangula,,ANSERIFORMES,Anatidae,AFR
Smew,Mergellus albellus,,ANSERIFORMES,Anatidae,AFR
Hooded Merganser,Lophodytes cucullatus,Rare/Accidental,ANSERIFORMES,Anatidae,AFR
Common Merganser,Mergus merganser,,ANSERIFORMES,Anatidae,AFR
Red-breasted Merganser,Mergus serrator,,ANSERIFORMES,Anatidae,AFR
Ruddy Duck,Oxyura jamaicensis,Rare/Accidental,ANSERIFORMES,Anatidae,AFR
White-headed Duck,Oxyura leucocephala,Endangered,ANSERIFORMES,Anatidae,AFR
Maccoa Duck,Oxyura maccoa,Endangered,ANSERIFORMES,Anatidae,AFR
Helmeted Guineafowl,Numida meleagris,,GALLIFORMES,Numididae,AFR
