common_name,scientific_name,status,order,family,region
Southern Cassowary,Casuarius casuarius,,CASUARIIFORMES,Casuariidae,ASI
Dwarf Cassowary,Casuarius bennetti,,CASUARIIFORMES,Casuariidae,ASI
Northern Cassowary,Casuarius unappendiculatus,,CASUARIIFORMES,Casuariidae,ASI
Magpie Goose,Anseranas semipalmata,,ANSERIFORMES,Anseranatidae,ASI
Spotted Whistling-Duck,Dendrocygna guttata,,ANSERIFORMES,Anatidae,ASI
Plumed Whistling-Duck,Dendrocygna eytoni,Rare/Accidental,ANSERIFORMES,Anatidae,ASI
Fulvous Whistling-Duck,Dendrocygna bicolor,,ANSERIFORMES,Anatidae,ASI
Wandering Whistling-Duck,Dendrocygna arcuata,,ANSERIFORMES,Anatidae,ASI
Lesser Whistling-Duck,Dendrocygna javanica,,ANSERIFORMES,Anatidae,ASI
Bar-headed Goose,Anser indicus,,ANSERIFORMES,Anatidae,ASI
Emperor Goose,Anser canagicus,,ANSERIFORMES,Anatidae,ASI
Snow Goose,Anser caerulescens,,ANSERIFORMES,Anatidae,ASI
Ross's Goose,Anser rossii,Rare/Accidental,ANSERIFORMES,Anatidae,ASI
Graylag Goose,Anser anser,,ANSERIFORMES,Anatidae,ASI
Swan Goose,Anser cygnoides,Endangered,ANSERIFORMES,Anatidae,ASI
Greater White-fronted Goose,Anser albifrons,,ANSERIFORMES,Anatidae,ASI
Lesser White-fronted Goose,Anser erythropus,Vulnerable,ANSERIFORMES,Anatidae,ASI
Taiga Bean-Goose,Anser fabalis,,ANSERIFORMES,Anatidae,ASI
Tundra Bean-Goose,Anser serrirostris,,ANSERIFORMES,Anatidae,ASI
Pink-footed Goose,Anser brachyrhynchus,Rare/Accidental,ANSERIFORMES,Anatidae,ASI
Brant,Branta bernicla,,ANSERIFORMES,Anatidae,ASI
Barnacle Goose,Branta leucopsis,,ANSERIFORMES,Anatidae,ASI
Cackling Goose,Branta hutchinsii,,ANSERIFORMES,Anatidae,ASI
Canada Goose,Branta canadensis,Rare/Accidental,ANSERIFORMES,Anatidae,ASI
Red-breasted Goose,Branta ruficollis,Vulnerable,ANSERIFORMES,Anatidae,ASI
Mute Swan,Cygnus olor,,ANSERIFORMES,Anatidae,ASI
Black Swan,Cygnus atratus,,ANSERIFORMES,Anatidae,ASI
Trumpeter Swan,Cygnus buccinator,,ANSERIFORMES,Anatidae,ASI
Tundra Swan,Cygnus columbianus,,ANSERIFORMES,Anatidae,ASI
Whooper Swan,Cygnus cygnus,,ANSERIFORMES,Anatidae,ASI
Knob-billed Duck,Sarkidiornis melanotos,,ANSERIFORMES,Anatidae,ASI
Radjah Shelduck,Radjah radjah,,ANSERIFORMES,Anatidae,ASI
Egyptian Goose,Alopochen aegyptiaca,,ANSERIFORMES,Anatidae,ASI
Ruddy Shelduck,Tadorna ferruginea,,ANSERIFORMES,Anatidae,ASI
Australian Shelduck,Tadorna tadornoides,,ANSERIFORMES,Anatidae,ASI
Common Shelduck,Tadorna tadorna,,ANSERIFORMES,Anatidae,ASI
Crested Shelduck,Tadorna cristata,Critically endangered (possibly extinct),ANSERIFORMES,Anatidae,ASI
Green Pygmy-Goose,Nettapus pulchellus,,ANSERIFORMES,Anatidae,ASI
Cotton Pygmy-Goose,Nettapus coromandelianus,,ANSERIFORMES,Anatidae,ASI
Mandarin Duck,Aix galericulata,,ANSERIFORMES,Anatidae,ASI
Salvadori's Teal,Salvadorina waigiuensis,,ANSERIFORMES,Anatidae,ASI
Baikal Teal,Sibirionetta formosa,,ANSERIFORMES,Anatidae,ASI
Garganey,Spatula querquedula,,ANSERIFORMES,Anatidae,ASI
Blue-winged Teal,Spatula discors,Rare/Accidental,ANSERIFORMES,Anatidae,ASI
Northern Shoveler,Spatula clypeata,,ANSERIFORMES,Anatidae,ASI
Gadwall,Mareca strepera,,ANSERIFORMES,Anatidae,ASI
Falcated Duck,Mareca falcata,,ANSERIFORMES,Anatidae,ASI
Eurasian Wigeon,Mareca penelope,,ANSERIFORMES,Anatidae,ASI
American Wigeon,Mareca americana,,ANSERIFORMES,Anatidae,ASI
Pacific Black Duck,Anas superciliosa,,ANSERIFORMES,Anatidae,ASI
