common_name,scientific_name,status,order,family,region
Common Ostrich,Struthio camelus,Introduced species,STRUTHIONIFORMES,Struthionidae,AUS
Southern Cassowary,Casuarius casuarius,,CASUARIIFORMES,Casuariidae,AUS
Dwarf Cassowary,Casuarius bennetti,,CASUARIIFORMES,Casuariidae,AUS
Northern Cassowary,Casuarius unappendiculatus,,CASUARIIFORMES,Casuariidae,AUS
Emu,Dromaius novaehollandiae,,CASUARIIFORMES,Casuariidae,AUS
Southern Brown Kiwi,Apteryx australis,Vulnerable,APTERYGIFORMES,Apterygidae,AUS
Okarito Brown Kiwi,Apteryx rowi,Vulnerable,APTERYGIFORMES,Apterygidae,AUS
North Island Brown Kiwi,Apteryx mantelli,Vulnerable,APTERYGIFORMES,Apterygidae,AUS
Little Spotted Kiwi,Apteryx owenii,Near-threatened,APTERYGIFORMES,Apterygidae,AUS
Great Spotted Kiwi,Apteryx maxima,Vulnerable,APTERYGIFORMES,Apterygidae,AUS
Magpie Goose,Anseranas semipalmata,,ANSERIFORMES,Anseranatidae,AUS
Spotted Whistling-Duck,Dendrocygna guttata,,ANSERIFORMES,Anatidae,AUS
Plumed Whistling-Duck,Dendrocygna eytoni,,ANSERIFORMES,Anatidae,AUS
Wandering Whistling-Duck,Dendrocygna arcuata,,ANSERIFORMES,Anatidae,AUS
Graylag Goose,Anser anser,Introduced species,ANSERIFORMES,Anatidae,AUS
Greater White-fronted Goose,Anser albifrons,,ANSERIFORMES,Anatidae,AUS
Canada Goose,Branta canadensis,Introduced species,ANSERIFORMES,Anatidae,AUS
Cape Barren Goose,Cereopsis novaehollandiae,,ANSERIFORMES,Anatidae,AUS
Freckled Duck,Stictonetta naevosa,,ANSERIFORMES,Anatidae,AUS
Mute Swan,Cygnus olor,,ANSERIFORMES,Anatidae,AUS
Black Swan,Cygnus atratus,,ANSERIFORMES,Anatidae,AUS
Radjah Shelduck,Radjah radjah,,ANSERIFORMES,Anatidae,AUS
Australian Shelduck,Tadorna tadornoides,,ANSERIFORMES,Anatidae,AUS
Paradise Shelduck,Tadorna variegata,,ANSERIFORMES,Anatidae,AUS
Muscovy Duck,Cairina moschata,,ANSERIFORMES,Anatidae,AUS
Green Pygmy-Goose,Nettapus pulchellus,,ANSERIFORMES,Anatidae,AUS
Cotton Pygmy-Goose,Nettapus coromandelianus,,ANSERIFORMES,Anatidae,AUS
Maned Duck,Chenonetta jubata,,ANSERIFORMES,Anatidae,AUS
Blue Duck,Hymenolaimus malacorhynchos,Endangered,ANSERIFORMES,Anatidae,AUS
Salvadori's Teal,Salvadorina waigiuensis,,ANSERIFORMES,Anatidae,AUS
Garganey,Spatula querquedula,,ANSERIFORMES,Anatidae,AUS
Australasian Shoveler,Spatula rhynchotis,,ANSERIFORMES,Anatidae,AUS
Northern Shoveler,Spatula clypeata,,ANSERIFORMES,Anatidae,AUS
Eurasian Wigeon,Mareca penelope,,ANSERIFORMES,Anatidae,AUS
Pacific Black Duck,Anas superciliosa,,ANSERIFORMES,Anatidae,AUS
Eastern Spot-billed Duck,Anas zonorhyncha,,ANSERIFORMES,Anatidae,AUS
Mallard,Anas platyrhynchos,,ANSERIFORMES,Anatidae,AUS
Northern Pintail,Anas acuta,Rare/Accidental,ANSERIFORMES,Anatidae,AUS
Green-winged Teal,Anas crecca,Rare/Accidental,ANSERIFORMES,Anatidae,AUS
Sunda Teal,Anas gibberifrons,Near-threatened,ANSERIFORMES,Anatidae,AUS
Gray Teal,Anas gracilis,,ANSERIFORMES,Anatidae,AUS
Chestnut Teal,Anas castanea,,ANSERIFORMES,Anatidae,AUS
Auckland Islands Teal,Anas aucklandica,Near-threatened,ANSERIFORMES,Anatidae,AUS
Campbell Islands Teal,Anas nesiotis,Vulnerable,ANSERIFORMES,Anatidae,AUS
Brown Teal,Anas chlorotis,Near-threatened,ANSERIFORMES,Anatidae,AUS
Pink-eared Duck,Malacorhynchus membranaceus,,ANSERIFORMES,Anatidae,AUS
Hardhead,Aythya australis,,ANSERIFORMES,Anatidae,AUS
Tufted Duck,Aythya fuligula,Rare/Accidental,ANSERIFORMES,Anatidae,AUS
New Zealand Scaup,Aythya novaeseelandiae,,ANSERIFORMES,Anatidae,AUS
Auckland Islands Merganser,Mergus australis,Extinct,ANSERIFORMES,Anatidae,AUS
Blue-billed Duck,Oxyura australis,,ANSERIFORMES,Anatidae,AUS
Musk Duck,Biziura lobata,,ANSERIFORMES,Anatidae,AUS
