common_name,scientific_name,status,order,family,region
Highland Tinamou,Nothocercus bonapartei,,TINAMIFORMES,Tinamidae,CAM
Great Tinamou,Tinamus major,,TINAMIFORMES,Tinamidae,CAM
Little Tinamou,Crypturellus soui,,TINAMIFORMES,Tinamidae,CAM
Slaty-breasted Tinamou,Crypturellus boucardi,Vulnerable,TINAMIFORMES,Tinamidae,CAM
Choco Tinamou,Crypturellus kerriae,Near-threatened,TINAMIFORMES,Tinamidae,CAM
Thicket Tinamou,Crypturellus cinnamomeus,,TINAMIFORMES,Tinamidae,CAM
Northern Screamer,Chauna chavaria,Rare/Accidental,ANSERIFORMES,Anhimidae,CAM
White-faced Whistling-Duck,Dendrocygna viduata,,ANSERIFORMES,Anatidae,CAM
Black-bellied Whistling-Duck,Dendrocygna autumnalis,,ANSERIFORMES,Anatidae,CAM
Fulvous Whistling-Duck,Dendrocygna bicolor,,ANSERIFORMES,Anatidae,CAM
Snow Goose,Anser caerulescens,,ANSERIFORMES,Anatidae,CAM
Ross's Goose,Anser rossii,,ANSERIFORMES,Anatidae,CAM
Graylag Goose,Anser anser,,ANSERIFORMES,Anatidae,CAM
Greater White-fronted Goose,Anser albifrons,,ANSERIFORMES,Anatidae,CAM
Tundra Bean-Goose,Anser serrirostris,Rare/Accidental,ANSERIFORMES,Anatidae,CAM
Brant,Branta bernicla,,ANSERIFORMES,Anatidae,CAM
Cackling Goose,Branta hutchinsii,,ANSERIFORMES,Anatidae,CAM
Canada Goose,Branta canadensis,,ANSERIFORMES,Anatidae,CAM
Trumpeter Swan,Cygnus buccinator,Rare/Accidental,ANSERIFORMES,Anatidae,CAM
Tundra Swan,Cygnus columbianus,,ANSERIFORMES,Anatidae,CAM
Comb Duck,Sarkidiornis sylvicola,,ANSERIFORMES,Anatidae,CAM
Orinoco Goose,Oressochen jubatus,Rare/Accidental Near-threatened,ANSERIFORMES,Anatidae,CAM
Muscovy Duck,Cairina moschata,,ANSERIFORMES,Anatidae,CAM
Wood Duck,Aix sponsa,,ANSERIFORMES,Anatidae,CAM
Garganey,Spatula querquedula,,ANSERIFORMES,Anatidae,CAM
Blue-winged Teal,Spatula discors,,ANSERIFORMES,Anatidae,CAM
Cinnamon Teal,Spatula cyanoptera,,ANSERIFORMES,Anatidae,CAM
Northern Shoveler,Spatula clypeata,,ANSERIFORMES,Anatidae,CAM
Gadwall,Mareca strepera,,ANSERIFORMES,Anatidae,CAM
Eurasian Wigeon,Mareca penelope,Rare/Accidental,ANSERIFORMES,Anatidae,CAM
American Wigeon,Mareca americana,,ANSERIFORMES,Anatidae,CAM
Mallard,Anas platyrhynchos,,ANSERIFORMES,Anatidae,CAM
Mexican Duck,Anas diazi,,ANSERIFORMES,Anatidae,CAM
Mottled Duck,Anas fulvigula,,ANSERIFORMES,Anatidae,CAM
White-cheeked Pintail,Anas bahamensis,Rare/Accidental,ANSERIFORMES,Anatidae,CAM
Northern Pintail,Anas acuta,,ANSERIFORMES,Anatidae,CAM
Green-winged Teal,Anas crecca,,ANSERIFORMES,Anatidae,CAM
Canvasback,Aythya valisineria,,ANSERIFORMES,Anatidae,CAM
Redhead,Aythya americana,,ANSERIFORMES,Anatidae,CAM
Common Pochard,Aythya ferina,Rare/Accidental Vulnerable,ANSERIFORMES,Anatidae,CAM
Ring-necked Duck,Aythya collaris,,ANSERIFORMES,Anatidae,CAM
Greater Scaup,Aythya marila,,ANSERIFORMES,Anatidae,CAM
Lesser Scaup,Aythya affinis,,ANSERIFORMES,Anatidae,CAM
Harlequin Duck,Histrionicus histrionicus,Rare/Accidental,ANSERIFORMES,Anatidae,CAM
Surf Scoter,Melanitta perspicillata,,ANSERIFORMES,Anatidae,CAM
White-winged Scoter,Melanitta deglandi,,ANSERIFORMES,Anatidae,CAM
Black Scoter,Melanitta americana,Near-threatened,ANSERIFORMES,Anatidae,CAM
Long-tailed Duck,Clangula hyemalis,Rare/Accidental Vulnerable,ANSERIFORMES,Anatidae,CAM
Bufflehead,Bucephala albeola,,ANSERIFORMES,Anatidae,CAM
Common Goldeneye,Bucephala clangula,,ANSERIFORMES,Anatidae,CAM
Barrow's Goldeneye,Bucephala islandica,,ANSERIFORMES,Anatidae,CAM
Smew,Mergellus albellus,Rare/Accidental,ANSERIFORMES,Anatidae,CAM
Hooded Merganser,Lophodytes cucullatus,,ANSERIFORMES,Anatidae,CAM
Common Merganser,Mergus merganser,,ANSERIFORMES,Anatidae,CAM
Red-breasted Merganser,Mergus serrator,,ANSERIFORMES,Anatidae,CAM
Masked Duck,Nomonyx dominicus,,ANSERIFORMES,Anatidae,CAM
Ruddy Duck,Oxyura jamaicensis,,ANSERIFORMES,Anatidae,CAM
Plain Chachalaca,Ortalis vetula,,GALLIFORMES,Cracidae,CAM
Gray-headed Chachalaca,Ortalis cinereiceps,,GALLIFORMES,Cracidae,CAM
Rufous-bellied Chachalaca,Ortalis wagleri,,GALLIFORMES,Cracidae,CAM
West Mexican Chachalaca,Ortalis poliocephala,,GALLIFORMES,Cracidae,CAM
White-bellied Chachalaca,Ortalis leucogastra,,GALLIFORMES,Cracidae,CAM
Baudo Guan,Penelope ortoni,Rare/Accidental Endangered,GALLIFORMES,Cracidae,CAM
Crested Guan,Penelope purpurascens,Near-threatened,GALLIFORMES,Cracidae,CAM
Black Guan,Chamaepetes unicolor,,GALLIFORMES,Cracidae,CAM
Highland Guan,Penelopina nigra,Vulnerable,GALLIFORMES,Cracidae,CAM
Horned Guan,Oreophasis derbianus,Endangered,GALLIFORMES,Cracidae,CAM
Great Curassow,Crax rubra,Vulnerable,GALLIFORMES,Cracidae,CAM
Tawny-faced Quail,Rhynchortyx cinctus,Near-threatened,GALLIFORMES,Odontophoridae,CAM
Mountain Quail,Oreortyx pictus,,GALLIFORMES,Odontophoridae,CAM
Buffy-crowned Wood-Partridge,Dendrortyx leucophrys,,GALLIFORMES,Odontophoridae,CAM
Long-tailed Wood-Partridge,Dendrortyx macroura,,GALLIFORMES,Odontophoridae,CAM
Bearded Wood-Partridge,Dendrortyx barbatus,Vulnerable,GALLIFORMES,Odontophoridae,CAM
Banded Quail,Philortyx fasciatus,,GALLIFORMES,Odontophoridae,CAM
Northern Bobwhite,Colinus virginianus,Near-threatened,GALLIFORMES,Odontophoridae,CAM
Black-throated Bobwhite,Colinus nigrogularis,,GALLIFORMES,Odontophoridae,CAM
Spot-bellied Bobwhite,Colinus leucopogon,,GALLIFORMES,Odontophoridae,CAM
Crested Bobwhite,Colinus cristatus,,GALLIFORMES,Odontophoridae,CAM
Scaled Quail,Callipepla squamata,,GALLIFORMES,Odontophoridae,CAM
Elegant Quail,Callipepla douglasii,,GALLIFORMES,Odontophoridae,CAM
California Quail,Callipepla californica,,GALLIFORMES,Odontophoridae,CAM
Gambel's Quail,Callipepla gambelii,,GALLIFORMES,Odontophoridae,CAM
Montezuma Quail,Cyrtonyx montezumae,,GALLIFORMES,Odontophoridae,CAM
Ocellated Quail,Cyrtonyx ocellatus,Vulnerable,GALLIFORMES,Odontophoridae,CAM
Singing Quail,Dactylortyx thoracicus,,GALLIFORMES,Odontophoridae,CAM
Marbled Wood-Quail,Odontophorus gujanensis,,GALLIFORMES,Odontophoridae,CAM
Black-eared Wood-Quail,Odontophorus melanotis,Near-threatened,GALLIFORMES,Odontophoridae,CAM
