common_name,scientific_name,status,order,family,region
White-faced Whistling-Duck,Dendrocygna viduata,Rare/Accidental,ANSERIFORMES,Anatidae,EUR
Fulvous Whistling-Duck,Dendrocygna bicolor,Uncertain origin,ANSERIFORMES,Anatidae,EUR
Bar-headed Goose,Anser indicus,Introduced species,ANSERIFORMES,Anatidae,EUR
Snow Goose,Anser caerulescens,Rare/Accidental,ANSERIFORMES,Anatidae,EUR
Ross's Goose,Anser rossii,Rare/Accidental,ANSERIFORMES,Anatidae,EUR
Graylag Goose,Anser anser,,ANSERIFORMES,Anatidae,EUR
Greater White-fronted Goose,Anser albifrons,,ANSERIFORMES,Anatidae,EUR
Lesser White-fronted Goose,Anser erythropus,Vulnerable,ANSERIFORMES,Anatidae,EUR
Taiga Bean-Goose,Anser fabalis,,ANSERIFORMES,Anatidae,EUR
Tundra Bean-Goose,Anser serrirostris,,ANSERIFORMES,Anatidae,EUR
Pink-footed Goose,Anser brachyrhynchus,,ANSERIFORMES,Anatidae,EUR
Brant,Branta bernicla,,ANSERIFORMES,Anatidae,EUR
Barnacle Goose,Branta leucopsis,,ANSERIFORMES,Anatidae,EUR
Cackling Goose,Branta hutchinsii,Rare/Accidental,ANSERIFORMES,Anatidae,EUR
Canada Goose,Branta canadensis,Introduced species,ANSERIFORMES,Anatidae,EUR
Red-breasted Goose,Branta ruficollis,Vulnerable,ANSERIFORMES,Anatidae,EUR
Mute Swan,Cygnus olor,,ANSERIFORMES,Anatidae,EUR
Tundra Swan,Cygnus columbianus,,ANSERIFORMES,Anatidae,EUR
Whooper Swan,Cygnus cygnus,,ANSERIFORMES,Anatidae,EUR
Egyptian Goose,Alopochen aegyptiaca,,ANSERIFORMES,Anatidae,EUR
Ruddy Shelduck,Tadorna ferruginea,,ANSERIFORMES,Anatidae,EUR
Common Shelduck,Tadorna tadorna,,ANSERIFORMES,Anatidae,EUR
Wood Duck,Aix sponsa,Introduced species,ANSERIFORMES,Anatidae,EUR
Mandarin Duck,Aix galericulata,Introduced species,ANSERIFORMES,Anatidae,EUR
Baikal Teal,Sibirionetta formosa,,ANSERIFORMES,Anatidae,EUR
Garganey,Spatula querquedula,,ANSERIFORMES,Anatidae,EUR
Blue-winged Teal,Spatula discors,Rare/Accidental,ANSERIFORMES,Anatidae,EUR
Northern Shoveler,Spatula clypeata,,ANSERIFORMES,Anatidae,EUR
Gadwall,Mareca strepera,,ANSERIFORMES,Anatidae,EUR
Falcated Duck,Mareca falcata,,ANSERIFORMES,Anatidae,EUR
Eurasian Wigeon,Mareca penelope,,ANSERIFORMES,Anatidae,EUR
American Wigeon,Mareca americana,Rare/Accidental,ANSERIFORMES,Anatidae,EUR
Eastern Spot-billed Duck,Anas zonorhyncha,Uncertain origin,ANSERIFORMES,Anatidae,EUR
Mallard,Anas platyrhynchos,,ANSERIFORMES,Anatidae,EUR
American Black Duck,Anas rubripes,Rare/Accidental,ANSERIFORMES,Anatidae,EUR
Northern Pintail,Anas acuta,,ANSERIFORMES,Anatidae,EUR
Green-winged Teal,Anas crecca,,ANSERIFORMES,Anatidae,EUR
Marbled Duck,Marmaronetta angustirostris,Near-threatened,ANSERIFORMES,Anatidae,EUR
Red-crested Pochard,Netta rufina,,ANSERIFORMES,Anatidae,EUR
Canvasback,Aythya valisineria,Rare/Accidental,ANSERIFORMES,Anatidae,EUR
Redhead,Aythya americana,Rare/Accidental,ANSERIFORMES,Anatidae,EUR
Common Pochard,Aythya ferina,Vulnerable,ANSERIFORMES,Anatidae,EUR
Ring-necked Duck,Aythya collaris,Rare/Accidental,ANSERIFORMES,Anatidae,EUR
Ferruginous Duck,Aythya nyroca,Near-threatened,ANSERIFORMES,Anatidae,EUR
