common_name,scientific_name,status,order,family,region
Common Ostrich,Struthio camelus,,STRUTHIONIFORMES,Struthionidae,MID
White-faced Whistling-Duck,Dendrocygna viduata,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Fulvous Whistling-Duck,Dendrocygna bicolor,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Lesser Whistling-Duck,Dendrocygna javanica,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Bar-headed Goose,Anser indicus,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Snow Goose,Anser caerulescens,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Graylag Goose,Anser anser,,ANSERIFORMES,Anatidae,MID
Greater White-fronted Goose,Anser albifrons,,ANSERIFORMES,Anatidae,MID
Lesser White-fronted Goose,Anser erythropus,Vulnerable,ANSERIFORMES,Anatidae,MID
Taiga Bean-Goose,Anser fabalis,,ANSERIFORMES,Anatidae,MID
Tundra Bean-Goose,Anser serrirostris,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Pink-footed Goose,Anser brachyrhynchus,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Brant,Branta bernicla,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Barnacle Goose,Branta leucopsis,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Cackling Goose,Branta hutchinsii,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Canada Goose,Branta canadensis,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Red-breasted Goose,Branta ruficollis,Vulnerable,ANSERIFORMES,Anatidae,MID
Mute Swan,Cygnus olor,,ANSERIFORMES,Anatidae,MID
Black Swan,Cygnus atratus,Uncertain origin,ANSERIFORMES,Anatidae,MID
Tundra Swan,Cygnus columbianus,,ANSERIFORMES,Anatidae,MID
Whooper Swan,Cygnus cygnus,,ANSERIFORMES,Anatidae,MID
Knob-billed Duck,Sarkidiornis melanotos,,ANSERIFORMES,Anatidae,MID
Egyptian Goose,Alopochen aegyptiaca,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Ruddy Shelduck,Tadorna ferruginea,,ANSERIFORMES,Anatidae,MID
Common Shelduck,Tadorna tadorna,,ANSERIFORMES,Anatidae,MID
Spur-winged Goose,Plectropterus gambensis,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Muscovy Duck,Cairina moschata,Introduced species,ANSERIFORMES,Anatidae,MID
Cotton Pygmy-Goose,Nettapus coromandelianus,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Ringed Teal,Callonetta leucophrys,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Mandarin Duck,Aix galericulata,Uncertain origin,ANSERIFORMES,Anatidae,MID
Baikal Teal,Sibirionetta formosa,,ANSERIFORMES,Anatidae,MID
Garganey,Spatula querquedula,,ANSERIFORMES,Anatidae,MID
Northern Shoveler,Spatula clypeata,,ANSERIFORMES,Anatidae,MID
Gadwall,Mareca strepera,,ANSERIFORMES,Anatidae,MID
Falcated Duck,Mareca falcata,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Eurasian Wigeon,Mareca penelope,,ANSERIFORMES,Anatidae,MID
Indian Spot-billed Duck,Anas poecilorhyncha,Introduced species,ANSERIFORMES,Anatidae,MID
Eastern Spot-billed Duck,Anas zonorhyncha,Uncertain origin,ANSERIFORMES,Anatidae,MID
Mallard,Anas platyrhynchos,,ANSERIFORMES,Anatidae,MID
Cape Teal,Anas capensis,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Red-billed Duck,Anas erythrorhyncha,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Northern Pintail,Anas acuta,,ANSERIFORMES,Anatidae,MID
Green-winged Teal,Anas crecca,,ANSERIFORMES,Anatidae,MID
Marbled Duck,Marmaronetta angustirostris,Near-threatened,ANSERIFORMES,Anatidae,MID
Red-crested Pochard,Netta rufina,,ANSERIFORMES,Anatidae,MID
Southern Pochard,Netta erythrophthalma,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Canvasback,Aythya valisineria,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Common Pochard,Aythya ferina,Vulnerable,ANSERIFORMES,Anatidae,MID
Ferruginous Duck,Aythya nyroca,Near-threatened,ANSERIFORMES,Anatidae,MID
Tufted Duck,Aythya fuligula,,ANSERIFORMES,Anatidae,MID
Greater Scaup,Aythya marila,,ANSERIFORMES,Anatidae,MID
Common Eider,Somateria mollissima,Rare/Accidental Near-threatened,ANSERIFORMES,Anatidae,MID
Velvet Scoter,Melanitta fusca,Vulnerable,ANSERIFORMES,Anatidae,MID
