common_name,scientific_name,status,order,family,region
Highland Tinamou,Nothocercus bonapartei,,TINAMIFORMES,Tinamidae,NAM
Great Tinamou,Tinamus major,,TINAMIFORMES,Tinamidae,NAM
Little Tinamou,Crypturellus soui,,TINAMIFORMES,Tinamidae,NAM
Slaty-breasted Tinamou,Crypturellus boucardi,Vulnerable,TINAMIFORMES,Tinamidae,NAM
Choco Tinamou,Crypturellus kerriae,Near-threatened,TINAMIFORMES,Tinamidae,NAM
Thicket Tinamou,Crypturellus cinnamomeus,,TINAMIFORMES,Tinamidae,NAM
Northern Screamer,Chauna chavaria,Rare/Accidental,ANSERIFORMES,Anhimidae,NAM
White-faced Whistling-Duck,Dendrocygna viduata,,ANSERIFORMES,Anatidae,NAM
Black-bellied Whistling-Duck,Dendrocygna autumnalis,,ANSERIFORMES,Anatidae,NAM
West Indian Whistling-Duck,Dendrocygna arborea,Near-threatened,ANSERIFORMES,Anatidae,NAM
Fulvous Whistling-Duck,Dendrocygna bicolor,,ANSERIFORMES,Anatidae,NAM
Bar-headed Goose,Anser indicus,Uncertain origin,ANSERIFORMES,Anatidae,NAM
Emperor Goose,Anser canagicus,,ANSERIFORMES,Anatidae,NAM
Snow Goose,Anser caerulescens,,ANSERIFORMES,Anatidae,NAM
Ross's Goose,Anser rossii,,ANSERIFORMES,Anatidae,NAM
Graylag Goose,Anser anser,Rare/Accidental,ANSERIFORMES,Anatidae,NAM
Swan Goose,Anser cygnoides,Introduced species Endangered,ANSERIFORMES,Anatidae,NAM
Greater White-fronted Goose,Anser albifrons,,ANSERIFORMES,Anatidae,NAM
Lesser White-fronted Goose,Anser erythropus,Rare/Accidental Vulnerable,ANSERIFORMES,Anatidae,NAM
Taiga Bean-Goose,Anser fabalis,,ANSERIFORMES,Anatidae,NAM
Tundra Bean-Goose,Anser serrirostris,,ANSERIFORMES,Anatidae,NAM
Pink-footed Goose,Anser brachyrhynchus,,ANSERIFORMES,Anatidae,NAM
Brant,Branta bernicla,,ANSERIFORMES,Anatidae,NAM
Barnacle Goose,Branta leucopsis,,ANSERIFORMES,Anatidae,NAM
Cackling Goose,Branta hutchinsii,,ANSERIFORMES,Anatidae,NAM
Canada Goose,Branta canadensis,,ANSERIFORMES,Anatidae,NAM
Hawaiian Goose,Branta sandvicensis,Near-threatened,ANSERIFORMES,Anatidae,NAM
Mute Swan,Cygnus olor,Introduced species,ANSERIFORMES,Anatidae,NAM
Trumpeter Swan,Cygnus buccinator,,ANSERIFORMES,Anatidae,NAM
Tundra Swan,Cygnus columbianus,,ANSERIFORMES,Anatidae,NAM
