common_name,scientific_name,status,order,family,region
Common Ostrich,Struthio camelus,Introduced species,STRUTHIONIFORMES,Struthionidae,OCE
Southern Cassowary,Casuarius casuarius,,CASUARIIFORMES,Casuariidae,OCE
Dwarf Cassowary,Casuarius bennetti,,CASUARIIFORMES,Casuariidae,OCE
Northern Cassowary,Casuarius unappendiculatus,,CASUARIIFORMES,Casuariidae,OCE
Emu,Dromaius novaehollandiae,,CASUARIIFORMES,Casuariidae,OCE
Southern Brown Kiwi,Apteryx australis,Vulnerable,APTERYGIFORMES,Apterygidae,OCE
Okarito Brown Kiwi,Apteryx rowi,Vulnerable,APTERYGIFORMES,Apterygidae,OCE
North Island Brown Kiwi,Apteryx mantelli,Vulnerable,APTERYGIFORMES,Apterygidae,OCE
Little Spotted Kiwi,Apteryx owenii,Near-threatened,APTERYGIFORMES,Apterygidae,OCE
Great Spotted Kiwi,Apteryx maxima,Vulnerable,APTERYGIFORMES,Apterygidae,OCE
Magpie Goose,Anseranas semipalmata,,ANSERIFORMES,Anseranatidae,OCE
Spotted Whistling-Duck,Dendrocygna guttata,,ANSERIFORMES,Anatidae,OCE
Plumed Whistling-Duck,Dendrocygna eytoni,,ANSERIFORMES,Anatidae,OCE
Fulvous Whistling-Duck,Dendrocygna bicolor,,ANSERIFORMES,Anatidae,OCE
Wandering Whistling-Duck,Dendrocygna arcuata,,ANSERIFORMES,Anatidae,OCE
Emperor Goose,Anser canagicus,,ANSERIFORMES,Anatidae,OCE
Snow Goose,Anser caerulescens,,ANSERIFORMES,Anatidae,OCE
Graylag Goose,Anser anser,Introduced species,ANSERIFORMES,Anatidae,OCE
Greater White-fronted Goose,Anser albifrons,,ANSERIFORMES,Anatidae,OCE
Brant,Branta bernicla,,ANSERIFORMES,Anatidae,OCE
Cackling Goose,Branta hutchinsii,,ANSERIFORMES,Anatidae,OCE
Canada Goose,Branta canadensis,Introduced species,ANSERIFORMES,Anatidae,OCE
Hawaiian Goose,Branta sandvicensis,Near-threatened,ANSERIFORMES,Anatidae,OCE
Cape Barren Goose,Cereopsis novaehollandiae,,ANSERIFORMES,Anatidae,OCE
Freckled Duck,Stictonetta naevosa,,ANSERIFORMES,Anatidae,OCE
Mute Swan,Cygnus olor,,ANSERIFORMES,Anatidae,OCE
Black Swan,Cygnus atratus,,ANSERIFORMES,Anatidae,OCE
Tundra Swan,Cygnus columbianus,,ANSERIFORMES,Anatidae,OCE
Radjah Shelduck,Radjah radjah,,ANSERIFORMES,Anatidae,OCE
Australian Shelduck,Tadorna tadornoides,,ANSERIFORMES,Anatidae,OCE
Paradise Shelduck,Tadorna variegata,,ANSERIFORMES,Anatidae,OCE
Muscovy Duck,Cairina moschata,,ANSERIFORMES,Anatidae,OCE
Green Pygmy-Goose,Nettapus pulchellus,,ANSERIFORMES,Anatidae,OCE
Cotton Pygmy-Goose,Nettapus coromandelianus,,ANSERIFORMES,Anatidae,OCE
Maned Duck,Chenonetta jubata,,ANSERIFORMES,Anatidae,OCE
Blue Duck,Hymenolaimus malacorhynchos,Endangered,ANSERIFORMES,Anatidae,OCE
Salvadori's Teal,Salvadorina waigiuensis,,ANSERIFORMES,Anatidae,OCE
Baikal Teal,Sibirionetta formosa,Rare/Accidental,ANSERIFORMES,Anatidae,OCE
Garganey,Spatula querquedula,,ANSERIFORMES,Anatidae,OCE
Blue-winged Teal,Spatula discors,,ANSERIFORMES,Anatidae,OCE
Cinnamon Teal,Spatula cyanoptera,,ANSERIFORMES,Anatidae,OCE
Australasian Shoveler,Spatula rhynchotis,,ANSERIFORMES,Anatidae,OCE
Northern Shoveler,Spatula clypeata,,ANSERIFORMES,Anatidae,OCE
Falcated Duck,Mareca falcata,Rare/Accidental,ANSERIFORMES,Anatidae,OCE
Eurasian Wigeon,Mareca penelope,,ANSERIFORMES,Anatidae,OCE
American Wigeon,Mareca americana,,ANSERIFORMES,Anatidae,OCE
Pacific Black Duck,Anas superciliosa,,ANSERIFORMES,Anatidae,OCE
Laysan Duck,Anas laysanensis,Critically endangered,ANSERIFORMES,Anatidae,OCE
Hawaiian Duck,Anas wyvilliana,Vulnerable,ANSERIFORMES,Anatidae,OCE
Eastern Spot-billed Duck,Anas zonorhyncha,Rare/Accidental,ANSERIFORMES,Anatidae,OCE
Mallard,Anas platyrhynchos,,ANSERIFORMES,Anatidae,OCE
