common_name,scientific_name,status,order,family,region
Fulvous Whistling-Duck,Dendrocygna bicolor,,ANSERIFORMES,Anatidae,PAC
Wandering Whistling-Duck,Dendrocygna arcuata,,ANSERIFORMES,Anatidae,PAC
Emperor Goose,Anser canagicus,,ANSERIFORMES,Anatidae,PAC
Snow Goose,Anser caerulescens,,ANSERIFORMES,Anatidae,PAC
Greater White-fronted Goose,Anser albifrons,,ANSERIFORMES,Anatidae,PAC
Brant,Branta bernicla,,ANSERIFORMES,Anatidae,PAC
Cackling Goose,Branta hutchinsii,,ANSERIFORMES,Anatidae,PAC
Canada Goose,Branta canadensis,,ANSERIFORMES,Anatidae,PAC
Hawaiian Goose,Branta sandvicensis,Near-threatened,ANSERIFORMES,Anatidae,PAC
Tundra Swan,Cygnus columbianus,,ANSERIFORMES,Anatidae,PAC
Australian Shelduck,Tadorna tadornoides,Rare/Accidental,ANSERIFORMES,Anatidae,PAC
Baikal Teal,Sibirionetta formosa,Rare/Accidental,ANSERIFORMES,Anatidae,PAC
Garganey,Spatula querquedula,,ANSERIFORMES,Anatidae,PAC
Blue-winged Teal,Spatula discors,,ANSERIFORMES,Anatidae,PAC
Cinnamon Teal,Spatula cyanoptera,,ANSERIFORMES,Anatidae,PAC
Northern Shoveler,Spatula clypeata,,ANSERIFORMES,Anatidae,PAC
Gadwall,Mareca strepera,,ANSERIFORMES,Anatidae,PAC
Falcated Duck,Mareca falcata,Rare/Accidental,ANSERIFORMES,Anatidae,PAC
Eurasian Wigeon,Mareca penelope,,ANSERIFORMES,Anatidae,PAC
American Wigeon,Mareca americana,,ANSERIFORMES,Anatidae,PAC
Pacific Black Duck,Anas superciliosa,,ANSERIFORMES,Anatidae,PAC
Laysan Duck,Anas laysanensis,Critically endangered,ANSERIFORMES,Anatidae,PAC
Hawaiian Duck,Anas wyvilliana,Vulnerable,ANSERIFORMES,Anatidae,PAC
Eastern Spot-billed Duck,Anas zonorhyncha,Rare/Accidental,ANSERIFORMES,Anatidae,PAC
Mallard,Anas platyrhynchos,,ANSERIFORMES,Anatidae,PAC
Northern Pintail,Anas acuta,,ANSERIFORMES,Anatidae,PAC
Green-winged Teal,Anas crecca,,ANSERIFORMES,Anatidae,PAC
Canvasback,Aythya valisineria,,ANSERIFORMES,Anatidae,PAC
Redhead,Aythya americana,,ANSERIFORMES,Anatidae,PAC
Common Pochard,Aythya ferina,Vulnerable,ANSERIFORMES,Anatidae,PAC
Ring-necked Duck,Aythya collaris,,ANSERIFORMES,Anatidae,PAC
Baer's Pochard,Aythya baeri,Rare/Accidental Critically endangered,ANSERIFORMES,Anatidae,PAC
Tufted Duck,Aythya fuligula,,ANSERIFORMES,Anatidae,PAC
Greater Scaup,Aythya marila,,ANSERIFORMES,Anatidae,PAC
Lesser Scaup,Aythya affinis,,ANSERIFORMES,Anatidae,PAC
Harlequin Duck,Histrionicus histrionicus,,ANSERIFORMES,Anatidae,PAC
Surf Scoter,Melanitta perspicillata,,ANSERIFORMES,Anatidae,PAC
Black Scoter,Melanitta americana,Near-threatened,ANSERIFORMES,Anatidae,PAC
Long-tailed Duck,Clangula hyemalis,Vulnerable,ANSERIFORMES,Anatidae,PAC
Bufflehead,Bucephala albeola,,ANSERIFORMES,Anatidae,PAC
Common Goldeneye,Bucephala clangula,Rare/Accidental,ANSERIFORMES,Anatidae,PAC
Hooded Merganser,Lophodytes cucullatus,,ANSERIFORMES,Anatidae,PAC
Common Merganser,Mergus merganser,Rare/Accidental,ANSERIFORMES,Anatidae,PAC
Red-breasted Merganser,Mergus serrator,,ANSERIFORMES,Anatidae,PAC
Tongan Megapode,Megapodius pritchardii,Vulnerable,GALLIFORMES,Megapodiidae,PAC
Micronesian Megapode,Megapodius laperouse,Endemic Near-threatened,GALLIFORMES,Megapodiidae,PAC
Melanesian Megapode,Megapodius eremita,Rare/Accidental,GALLIFORMES,Megapodiidae,PAC
Helmeted Guineafowl,Numida meleagris,Extirpated,GALLIFORMES,Numididae,PAC
California Quail,Callipepla californica,Introduced species,GALLIFORMES,Odontophoridae,PAC
Gambel's Quail,Callipepla gambelii,Introduced species,GALLIFORMES,Odontophoridae,PAC
Wild Turkey,Meleagris gallopavo,Introduced species,GALLIFORMES,Phasianidae,PAC
Ring-necked Pheasant,Phasianus colchicus,,GALLIFORMES,Phasianidae,PAC
Green Pheasant,Phasianus versicolor,,GALLIFORMES,Phasianidae,PAC
Kalij Pheasant,Lophura leucomelanos,,GALLIFORMES,Phasianidae,PAC
Indian Peafowl,Pavo cristatus,,GALLIFORMES,Phasianidae,PAC
Red Junglefowl,Gallus gallus,,GALLIFORMES,Phasianidae,PAC
Gray Francolin,Ortygornis pondicerianus,,GALLIFORMES,Phasianidae,PAC
Black Francolin,Francolinus francolinus,,GALLIFORMES,Phasianidae,PAC
Brown Quail,Synoicus ypsilophorus,,GALLIFORMES,Phasianidae,PAC
Blue-breasted Quail,Synoicus chinensis,,GALLIFORMES,Phasianidae,PAC
Japanese Quail,Coturnix japonica,Near-threatened,GALLIFORMES,Phasianidae,PAC
Chukar,Alectoris chukar,Introduced species,GALLIFORMES,Phasianidae,PAC
Erckel's Spurfowl,Pternistis erckelii,,GALLIFORMES,Phasianidae,PAC
Rock Pigeon,Columba livia,,COLUMBIFORMES,Columbidae,PAC
Metallic Pigeon,Columba vitiensis,,COLUMBIFORMES,Columbidae,PAC
Scaly-naped Pigeon,Patagioenas squamosa,,COLUMBIFORMES,Columbidae,PAC
White-crowned Pigeon,Patagioenas leucocephala,Near-threatened,COLUMBIFORMES,Columbidae,PAC
Plain Pigeon,Patagioenas inornata,Near-threatened,COLUMBIFORMES,Columbidae,PAC
Philippine Collared-Dove,Streptopelia dusumieri,Introduced species Vulnerable,COLUMBIFORMES,Columbidae,PAC
Spotted Dove,Spilopelia chinensis,,COLUMBIFORMES,Columbidae,PAC
Pacific Emerald Dove,Chalcophaps longirostris,,COLUMBIFORMES,Columbidae,PAC
Shy Ground Dove,Pampusana stairi,,COLUMBIFORMES,Columbidae,PAC
Palau Ground Dove,Pampusana canifrons,Endangered,COLUMBIFORMES,Columbidae,PAC
Marquesan Ground Dove,Pampusana rubescens,Endangered,COLUMBIFORMES,Columbidae,PAC
Caroline Islands Ground Dove,Pampusana kubaryi,Endangered,COLUMBIFORMES,Columbidae,PAC
Polynesian Ground Dove,Pampusana erythroptera,Critically endangered,COLUMBIFORMES,Columbidae,PAC
White-throated Ground Dove,Pampusana xanthonura,Near-threatened,COLUMBIFORMES,Columbidae,PAC
Zebra Dove,Geopelia striata,,COLUMBIFORMES,Columbidae,PAC
Common Ground Dove,Columbina passerina,,COLUMBIFORMES,Columbidae,PAC
White-winged Dove,Zenaida asiatica,,COLUMBIFORMES,Columbidae,PAC
Mourning Dove,Zenaida macroura,,COLUMBIFORMES,Columbidae,PAC
Nicobar Pigeon,Caloenas nicobarica,Near-threatened,COLUMBIFORMES,Columbidae,PAC
Spotted Green Pigeon,Caloenas maculata,Extinct,COLUMBIFORMES,Columbidae,PAC
Tooth-billed Pigeon,Didunculus strigirostris,Critically endangered,COLUMBIFORMES,Columbidae,PAC
Many-colored Fruit-Dove,Ptilinopus perousii,,COLUMBIFORMES,Columbidae,PAC
Purple-capped Fruit-Dove,Ptilinopus ponapensis,,COLUMBIFORMES,Columbidae,PAC
Kosrae Fruit-Dove,Ptilinopus hernsheimi,,COLUMBIFORMES,Columbidae,PAC
Crimson-crowned Fruit-Dove,Ptilinopus porphyraceus,,COLUMBIFORMES,Columbidae,PAC
Palau Fruit-Dove,Ptilinopus pelewensis,,COLUMBIFORMES,Columbidae,PAC
Cook Islands Fruit-Dove,Ptilinopus rarotongensis,Near-threatened,COLUMBIFORMES,Columbidae,PAC
Mariana Fruit-Dove,Ptilinopus roseicapilla,Near-threatened,COLUMBIFORMES,Columbidae,PAC
Raiatea Fruit-Dove,Ptilinopus chrysogaster,Endangered,COLUMBIFORMES,Columbidae,PAC
Gray-green Fruit-Dove,Ptilinopus purpuratus,,COLUMBIFORMES,Columbidae,PAC
Makatea Fruit-Dove,Ptilinopus chalcurus,Vulnerable,COLUMBIFORMES,Columbidae,PAC
Atoll Fruit-Dove,Ptilinopus coralensis,Near-threatened,COLUMBIFORMES,Columbidae,PAC
Rapa Fruit-Dove,Ptilinopus huttoni,Critically endangered,COLUMBIFORMES,Columbidae,PAC
White-capped Fruit-Dove,Ptilinopus dupetithouarsii,,COLUMBIFORMES,Columbidae,PAC
Red-moustached Fruit-Dove,Ptilinopus mercierii,Extinct,COLUMBIFORMES,Columbidae,PAC
Henderson Island Fruit-Dove,Ptilinopus insularis,Vulnerable,COLUMBIFORMES,Columbidae,PAC
Claret-breasted Fruit-Dove,Ptilinopus viridis,,COLUMBIFORMES,Columbidae,PAC
Orange Dove,Ptilinopus victor,,COLUMBIFORMES,Columbidae,PAC
Golden Dove,Ptilinopus luteovirens,,COLUMBIFORMES,Columbidae,PAC
Whistling Dove,Ptilinopus layardi,Near-threatened,COLUMBIFORMES,Columbidae,PAC
Pacific Imperial-Pigeon,Ducula pacifica,,COLUMBIFORMES,Columbidae,PAC
Micronesian Imperial-Pigeon,Ducula oceanica,Vulnerable,COLUMBIFORMES,Columbidae,PAC
Polynesian Imperial-Pigeon,Ducula aurorae,Endangered,COLUMBIFORMES,Columbidae,PAC
Nuku Hiva Imperial-Pigeon,Ducula galeata,Endangered,COLUMBIFORMES,Columbidae,PAC
Barking Imperial-Pigeon,Ducula latrans,,COLUMBIFORMES,Columbidae,PAC
Chestnut-bellied Sandgrouse,Pterocles exustus,,PTEROCLIFORMES,Pteroclidae,PAC
Smooth-billed Ani,Crotophaga ani,,CUCULIFORMES,Cuculidae,PAC
Chestnut-winged Cuckoo,Clamator coromandus,,CUCULIFORMES,Cuculidae,PAC
