common_name,scientific_name,status,order,family,region
Emperor Goose,Anser canagicus,,ANSERIFORMES,Anatidae,USak
Snow Goose,Anser caerulescens,,ANSERIFORMES,Anatidae,USak
Ross's Goose,Anser rossii,Rare/Accidental,ANSERIFORMES,Anatidae,USak
Greater White-fronted Goose,Anser albifrons,,ANSERIFORMES,Anatidae,USak
Lesser White-fronted Goose,Anser erythropus,Rare/Accidental Vulnerable,ANSERIFORMES,Anatidae,USak
Taiga Bean-Goose,Anser fabalis,Rare/Accidental,ANSERIFORMES,Anatidae,USak
Tundra Bean-Goose,Anser serrirostris,Rare/Accidental,ANSERIFORMES,Anatidae,USak
Brant,Branta bernicla,,ANSERIFORMES,Anatidae,USak
Barnacle Goose,Branta leucopsis,Uncertain origin,ANSERIFORMES,Anatidae,USak
Cackling Goose,Branta hutchinsii,,ANSERIFORMES,Anatidae,USak
Canada Goose,Branta canadensis,,ANSERIFORMES,Anatidae,USak
Trumpeter Swan,Cygnus buccinator,,ANSERIFORMES,Anatidae,USak
Tundra Swan,Cygnus columbianus,,ANSERIFORMES,Anatidae,USak
Whooper Swan,Cygnus cygnus,Rare/Accidental,ANSERIFORMES,Anatidae,USak
Wood Duck,Aix sponsa,Rare/Accidental,ANSERIFORMES,Anatidae,USak
Mandarin Duck,Aix galericulata,Introduced species,ANSERIFORMES,Anatidae,USak
Baikal Teal,Sibirionetta formosa,Rare/Accidental,ANSERIFORMES,Anatidae,USak
Garganey,Spatula querquedula,Rare/Accidental,ANSERIFORMES,Anatidae,USak
Blue-winged Teal,Spatula discors,,ANSERIFORMES,Anatidae,USak
Cinnamon Teal,Spatula cyanoptera,Rare/Accidental,ANSERIFORMES,Anatidae,USak
Northern Shoveler,Spatula clypeata,,ANSERIFORMES,Anatidae,USak
Gadwall,Mareca strepera,,ANSERIFORMES,Anatidae,USak
Falcated Duck,Mareca falcata,Rare/Accidental,ANSERIFORMES,Anatidae,USak
Eurasian Wigeon,Mareca penelope,,ANSERIFORMES,Anatidae,USak
American Wigeon,Mareca americana,,ANSERIFORMES,Anatidae,USak
Eastern Spot-billed Duck,Anas zonorhyncha,Rare/Accidental,ANSERIFORMES,Anatidae,USak
Mallard,Anas platyrhynchos,,ANSERIFORMES,Anatidae,USak
American Black Duck,Anas rubripes,Rare/Accidental,ANSERIFORMES,Anatidae,USak
Northern Pintail,Anas acuta,,ANSERIFORMES,Anatidae,USak
Green-winged Teal,Anas crecca,,ANSERIFORMES,Anatidae,USak
Canvasback,Aythya valisineria,,ANSERIFORMES,Anatidae,USak
Redhead,Aythya americana,,ANSERIFORMES,Anatidae,USak
Common Pochard,Aythya ferina,Rare/Accidental Vulnerable,ANSERIFORMES,Anatidae,USak
Ring-necked Duck,Aythya collaris,,ANSERIFORMES,Anatidae,USak
Tufted Duck,Aythya fuligula,Rare/Accidental,ANSERIFORMES,Anatidae,USak
Greater Scaup,Aythya marila,,ANSERIFORMES,Anatidae,USak
Lesser Scaup,Aythya affinis,,ANSERIFORMES,Anatidae,USak
Steller's Eider,Polysticta stelleri,Vulnerable,ANSERIFORMES,Anatidae,USak
Spectacled Eider,Somateria fischeri,Near-threatened,ANSERIFORMES,Anatidae,USak
King Eider,Somateria spectabilis,,ANSERIFORMES,Anatidae,USak
Common Eider,Somateria mollissima,Near-threatened,ANSERIFORMES,Anatidae,USak
Harlequin Duck,Histrionicus histrionicus,,ANSERIFORMES,Anatidae,USak
Surf Scoter,Melanitta perspicillata,,ANSERIFORMES,Anatidae,USak
White-winged Scoter,Melanitta deglandi,,ANSERIFORMES,Anatidae,USak
Stejneger's Scoter,Melanitta stejnegeri,Rare/Accidental,ANSERIFORMES,Anatidae,USak
Black Scoter,Melanitta americana,Near-threatened,ANSERIFORMES,Anatidae,USak
Long-tailed Duck,Clangula hyemalis,Vulnerable,ANSERIFORMES,Anatidae,USak
Bufflehead,Bucephala albeola,,ANSERIFORMES,Anatidae,USak
Common Goldeneye,Bucephala clangula,,ANSERIFORMES,Anatidae,USak
Barrow's Goldeneye,Bucephala islandica,,ANSERIFORMES,Anatidae,USak
Smew,Mergellus albellus,Rare/Accidental,ANSERIFORMES,Anatidae,USak
Hooded Merganser,Lophodytes cucullatus,,ANSERIFORMES,Anatidae,USak
Common Merganser,Mergus merganser,,ANSERIFORMES,Anatidae,USak
Red-breasted Merganser,Mergus serrator,,ANSERIFORMES,Anatidae,USak
Ruddy Duck,Oxyura jamaicensis,,ANSERIFORMES,Anatidae,USak
Ruffed Grouse,Bonasa umbellus,,GALLIFORMES,Phasianidae,USak
Sooty Grouse,Dendragapus fuliginosus,,GALLIFORMES,Phasianidae,USak
Sharp-tailed Grouse,Tympanuchus phasianellus,,GALLIFORMES,Phasianidae,USak
White-tailed Ptarmigan,Lagopus leucura,,GALLIFORMES,Phasianidae,USak
Willow Ptarmigan,Lagopus lagopus,,GALLIFORMES,Phasianidae,USak
Rock Ptarmigan,Lagopus muta,,GALLIFORMES,Phasianidae,USak
Spruce Grouse,Canachites canadensis,,GALLIFORMES,Phasianidae,USak
Rock Pigeon,Columba livia,Introduced species,COLUMBIFORMES,Columbidae,USak
Band-tailed Pigeon,Patagioenas fasciata,Rare/Accidental,COLUMBIFORMES,Columbidae,USak
Oriental Turtle-Dove,Streptopelia orientalis,Rare/Accidental,COLUMBIFORMES,Columbidae,USak
Eurasian Collared-Dove,Streptopelia decaocto,Introduced species,COLUMBIFORMES,Columbidae,USak
White-winged Dove,Zenaida asiatica,Rare/Accidental,COLUMBIFORMES,Columbidae,USak
Mourning Dove,Zenaida macroura,Rare/Accidental,COLUMBIFORMES,Columbidae,USak
Yellow-billed Cuckoo,Coccyzus americanus,Rare/Accidental,CUCULIFORMES,Cuculidae,USak
Common Cuckoo,Cuculus canorus,Rare/Accidental,CUCULIFORMES,Cuculidae,USak
Oriental Cuckoo,Cuculus optatus,Rare/Accidental,CUCULIFORMES,Cuculidae,USak
Lesser Nighthawk,Chordeiles acutipennis,Rare/Accidental,CAPRIMULGIFORMES,Caprimulgidae,USak
Common Nighthawk,Chordeiles minor,Rare/Accidental,CAPRIMULGIFORMES,Caprimulgidae,USak
Eastern Whip-poor-will,Antrostomus vociferus,Rare/Accidental Near-threatened,CAPRIMULGIFORMES,Caprimulgidae,USak
Gray Nightjar,Caprimulgus jotaka,Rare/Accidental,CAPRIMULGIFORMES,Caprimulgidae,USak
Black Swift,Cypseloides niger,Vulnerable,APODIFORMES,Apodidae,USak
Chimney Swift,Chaetura pelagica,Rare/Accidental Vulnerable,APODIFORMES,Apodidae,USak
Vaux's Swift,Chaetura vauxi,,APODIFORMES,Apodidae,USak
White-throated Needletail,Hirundapus caudacutus,Rare/Accidental,APODIFORMES,Apodidae,USak
Common Swift,Apus apus,Rare/Accidental,APODIFORMES,Apodidae,USak
Pacific Swift,Apus pacificus,Rare/Accidental,APODIFORMES,Apodidae,USak
Ruby-throated Hummingbird,Archilochus colubris,Rare/Accidental,APODIFORMES,Trochilidae,USak
Anna's Hummingbird,Calypte anna,,APODIFORMES,Trochilidae,USak
Costa's Hummingbird,Calypte costae,Rare/Accidental,APODIFORMES,Trochilidae,USak
Calliope Hummingbird,Selasphorus calliope,Rare/Accidental,APODIFORMES,Trochilidae,USak
Rufous Hummingbird,Selasphorus rufus,Near-threatened,APODIFORMES,Trochilidae,USak
Virginia Rail,Rallus limicola,Rare/Accidental,GRUIFORMES,Rallidae,USak
Sora,Porzana carolina,Rare/Accidental,GRUIFORMES,Rallidae,USak
Eurasian Moorhen,Gallinula chloropus,Rare/Accidental,GRUIFORMES,Rallidae,USak
Eurasian Coot,Fulica atra,Rare/Accidental,GRUIFORMES,Rallidae,USak
American Coot,Fulica americana,Rare/Accidental,GRUIFORMES,Rallidae,USak
Demoiselle Crane,Anthropoides virgo,Uncertain origin,GRUIFORMES,Gruidae,USak
Sandhill Crane,Antigone canadensis,,GRUIFORMES,Gruidae,USak
Common Crane,Grus grus,Rare/Accidental,GRUIFORMES,Gruidae,USak
Hooded Crane,Grus monacha,Rare/Accidental Vulnerable,GRUIFORMES,Gruidae,USak
Black-winged Stilt,Himantopus himantopus,Rare/Accidental,CHARADRIIFORMES,Recurvirostridae,USak
American Avocet,Recurvirostra americana,Rare/Accidental,CHARADRIIFORMES,Recurvirostridae,USak
Eurasian Oystercatcher,Haematopus ostralegus,Rare/Accidental Near-threatened,CHARADRIIFORMES,Haematopodidae,USak
Black Oystercatcher,Haematopus bachmani,,CHARADRIIFORMES,Haematopodidae,USak
Black-bellied Plover,Pluvialis squatarola,Vulnerable,CHARADRIIFORMES,Charadriidae,USak
European Golden-Plover,Pluvialis apricaria,Rare/Accidental,CHARADRIIFORMES,Charadriidae,USak
American Golden-Plover,Pluvialis dominica,,CHARADRIIFORMES,Charadriidae,USak
