common_name,scientific_name,status,order,family,region
Black-bellied Whistling-Duck,Dendrocygna autumnalis,,ANSERIFORMES,Anatidae,UShi
Fulvous Whistling-Duck,Dendrocygna bicolor,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Emperor Goose,Anser canagicus,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Snow Goose,Anser caerulescens,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Greater White-fronted Goose,Anser albifrons,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Brant,Branta bernicla,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Cackling Goose,Branta hutchinsii,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Canada Goose,Branta canadensis,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Hawaiian Goose,Branta sandvicensis,Endemic Near-threatened,ANSERIFORMES,Anatidae,UShi
Tundra Swan,Cygnus columbianus,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Baikal Teal,Sibirionetta formosa,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Garganey,Spatula querquedula,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Blue-winged Teal,Spatula discors,,ANSERIFORMES,Anatidae,UShi
Cinnamon Teal,Spatula cyanoptera,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Northern Shoveler,Spatula clypeata,,ANSERIFORMES,Anatidae,UShi
Gadwall,Mareca strepera,,ANSERIFORMES,Anatidae,UShi
Falcated Duck,Mareca falcata,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Eurasian Wigeon,Mareca penelope,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
American Wigeon,Mareca americana,,ANSERIFORMES,Anatidae,UShi
Laysan Duck,Anas laysanensis,Endemic Critically endangered,ANSERIFORMES,Anatidae,UShi
Hawaiian Duck,Anas wyvilliana,Endemic Vulnerable,ANSERIFORMES,Anatidae,UShi
Mallard,Anas platyrhynchos,Introduced species,ANSERIFORMES,Anatidae,UShi
Northern Pintail,Anas acuta,,ANSERIFORMES,Anatidae,UShi
Green-winged Teal,Anas crecca,,ANSERIFORMES,Anatidae,UShi
Canvasback,Aythya valisineria,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Redhead,Aythya americana,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Common Pochard,Aythya ferina,Rare/Accidental Vulnerable,ANSERIFORMES,Anatidae,UShi
Ring-necked Duck,Aythya collaris,,ANSERIFORMES,Anatidae,UShi
Tufted Duck,Aythya fuligula,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Greater Scaup,Aythya marila,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Lesser Scaup,Aythya affinis,,ANSERIFORMES,Anatidae,UShi
Harlequin Duck,Histrionicus histrionicus,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Surf Scoter,Melanitta perspicillata,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Black Scoter,Melanitta americana,Rare/Accidental Near-threatened,ANSERIFORMES,Anatidae,UShi
Long-tailed Duck,Clangula hyemalis,Rare/Accidental Vulnerable,ANSERIFORMES,Anatidae,UShi
Bufflehead,Bucephala albeola,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Common Goldeneye,Bucephala clangula,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Barrow's Goldeneye,Bucephala islandica,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Hooded Merganser,Lophodytes cucullatus,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Common Merganser,Mergus merganser,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Red-breasted Merganser,Mergus serrator,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
Ruddy Duck,Oxyura jamaicensis,Rare/Accidental,ANSERIFORMES,Anatidae,UShi
California Quail,Callipepla californica,Introduced species,GALLIFORMES,Odontophoridae,UShi
Gambel's Quail,Callipepla gambelii,Introduced species,GALLIFORMES,Odontophoridae,UShi
Wild Turkey,Meleagris gallopavo,Introduced species,GALLIFORMES,Phasianidae,UShi
Ring-necked Pheasant,Phasianus colchicus,Introduced species,GALLIFORMES,Phasianidae,UShi
Green Pheasant,Phasianus versicolor,Introduced species,GALLIFORMES,Phasianidae,UShi
Kalij Pheasant,Lophura leucomelanos,Introduced species,GALLIFORMES,Phasianidae,UShi
Indian Peafowl,Pavo cristatus,Introduced species,GALLIFORMES,Phasianidae,UShi
Chinese Bamboo-Partridge,Bambusicola thoracicus,Extirpated,GALLIFORMES,Phasianidae,UShi
Red Junglefowl,Gallus gallus,Introduced species,GALLIFORMES,Phasianidae,UShi
Gray Francolin,Ortygornis pondicerianus,Introduced species,GALLIFORMES,Phasianidae,UShi
Black Francolin,Francolinus francolinus,Introduced species,GALLIFORMES,Phasianidae,UShi
Japanese Quail,Coturnix japonica,Introduced species Near-threatened,GALLIFORMES,Phasianidae,UShi
Chukar,Alectoris chukar,Introduced species,GALLIFORMES,Phasianidae,UShi
Erckel's Spurfowl,Pternistis erckelii,Introduced species,GALLIFORMES,Phasianidae,UShi
Rock Pigeon,Columba livia,Introduced species,COLUMBIFORMES,Columbidae,UShi
Spotted Dove,Spilopelia chinensis,Introduced species,COLUMBIFORMES,Columbidae,UShi
Zebra Dove,Geopelia striata,Introduced species,COLUMBIFORMES,Columbidae,UShi
Mourning Dove,Zenaida macroura,Introduced species,COLUMBIFORMES,Columbidae,UShi
Chestnut-bellied Sandgrouse,Pterocles exustus,Introduced species,PTEROCLIFORMES,Pteroclidae,UShi
Yellow-billed Cuckoo,Coccyzus americanus,Rare/Accidental,CUCULIFORMES,Cuculidae,UShi
Common Cuckoo,Cuculus canorus,Rare/Accidental,CUCULIFORMES,Cuculidae,UShi
Common Nighthawk,Chordeiles minor,Rare/Accidental,CAPRIMULGIFORMES,Caprimulgidae,UShi
Mariana Swiftlet,Aerodramus bartschi,Introduced species Vulnerable,APODIFORMES,Apodidae,UShi
Pacific Swift,Apus pacificus,Rare/Accidental,APODIFORMES,Apodidae,UShi
Sora,Porzana carolina,Rare/Accidental,GRUIFORMES,Rallidae,UShi
Common Gallinule,Gallinula galeata,,GRUIFORMES,Rallidae,UShi
Hawaiian Coot,Fulica alai,Endemic Near-threatened,GRUIFORMES,Rallidae,UShi
American Coot,Fulica americana,Rare/Accidental,GRUIFORMES,Rallidae,UShi
Purple Gallinule,Porphyrio martinica,Rare/Accidental,GRUIFORMES,Rallidae,UShi
Laysan Rail,Zapornia palmeri,Endemic Extinct,GRUIFORMES,Rallidae,UShi
Hawaiian Rail,Zapornia sandwichensis,Endemic Extinct,GRUIFORMES,Rallidae,UShi
Sandhill Crane,Antigone canadensis,Rare/Accidental,GRUIFORMES,Gruidae,UShi
Black-winged Stilt,Himantopus himantopus,Rare/Accidental,CHARADRIIFORMES,Recurvirostridae,UShi
Black-necked Stilt,Himantopus mexicanus,,CHARADRIIFORMES,Recurvirostridae,UShi
American Avocet,Recurvirostra americana,Rare/Accidental,CHARADRIIFORMES,Recurvirostridae,UShi
Black-bellied Plover,Pluvialis squatarola,Vulnerable,CHARADRIIFORMES,Charadriidae,UShi
Pacific Golden-Plover,Pluvialis fulva,,CHARADRIIFORMES,Charadriidae,UShi
Eurasian Dotterel,Eudromias morinellus,Rare/Accidental,CHARADRIIFORMES,Charadriidae,UShi
Killdeer,Charadrius vociferus,Rare/Accidental Near-threatened,CHARADRIIFORMES,Charadriidae,UShi
Common Ringed Plover,Charadrius hiaticula,Rare/Accidental,CHARADRIIFORMES,Charadriidae,UShi
Semipalmated Plover,Charadrius semipalmatus,Rare/Accidental,CHARADRIIFORMES,Charadriidae,UShi
Siberian Sand-Plover,Anarhynchus mongolus,Rare/Accidental Endangered,CHARADRIIFORMES,Charadriidae,UShi
Bristle-thighed Curlew,Numenius tahitiensis,Near-threatened,CHARADRIIFORMES,Scolopacidae,UShi
Whimbrel,Numenius phaeopus,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,UShi
