common_name,scientific_name,status,order,family,region
Common Ostrich,Struthio camelus,,STRUTHIONIFORMES,Struthionidae,hol
Highland Tinamou,Nothocercus bonapartei,,TINAMIFORMES,Tinamidae,hol
Great Tinamou,Tinamus major,,TINAMIFORMES,Tinamidae,hol
Little Tinamou,Crypturellus soui,,TINAMIFORMES,Tinamidae,hol
Slaty-breasted Tinamou,Crypturellus boucardi,Vulnerable,TINAMIFORMES,Tinamidae,hol
Choco Tinamou,Crypturellus kerriae,Near-threatened,TINAMIFORMES,Tinamidae,hol
Thicket Tinamou,Crypturellus cinnamomeus,,TINAMIFORMES,Tinamidae,hol
Northern Screamer,Chauna chavaria,Rare/Accidental,ANSERIFORMES,Anhimidae,hol
White-faced Whistling-Duck,Dendrocygna viduata,,ANSERIFORMES,Anatidae,hol
Black-bellied Whistling-Duck,Dendrocygna autumnalis,,ANSERIFORMES,Anatidae,hol
West Indian Whistling-Duck,Dendrocygna arborea,Near-threatened,ANSERIFORMES,Anatidae,hol
Fulvous Whistling-Duck,Dendrocygna bicolor,,ANSERIFORMES,Anatidae,hol
Lesser Whistling-Duck,Dendrocygna javanica,,ANSERIFORMES,Anatidae,hol
Bar-headed Goose,Anser indicus,,ANSERIFORMES,Anatidae,hol
Emperor Goose,Anser canagicus,,ANSERIFORMES,Anatidae,hol
Snow Goose,Anser caerulescens,,ANSERIFORMES,Anatidae,hol
Ross's Goose,Anser rossii,,ANSERIFORMES,Anatidae,hol
Graylag Goose,Anser anser,,ANSERIFORMES,Anatidae,hol
Swan Goose,Anser cygnoides,Endangered,ANSERIFORMES,Anatidae,hol
Greater White-fronted Goose,Anser albifrons,,ANSERIFORMES,Anatidae,hol
Lesser White-fronted Goose,Anser erythropus,Vulnerable,ANSERIFORMES,Anatidae,hol
Taiga Bean-Goose,Anser fabalis,,ANSERIFORMES,Anatidae,hol
Tundra Bean-Goose,Anser serrirostris,,ANSERIFORMES,Anatidae,hol
Pink-footed Goose,Anser brachyrhynchus,,ANSERIFORMES,Anatidae,hol
Brant,Branta bernicla,,ANSERIFORMES,Anatidae,hol
Barnacle Goose,Branta leucopsis,,ANSERIFORMES,Anatidae,hol
Cackling Goose,Branta hutchinsii,,ANSERIFORMES,Anatidae,hol
Canada Goose,Branta canadensis,,ANSERIFORMES,Anatidae,hol
Hawaiian Goose,Branta sandvicensis,Near-threatened,ANSERIFORMES,Anatidae,hol
Red-breasted Goose,Branta ruficollis,Vulnerable,ANSERIFORMES,Anatidae,hol
Mute Swan,Cygnus olor,,ANSERIFORMES,Anatidae,hol
Black Swan,Cygnus atratus,,ANSERIFORMES,Anatidae,hol
Trumpeter Swan,Cygnus buccinator,,ANSERIFORMES,Anatidae,hol
Tundra Swan,Cygnus columbianus,,ANSERIFORMES,Anatidae,hol
Whooper Swan,Cygnus cygnus,,ANSERIFORMES,Anatidae,hol
Knob-billed Duck,Sarkidiornis melanotos,Rare/Accidental,ANSERIFORMES,Anatidae,hol
Comb Duck,Sarkidiornis sylvicola,,ANSERIFORMES,Anatidae,hol
Orinoco Goose,Oressochen jubatus,Near-threatened,ANSERIFORMES,Anatidae,hol
Upland Goose,Chloephaga picta,Uncertain origin,ANSERIFORMES,Anatidae,hol
Egyptian Goose,Alopochen aegyptiaca,,ANSERIFORMES,Anatidae,hol
Ruddy Shelduck,Tadorna ferruginea,,ANSERIFORMES,Anatidae,hol
South African Shelduck,Tadorna cana,Uncertain origin,ANSERIFORMES,Anatidae,hol
Common Shelduck,Tadorna tadorna,,ANSERIFORMES,Anatidae,hol
Crested Shelduck,Tadorna cristata,Critically endangered (possibly extinct),ANSERIFORMES,Anatidae,hol
Spur-winged Goose,Plectropterus gambensis,,ANSERIFORMES,Anatidae,hol
Muscovy Duck,Cairina moschata,,ANSERIFORMES,Anatidae,hol
Cotton Pygmy-Goose,Nettapus coromandelianus,,ANSERIFORMES,Anatidae,hol
Wood Duck,Aix sponsa,,ANSERIFORMES,Anatidae,hol
Mandarin Duck,Aix galericulata,,ANSERIFORMES,Anatidae,hol
Baikal Teal,Sibirionetta formosa,,ANSERIFORMES,Anatidae,hol
Garganey,Spatula querquedula,,ANSERIFORMES,Anatidae,hol
Blue-winged Teal,Spatula discors,,ANSERIFORMES,Anatidae,hol
Cinnamon Teal,Spatula cyanoptera,,ANSERIFORMES,Anatidae,hol
Cape Shoveler,Spatula smithii,,ANSERIFORMES,Anatidae,hol
Northern Shoveler,Spatula clypeata,,ANSERIFORMES,Anatidae,hol
Gadwall,Mareca strepera,,ANSERIFORMES,Anatidae,hol
