common_name,scientific_name,status,order,family,region
Common Ostrich,Struthio camelus,,STRUTHIONIFORMES,Struthionidae,pal
White-faced Whistling-Duck,Dendrocygna viduata,Rare/Accidental,ANSERIFORMES,Anatidae,pal
Fulvous Whistling-Duck,Dendrocygna bicolor,,ANSERIFORMES,Anatidae,pal
Lesser Whistling-Duck,Dendrocygna javanica,Rare/Accidental,ANSERIFORMES,Anatidae,pal
Bar-headed Goose,Anser indicus,,ANSERIFORMES,Anatidae,pal
Emperor Goose,Anser canagicus,,ANSERIFORMES,Anatidae,pal
Snow Goose,Anser caerulescens,,ANSERIFORMES,Anatidae,pal
Ross's Goose,Anser rossii,Rare/Accidental,ANSERIFORMES,Anatidae,pal
Graylag Goose,Anser anser,,ANSERIFORMES,Anatidae,pal
Swan Goose,Anser cygnoides,Endangered,ANSERIFORMES,Anatidae,pal
Greater White-fronted Goose,Anser albifrons,,ANSERIFORMES,Anatidae,pal
Lesser White-fronted Goose,Anser erythropus,Vulnerable,ANSERIFORMES,Anatidae,pal
Taiga Bean-Goose,Anser fabalis,,ANSERIFORMES,Anatidae,pal
Tundra Bean-Goose,Anser serrirostris,,ANSERIFORMES,Anatidae,pal
Pink-footed Goose,Anser brachyrhynchus,,ANSERIFORMES,Anatidae,pal
Brant,Branta bernicla,,ANSERIFORMES,Anatidae,pal
Barnacle Goose,Branta leucopsis,,ANSERIFORMES,Anatidae,pal
Cackling Goose,Branta hutchinsii,,ANSERIFORMES,Anatidae,pal
Canada Goose,Branta canadensis,,ANSERIFORMES,Anatidae,pal
Red-breasted Goose,Branta ruficollis,Vulnerable,ANSERIFORMES,Anatidae,pal
Mute Swan,Cygnus olor,,ANSERIFORMES,Anatidae,pal
Black Swan,Cygnus atratus,Rare/Accidental,ANSERIFORMES,Anatidae,pal
Trumpeter Swan,Cygnus buccinator,,ANSERIFORMES,Anatidae,pal
Tundra Swan,Cygnus columbianus,,ANSERIFORMES,Anatidae,pal
Whooper Swan,Cygnus cygnus,,ANSERIFORMES,Anatidae,pal
Knob-billed Duck,Sarkidiornis melanotos,Rare/Accidental,ANSERIFORMES,Anatidae,pal
Upland Goose,Chloephaga picta,Uncertain origin,ANSERIFORMES,Anatidae,pal
Egyptian Goose,Alopochen aegyptiaca,,ANSERIFORMES,Anatidae,pal
Ruddy Shelduck,Tadorna ferruginea,,ANSERIFORMES,Anatidae,pal
South African Shelduck,Tadorna cana,Uncertain origin,ANSERIFORMES,Anatidae,pal
Common Shelduck,Tadorna tadorna,,ANSERIFORMES,Anatidae,pal
Crested Shelduck,Tadorna cristata,Critically endangered (possibly extinct),ANSERIFORMES,Anatidae,pal
Spur-winged Goose,Plectropterus gambensis,,ANSERIFORMES,Anatidae,pal
Muscovy Duck,Cairina moschata,Introduced species,ANSERIFORMES,Anatidae,pal
Cotton Pygmy-Goose,Nettapus coromandelianus,Rare/Accidental,ANSERIFORMES,Anatidae,pal
Wood Duck,Aix sponsa,Introduced species,ANSERIFORMES,Anatidae,pal
Mandarin Duck,Aix galericulata,,ANSERIFORMES,Anatidae,pal
Baikal Teal,Sibirionetta formosa,,ANSERIFORMES,Anatidae,pal
Garganey,Spatula querquedula,,ANSERIFORMES,Anatidae,pal
Blue-winged Teal,Spatula discors,,ANSERIFORMES,Anatidae,pal
Cinnamon Teal,Spatula cyanoptera,Rare/Accidental,ANSERIFORMES,Anatidae,pal
Cape Shoveler,Spatula smithii,,ANSERIFORMES,Anatidae,pal
Northern Shoveler,Spatula clypeata,,ANSERIFORMES,Anatidae,pal
Gadwall,Mareca strepera,,ANSERIFORMES,Anatidae,pal
Falcated Duck,Mareca falcata,,ANSERIFORMES,Anatidae,pal
Eurasian Wigeon,Mareca penelope,,ANSERIFORMES,Anatidae,pal
American Wigeon,Mareca americana,,ANSERIFORMES,Anatidae,pal
Philippine Duck,Anas luzonica,Vulnerable,ANSERIFORMES,Anatidae,pal
Indian Spot-billed Duck,Anas poecilorhyncha,,ANSERIFORMES,Anatidae,pal
Eastern Spot-billed Duck,Anas zonorhyncha,Uncertain origin,ANSERIFORMES,Anatidae,pal
Mallard,Anas platyrhynchos,,ANSERIFORMES,Anatidae,pal
American Black Duck,Anas rubripes,Rare/Accidental,ANSERIFORMES,Anatidae,pal
Cape Teal,Anas capensis,,ANSERIFORMES,Anatidae,pal
Red-billed Duck,Anas erythrorhyncha,Rare/Accidental,ANSERIFORMES,Anatidae,pal
Northern Pintail,Anas acuta,,ANSERIFORMES,Anatidae,pal
Green-winged Teal,Anas crecca,,ANSERIFORMES,Anatidae,pal
Marbled Duck,Marmaronetta angustirostris,Near-threatened,ANSERIFORMES,Anatidae,pal
Red-crested Pochard,Netta rufina,,ANSERIFORMES,Anatidae,pal
Southern Pochard,Netta erythrophthalma,Rare/Accidental,ANSERIFORMES,Anatidae,pal
Canvasback,Aythya valisineria,Rare/Accidental,ANSERIFORMES,Anatidae,pal
