"scientific_name","common_name","order","family","status_AFR","status_ASI","status_AUS","status_CA","status_CAM","status_CAR","status_EUR","status_hol","status_MID","status_NAM","status_NaN","status_nea","status_oaq","status_oat","status_OCE","status_oin","status_opa","status_PAC","status_pal","status_SAM","status_TT","status_US48","status_USak","status_UShi","status_XX","regions"
"Dendrocygna bicolor","Fulvous Whistling-Duck","ANSERIFORMES","Anatidae","","",NA,"Rare/Accidental","","","Uncertain origin","","Rare/Accidental","","Rare/Accidental","",NA,NA,"",NA,NA,"","","","","",NA,"Rare/Accidental","Rare/Accidental","AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; UShi; XX"
"Anser indicus","Bar-headed Goose","ANSERIFORMES","Anatidae","","",NA,"Uncertain origin",NA,NA,"Introduced species","","Rare/Accidental","Uncertain origin",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal"
"Anser caerulescens","Snow Goose","ANSERIFORMES","Anatidae","","",NA,"","","","Rare/Accidental","","Rare/Accidental","",NA,"",NA,NA,"",NA,NA,"","","","Rare/Accidental","","","Rare/Accidental",NA,"AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi"
"Anser anser","Graylag Goose","ANSERIFORMES","Anatidae","","","Introduced species","Rare/Accidental","",NA,"","","","Rare/Accidental",NA,"Rare/Accidental",NA,NA,"Introduced species",NA,NA,NA,"","Introduced species",NA,"Rare/Accidental",NA,NA,NA,"AFR; ASI; AUS; CA; CAM; EUR; hol; MID; NAM; nea; OCE; pal; SAM; US48"
"Anser albifrons","Greater White-fronted Goose","ANSERIFORMES","Anatidae","","","","","","Rare/Accidental","","","","","","",NA,NA,"",NA,NA,"","","Rare/Accidental",NA,"","","Rare/Accidental",NA,"AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; US48; USak; UShi"
"Anser erythropus","Lesser White-fronted Goose","ANSERIFORMES","Anatidae","Vulnerable","Vulnerable",NA,NA,NA,NA,"Vulnerable","Vulnerable","Vulnerable","Rare/Accidental Vulnerable",NA,"Rare/Accidental Vulnerable",NA,NA,NA,NA,NA,NA,"Vulnerable",NA,NA,NA,"Rare/Accidental Vulnerable",NA,NA,"AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak"
"Anser fabalis","Taiga Bean-Goose","ANSERIFORMES","Anatidae","","",NA,"Rare/Accidental",NA,NA,"","","","",NA,"Rare/Accidental",NA,NA,NA,NA,NA,NA,"",NA,NA,"Rare/Accidental","Rare/Accidental",NA,NA,"AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal; US48; USak"
"Anser serrirostris","Tundra Bean-Goose","ANSERIFORMES","Anatidae","","",NA,"Rare/Accidental","Rare/Accidental",NA,"","","Rare/Accidental","",NA,"Rare/Accidental",NA,NA,NA,NA,NA,NA,"",NA,NA,"Rare/Accidental","Rare/Accidental",NA,NA,"AFR; ASI; CA; CAM; EUR; hol; MID; NAM; nea; pal; US48; USak"
"Anser brachyrhynchus","Pink-footed Goose","ANSERIFORMES","Anatidae","Rare/Accidental","Rare/Accidental",NA,"Rare/Accidental",NA,NA,"","","Rare/Accidental","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal; US48"
"Branta bernicla","Brant","ANSERIFORMES","Anatidae","","",NA,"","","Rare/Accidental","","","Rare/Accidental","",NA,"",NA,NA,"",NA,NA,"","",NA,NA,"Rare/Accidental","","Rare/Accidental",NA,"AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi"
"Branta leucopsis","Barnacle Goose","ANSERIFORMES","Anatidae","Rare/Accidental","",NA,"Rare/Accidental",NA,NA,"","","Rare/Accidental","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"Rare/Accidental","Uncertain origin",NA,NA,"AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal; US48; USak"
"Branta hutchinsii","Cackling Goose","ANSERIFORMES","Anatidae","Uncertain origin","",NA,"","",NA,"Rare/Accidental","","Rare/Accidental","",NA,"",NA,NA,"",NA,NA,"","",NA,NA,"","","Rare/Accidental","","AFR; ASI; CA; CAM; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi; XX"
"Cygnus olor","Mute Swan","ANSERIFORMES","Anatidae","","","","Introduced species",NA,NA,"","","","Introduced species",NA,"Introduced species",NA,NA,"",NA,NA,NA,"",NA,NA,"Introduced species",NA,NA,NA,"AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; pal; US48"
"Cygnus columbianus","Tundra Swan","ANSERIFORMES","Anatidae","","",NA,"","","Rare/Accidental","","","","",NA,"Rare/Accidental",NA,NA,"",NA,NA,"","",NA,NA,"","","Rare/Accidental",NA,"AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi"
