"","common_name","scientific_name","status","order","family","region"
"1","Highland Tinamou","Nothocercus bonapartei","","TINAMIFORMES","Tinamidae","CRhe"
"2","Great Tinamou","Tinamus major","","TINAMIFORMES","Tinamidae","CRhe"
"3","Little Tinamou","Crypturellus soui","","TINAMIFORMES","Tinamidae","CRhe"
"4","Slaty-breasted Tinamou","Crypturellus boucardi","Vulnerable","TINAMIFORMES","Tinamidae","CRhe"
"5","White-faced Whistling-Duck","Dendrocygna viduata","Extirpated","ANSERIFORMES","Anatidae","CRhe"
"6","Black-bellied Whistling-Duck","Dendrocygna autumnalis","","ANSERIFORMES","Anatidae","CRhe"
"7","Muscovy Duck","Cairina moschata","","ANSERIFORMES","Anatidae","CRhe"
"8","Blue-winged Teal","Spatula discors","","ANSERIFORMES","Anatidae","CRhe"
"9","Cinnamon Teal","Spatula cyanoptera","Rare/Accidental","ANSERIFORMES","Anatidae","CRhe"
"10","Northern Shoveler","Spatula clypeata","","ANSERIFORMES","Anatidae","CRhe"
"11","American Wigeon","Mareca americana","","ANSERIFORMES","Anatidae","CRhe"
"12","Northern Pintail","Anas acuta","","ANSERIFORMES","Anatidae","CRhe"
"13","Green-winged Teal","Anas crecca","Rare/Accidental","ANSERIFORMES","Anatidae","CRhe"
"14","Ring-necked Duck","Aythya collaris","","ANSERIFORMES","Anatidae","CRhe"
"15","Lesser Scaup","Aythya affinis","","ANSERIFORMES","Anatidae","CRhe"
"16","Masked Duck","Nomonyx dominicus","","ANSERIFORMES","Anatidae","CRhe"
"17","Black Guan","Chamaepetes unicolor","","GALLIFORMES","Cracidae","CRhe"
"18","Crested Guan","Penelope purpurascens","Near-threatened","GALLIFORMES","Cracidae","CRhe"
"19","Great Curassow","Crax rubra","Vulnerable","GALLIFORMES","Cracidae","CRhe"
"20","Plain Chachalaca","Ortalis vetula","","GALLIFORMES","Cracidae","CRhe"
"21","Gray-headed Chachalaca","Ortalis cinereiceps","","GALLIFORMES","Cracidae","CRhe"
"22","Tawny-faced Quail","Rhynchortyx cinctus","Near-threatened","GALLIFORMES","Odontophoridae","CRhe"
"23","Buffy-crowned Wood-Partridge","Dendrortyx leucophrys","","GALLIFORMES","Odontophoridae","CRhe"
"24","Spot-bellied Bobwhite","Colinus leucopogon","","GALLIFORMES","Odontophoridae","CRhe"
"25","Marbled Wood-Quail","Odontophorus gujanensis","","GALLIFORMES","Odontophoridae","CRhe"
"26","Black-eared Wood-Quail","Odontophorus melanotis","Near-threatened","GALLIFORMES","Odontophoridae","CRhe"
"27","Black-breasted Wood-Quail","Odontophorus leucolaemus","","GALLIFORMES","Odontophoridae","CRhe"
"28","Spotted Wood-Quail","Odontophorus guttatus","","GALLIFORMES","Odontophoridae","CRhe"
"29","Rock Pigeon","Columba livia","Introduced species","COLUMBIFORMES","Columbidae","CRhe"
"30","Pale-vented Pigeon","Patagioenas cayennensis","","COLUMBIFORMES","Columbidae","CRhe"
"31","Scaled Pigeon","Patagioenas speciosa","","COLUMBIFORMES","Columbidae","CRhe"
"32","Red-billed Pigeon","Patagioenas flavirostris","","COLUMBIFORMES","Columbidae","CRhe"
"33","Band-tailed Pigeon","Patagioenas fasciata","","COLUMBIFORMES","Columbidae","CRhe"
"34","Ruddy Pigeon","Patagioenas subvinacea","","COLUMBIFORMES","Columbidae","CRhe"
"35","Short-billed Pigeon","Patagioenas nigrirostris","","COLUMBIFORMES","Columbidae","CRhe"
"36","Eurasian Collared-Dove","Streptopelia decaocto","Introduced species","COLUMBIFORMES","Columbidae","CRhe"
"37","Inca Dove","Columbina inca","","COLUMBIFORMES","Columbidae","CRhe"
"38","Common Ground Dove","Columbina passerina","","COLUMBIFORMES","Columbidae","CRhe"
"39","Plain-breasted Ground Dove","Columbina minuta","","COLUMBIFORMES","Columbidae","CRhe"
"40","Ruddy Ground Dove","Columbina talpacoti","","COLUMBIFORMES","Columbidae","CRhe"
"41","Blue Ground Dove","Claravis pretiosa","","COLUMBIFORMES","Columbidae","CRhe"
"42","Maroon-chested Ground Dove","Paraclaravis mondetoura","","COLUMBIFORMES","Columbidae","CRhe"
"43","Ruddy Quail-Dove","Geotrygon montana","","COLUMBIFORMES","Columbidae","CRhe"
"44","Violaceous Quail-Dove","Geotrygon violacea","","COLUMBIFORMES","Columbidae","CRhe"
"45","Olive-backed Quail-Dove","Leptotrygon veraguensis","","COLUMBIFORMES","Columbidae","CRhe"
"46","White-tipped Dove","Leptotila verreauxi","","COLUMBIFORMES","Columbidae","CRhe"
"47","Gray-chested Dove","Leptotila cassinii","","COLUMBIFORMES","Columbidae","CRhe"
"48","Gray-headed Dove","Leptotila plumbeiceps","","COLUMBIFORMES","Columbidae","CRhe"
"49","Buff-fronted Quail-Dove","Zentrygon costaricensis","","COLUMBIFORMES","Columbidae","CRhe"
"50","Purplish-backed Quail-Dove","Zentrygon lawrencii","","COLUMBIFORMES","Columbidae","CRhe"
"51","Chiriqui Quail-Dove","Zentrygon chiriquensis","","COLUMBIFORMES","Columbidae","CRhe"
