keep,scientific_name,common_name,scientific_name_avibase8.17,common_name_avibase8.17,order_avibase8.17,family_avibase8.17
Y/n southern TX,Vireo flavoviridis,Yellow-green Vireo,Vireo flavoviridis,Yellow-green Vireo,PASSERIFORMES,Vireonidae
Y/n off CA coast ,Synthliboramphus craveri,Craveri's Murrelet,Synthliboramphus craveri,Craveri's Murrelet,CHARADRIIFORMES,Alcidae
Y/n off CA coast ,Synthliboramphus hypoleucus,Guadalupe Murrelet,Synthliboramphus hypoleucus,Guadalupe Murrelet,CHARADRIIFORMES,Alcidae
Y/n off CA coast ,Synthliboramphus scrippsi,Scripps's Murrelet,Synthliboramphus scrippsi,Scripps's Murrelet,CHARADRIIFORMES,Alcidae
Y/n AK coast,Urile urile,Red-faced Cormorant,Urile urile,Red-faced Cormorant,SULIFORMES,Phalacrocoracidae
Y: Southeast US,Vermivora bachmanii,Bachman's Warbler,Vermivora bachmanii,Bachman's Warbler,PASSERIFORMES,Parulidae
y; W Coast pelagic,Alle alle,Dovekie,Alle alle,Dovekie,CHARADRIIFORMES,Alcidae
y; TX,Corvus imparatus,Tamaulipas Crow,Corvus imparatus,Tamaulipas Crow,PASSERIFORMES,Corvidae
Y; TX,Psittacara holochlorus,Green Parakeet,Psittacara holochlorus,Green Parakeet,PSITTACIFORMES,Psittacidae
Y; gulf coast,Onychoprion fuscatus,Sooty Tern,Onychoprion fuscatus,Sooty Tern,CHARADRIIFORMES,Laridae
Y; Colorado,Loxia sinesciuris,Cassia Crossbill,Loxia sinesciuris,Cassia Crossbill,PASSERIFORMES,Fringillidae
Y; CA coast,Puffinus opisthomelas,Black-vented Shearwater,Puffinus opisthomelas,Black-vented Shearwater,PROCELLARIIFORMES,Procellariidae
y; Atlantic coast,Fratercula arctica,Atlantic Puffin,Fratercula arctica,Atlantic Puffin,CHARADRIIFORMES,Alcidae
y; AK pelagic,Aethia cristatella,Crested Auklet,Aethia cristatella,Crested Auklet,CHARADRIIFORMES,Alcidae
y; AK pelagic,Aethia psittacula,Parakeet Auklet,Aethia psittacula,Parakeet Auklet,CHARADRIIFORMES,Alcidae
y; AK pelagic,Aethia pusilla,Least Auklet,Aethia pusilla,Least Auklet,CHARADRIIFORMES,Alcidae
y; AK pelagic,Aethia pygmaea,Whiskered Auklet,Aethia pygmaea,Whiskered Auklet,CHARADRIIFORMES,Alcidae
Y; AK islands ,Rissa brevirostris,Red-legged Kittiwake,Rissa brevirostris,Red-legged Kittiwake,CHARADRIIFORMES,Laridae
Y; AK,Plectrophenax hyperboreus,McKay's Bunting,Plectrophenax hyperboreus,McKay's Bunting,PASSERIFORMES,Calcariidae
Y; AK,Poecile cinctus,Gray-headed Chickadee,Poecile cinctus,Gray-headed Chickadee,PASSERIFORMES,Paridae
n,Accipiter nisus,Eurasian Sparrowhawk,Accipiter nisus,Eurasian Sparrowhawk,ACCIPITRIFORMES,Accipitridae
n,Acridotheres cristatellus,Crested Myna,Acridotheres cristatellus,Crested Myna,PASSERIFORMES,Sturnidae
n,Acrocephalus dumetorum,Blyth's Reed Warbler,Acrocephalus dumetorum,Blyth's Reed Warbler,PASSERIFORMES,Acrocephalidae
n,Acrocephalus schoenobaenus,Sedge Warbler,Acrocephalus schoenobaenus,Sedge Warbler,PASSERIFORMES,Acrocephalidae
n,Agapornis roseicollis,Rosy-faced Lovebird,Agapornis roseicollis,Rosy-faced Lovebird,PSITTACIFORMES,Psittaculidae
n,Agelaius humeralis,Tawny-shouldered Blackbird,Agelaius humeralis,Tawny-shouldered Blackbird,PASSERIFORMES,Icteridae
n,Aix galericulata,Mandarin Duck,Aix galericulata,Mandarin Duck,ANSERIFORMES,Anatidae
n,Amazona autumnalis,Red-lored Amazon,Amazona autumnalis,Red-lored Amazon,PSITTACIFORMES,Psittacidae
n,Amazona finschi,Lilac-crowned Amazon,Amazona finschi,Lilac-crowned Amazon,PSITTACIFORMES,Psittacidae
n,Amazona oratrix,Yellow-headed Amazon,Amazona oratrix,Yellow-headed Amazon,PSITTACIFORMES,Psittacidae
n,Anarhynchus alexandrinus,Kentish Plover,Anarhynchus alexandrinus,Kentish Plover,CHARADRIIFORMES,Charadriidae
n,Anarhynchus leschenaultii,Greater Sand-Plover,Anarhynchus leschenaultii,Greater Sand-Plover,CHARADRIIFORMES,Charadriidae
n,Anarhynchus mongolus,Siberian Sand-Plover,Anarhynchus mongolus,Siberian Sand-Plover,CHARADRIIFORMES,Charadriidae
n,Anas bahamensis,White-cheeked Pintail,Anas bahamensis,White-cheeked Pintail,ANSERIFORMES,Anatidae
n,Anas zonorhyncha,Eastern Spot-billed Duck,Anas zonorhyncha,Eastern Spot-billed Duck,ANSERIFORMES,Anatidae
n,Anhinga rufa,African Darter,Anhinga rufa,African Darter,SULIFORMES,Anhingidae
n,Anser anser,Graylag Goose,Anser anser,Graylag Goose,ANSERIFORMES,Anatidae
n,Anser brachyrhynchus,Pink-footed Goose,Anser brachyrhynchus,Pink-footed Goose,ANSERIFORMES,Anatidae
n,Anser erythropus,Lesser White-fronted Goose,Anser erythropus,Lesser White-fronted Goose,ANSERIFORMES,Anatidae
n,Anser indicus,Bar-headed Goose,Anser indicus,Bar-headed Goose,ANSERIFORMES,Anatidae
n,Anthracothorax prevostii,Green-breasted Mango,Anthracothorax prevostii,Green-breasted Mango,APODIFORMES,Trochilidae
n,Anthropoides virgo,Demoiselle Crane,Anthropoides virgo,Demoiselle Crane,GRUIFORMES,Gruidae
n,Anthus gustavi,Pechora Pipit,Anthus gustavi,Pechora Pipit,PASSERIFORMES,Motacillidae
n,Anthus hodgsoni,Olive-backed Pipit,Anthus hodgsoni,Olive-backed Pipit,PASSERIFORMES,Motacillidae
n,Anthus trivialis,Tree Pipit,Anthus trivialis,Tree Pipit,PASSERIFORMES,Motacillidae
n,Apus nipalensis,House Swift,Apus nipalensis,House Swift,APODIFORMES,Apodidae
n,Apus pacificus,Pacific Swift,Apus pacificus,Pacific Swift,APODIFORMES,Apodidae
n,Aramides axillaris,Rufous-necked Wood-Rail,Aramides axillaris,Rufous-necked Wood-Rail,GRUIFORMES,Rallidae
n,Ardea brachyrhyncha,Yellow-billed Egret,Ardea brachyrhyncha,Yellow-billed Egret,PELECANIFORMES,Ardeidae
n,Ardea coromanda,Eastern Cattle-Egret,Ardea coromanda,Eastern Cattle-Egret,PELECANIFORMES,Ardeidae
n,Ardea intermedia,Medium Egret,Ardea intermedia,Medium Egret,PELECANIFORMES,Ardeidae
n,Ardenna bulleri,Buller's Shearwater,Ardenna bulleri,Buller's Shearwater,PROCELLARIIFORMES,Procellariidae
n,Ardenna carneipes,Flesh-footed Shearwater,Ardenna carneipes,Flesh-footed Shearwater,PROCELLARIIFORMES,Procellariidae
n,Ardenna creatopus,Pink-footed Shearwater,Ardenna creatopus,Pink-footed Shearwater,PROCELLARIIFORMES,Procellariidae
n,Ardenna gravis,Great Shearwater,Ardenna gravis,Great Shearwater,PROCELLARIIFORMES,Procellariidae
n,Ardenna grisea,Sooty Shearwater,Ardenna grisea,Sooty Shearwater,PROCELLARIIFORMES,Procellariidae
n,Ardenna pacifica,Wedge-tailed Shearwater,Ardenna pacifica,Wedge-tailed Shearwater,PROCELLARIIFORMES,Procellariidae
n,Ardeola bacchus,Chinese Pond-Heron,Ardeola bacchus,Chinese Pond-Heron,PELECANIFORMES,Ardeidae
n,Arundinax aedon,Thick-billed Warbler,Arundinax aedon,Thick-billed Warbler,PASSERIFORMES,Acrocephalidae
n,Astur gentilis,Eurasian Goshawk,Astur gentilis,Eurasian Goshawk,ACCIPITRIFORMES,Accipitridae
n,Basileuterus culicivorus,Golden-crowned Warbler,Basileuterus culicivorus,Golden-crowned Warbler,PASSERIFORMES,Parulidae
n,Basileuterus lachrymosus,Fan-tailed Warbler,Basileuterus lachrymosus,Fan-tailed Warbler,PASSERIFORMES,Parulidae
n,Basileuterus rufifrons,Rufous-capped Warbler,Basileuterus rufifrons,Rufous-capped Warbler,PASSERIFORMES,Parulidae
n,Basilinna xantusii,Xantus's Hummingbird,Basilinna xantusii,Xantus's Hummingbird,APODIFORMES,Trochilidae
n,Botaurus sinensis,Yellow Bittern,Botaurus sinensis,Yellow Bittern,PELECANIFORMES,Ardeidae
