scientific_name.raw,common_name.raw,scientific_name.edit,common_name.edit,edit_notes
Acanthis flammea,Common Redpoll,Acanthis flammea,Redpoll,L0 species as entered on checklist (Clements 2024)
Acanthis hornemanni,Hoary Redpoll,Acanthis hornemanni,Hoary Redpoll,Hoary Redpoll = Acanthis flammea hornemanni/exilipes on Clement 2024
Accipiter cooperii,Cooper's Hawk,Astur cooperii,Cooper's Hawk,high confidence common name fuzzy match (Clements 2024)  1
Accipiter gentilis,Northern Goshawk,Accipiter gentilis,Northern Goshawk,"Update to checklist Listed as American Goshawk, now genus Astur (Clements 2024). Confirmed this is in N. America."
Accipiter gentilis,Goshawk,Accipiter gentilis,Goshawk,"Update to checklist Listed as American Goshawk, now genus Astur (Clements 2024). Confirmed this is in N. America."
Accipiter nisus,Eurasian Sparrowhawk,Accipiter nisus,Eurasian Sparrowhawk,L0 species as entered on checklist (Clements 2024)
Accipiter striatus,Sharp-Shinned Hawk,Accipiter striatus,Sharp-shinned Hawk,L0 species as entered on checklist (Clements 2024)
Acridotheres tristis,Common Myna,Acridotheres tristis,Common Myna,L0 species as entered on checklist (Clements 2024)
Paroaria coronata,Red-Crested Cardinal,Paroaria coronata,Red-crested Cardinal,L0 species as entered on checklist (Clements 2024)
Geopelia striata,Zebra Dove,Geopelia striata,Zebra Dove,L0 species as entered on checklist (Clements 2024)
Spilopelia chinensis,Spotted Dove,Spilopelia chinensis,Spotted Dove,L0 species as entered on checklist (Clements 2024)
Passer domesticus,House Sparrow,Passer domesticus,House Sparrow,L0 species as entered on checklist (Clements 2024)
Columba livia,Rock Dove,Columba livia,Rock Pigeon,L0 species as entered on checklist (Clements 2024)
Zosterops japonicus,Warbling White-Eye,Zosterops japonicus,Warbling White-eye,L0 species as entered on checklist (Clements 2024)
Acridotheres javanicus,Javan Myna,Acridotheres javanicus,Javan Myna,L0 species as entered on checklist (Clements 2024)
Aplonis panayensis,Asian Glossy Starling,Aplonis panayensis,Asian Glossy Starling,L0 species as entered on checklist (Clements 2024)
Agropsar sturninus,Daurian Starling,Agropsar sturninus,Daurian Starling,L0 species as entered on checklist (Clements 2024)
Sturnus vulgaris,European Starling,Sturnus vulgaris,European Starling,L0 species as entered on checklist (Clements 2024)
Pastor roseus,Rosy Starling,Pastor roseus,Rosy Starling,L0 species as entered on checklist (Clements 2024)
Actitis hypoleucos,Common Sandpiper,Actitis hypoleucos,Common Sandpiper,L0 species as entered on checklist (Clements 2024)
Actitis macularius,Spotted Sandpiper,Actitis macularius,Spotted Sandpiper,L0 species as entered on checklist (Clements 2024)
Aechmophorus clarkii,Clark's Grebe,Aechmophorus clarkii,Clark's Grebe,L0 species as entered on checklist (Clements 2024)
Aechmophorus clarkii transitionalis,Clark's Grebe,Aechmophorus clarkii transitionalis,,L0 species as entered on checklist (Clements 2024)
Aechmophorus clarkii clarkii,Clark's Grebe,Aechmophorus clarkii clarkii,,L0 species as entered on checklist (Clements 2024)
Aechmophorus occidentalis,Western Grebe,Aechmophorus occidentalis,Western Grebe,L0 species as entered on checklist (Clements 2024)
Aegolius acadicus,Northern Saw-Whet Owl,Aegolius acadicus,Northern Saw-whet Owl,L0 species as entered on checklist (Clements 2024)
Aegolius funereus,Boreal Owl,Aegolius funereus,Boreal Owl,L0 species as entered on checklist (Clements 2024)
Aeronautes saxatalis,White-Throated Swift,Aeronautes saxatalis,White-throated Swift,L0 species as entered on checklist (Clements 2024)
Aethia cristatella,Crested Auklet,Aethia cristatella,Crested Auklet,L0 species as entered on checklist (Clements 2024)
Aethia psittacula,Parakeet Auklet,Aethia psittacula,Parakeet Auklet,L0 species as entered on checklist (Clements 2024)
Larus glaucescens,Glaucous-Winged Gull,Larus glaucescens,Glaucous-winged Gull,L0 species as entered on checklist (Clements 2024)
Aethia pusilla,Least Auklet,Aethia pusilla,Least Auklet,L0 species as entered on checklist (Clements 2024)
Aethia pygmaea,Whiskered Auklet,Aethia pygmaea,Whiskered Auklet,L0 species as entered on checklist (Clements 2024)
Agelaius tricolor,Tricolored Blackbird,Agelaius tricolor,Tricolored Blackbird,L0 species as entered on checklist (Clements 2024)
Agelaius phoeniceus,Red-Winged Blackbird,Agelaius phoeniceus,Red-winged Blackbird,L0 species as entered on checklist (Clements 2024)
Euphagus cyanocephalus,Brewer's Blackbird,Euphagus cyanocephalus,Brewer's Blackbird,L0 species as entered on checklist (Clements 2024)
Molothrus ater,Brown-Headed Cowbird,Molothrus ater,Brown-headed Cowbird,L0 species as entered on checklist (Clements 2024)
Aimophila ruficeps,Rufous-Crowned Sparrow,Aimophila ruficeps,Rufous-crowned Sparrow,L0 species as entered on checklist (Clements 2024)
Aimophila ruficeps scottii,Rufous-Crowned Sparrow (Scottii),Aimophila ruficeps scottii,,L0 species as entered on checklist (Clements 2024)
Aix sponsa,Wood Duck,Aix sponsa,Wood Duck,L0 species as entered on checklist (Clements 2024)
Alauda arvensis,Eurasian Skylark,Alauda arvensis,Eurasian Skylark,L0 species as entered on checklist (Clements 2024)
Eremophila alpestris,Horned Lark,Eremophila alpestris,Horned Lark,L0 species as entered on checklist (Clements 2024)
Anthus rubescens,American Pipit,Anthus rubescens,American Pipit,L0 species as entered on checklist (Clements 2024)
Haemorhous mexicanus,House Finch,Haemorhous mexicanus,House Finch,L0 species as entered on checklist (Clements 2024)
Alca torda,Razorbill,Alca torda,Razorbill,L0 species as entered on checklist (Clements 2024)
Uria aalge,Common Murre,Uria aalge,Common Murre,L0 species as entered on checklist (Clements 2024)
Alle alle,Dovekie,Alle alle,Dovekie,L0 species as entered on checklist (Clements 2024)
Alopochen aegyptiaca,Egyptian Goose,Alopochen aegyptiaca,Egyptian Goose,L0 species as entered on checklist (Clements 2024)
