scientific_name,common_name,common_name_avibase8.17,scientific_name_avibase8.17,status_avibase8.17,order_avibase8.17,family_avibase8.17,region_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,scientific_name_orig,common_name_orig,region_origlist,order_origlist,family_origlist,origlist_dataentry_origlist,in_origlist
Acanthis flammea,Redpoll; Common Redpoll,Redpoll,Acanthis flammea,NA,PASSERIFORMES,Fringillidae,AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi; XX,yes,5280,Common Redpoll,Passeriformes,Fringillidae,Acanthis flammea,yes,Redpoll,Acanthis flammea,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Acanthis flammea,Common Redpoll,CONUS & Canada,Passeriformes,Fringillidae,8/30/2022,yes
Acanthis flammea [flammea Group/hornemanni/exilipes]; Carduelis flammea/hornemanni,Redpoll (Common/Hoary); unid. Common Redpoll/Hoary Redpoll,NA,NA,NA,NA,NA,NA,no,5275,unid. Common Redpoll / Hoary Redpoll,Passeriformes,Fringillidae,Carduelis flammea / hornemanni,yes,Redpoll (Common/Hoary),Acanthis flammea [flammea Group/hornemanni/exilipes],NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Carduelis flammea / hornemanni,unid. Common Redpoll / Hoary Redpoll,CONUS & Canada,Passeriformes,Fringillidae,N/A; unidentified species,yes
Acanthis flammea hornemanni/exilipes; Acanthis hornemanni,Redpoll (Hoary); Hoary Redpoll,NA,NA,NA,NA,NA,NA,no,5270,Hoary Redpoll,Passeriformes,Fringillidae,Acanthis hornemanni,yes,Redpoll (Hoary),Acanthis flammea hornemanni/exilipes,tundra of northern Eurasia and northern North America,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Acanthis hornemanni,Hoary Redpoll,CONUS & Canada,Passeriformes,Fringillidae,9/22/2022,yes
Accipiter nisus,Eurasian Sparrowhawk,Eurasian Sparrowhawk,Accipiter nisus,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Eurasian Sparrowhawk,Accipiter nisus,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Accipiter nisus,Eurasian Sparrowhawk,Asia & Europe & Africa,Accipitriformes,Acciptridae,9/29/2022,yes
Accipiter striatus,Sharp-shinned Hawk,Sharp-shinned Hawk,Accipiter striatus,NA,ACCIPITRIFORMES,Accipitridae,CA; CAM; CAR; hol; NAM; nea; SAM; US48; USak,yes,3320,Sharp-shinned Hawk,Accipitriformes,Accipitridae,Accipiter striatus,yes,Sharp-shinned Hawk,Accipiter striatus,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Accipiter striatus,Sharp-shinned Hawk,CONUS & Canada,Accipitriformes,Accipitridae,4/4/2022 - 4/12/2022,yes
Acridotheres cristatellus,Crested Myna,Crested Myna,Acridotheres cristatellus,Extirpated,PASSERIFORMES,Sturnidae,ASI; CA; EUR; hol; NAM; nea; pal; SAM,yes,NA,NA,NA,NA,NA,no,Crested Myna,Acridotheres cristatellus,NA,Sturnidae (Starlings),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Acridotheres tristis,Common Myna,Common Myna,Acridotheres tristis,Introduced species,PASSERIFORMES,Sturnidae,AFR; ASI; AUS; CA; CAR; hol; MID; NAM; nea; OCE; oin; PAC; pal; US48; UShi,yes,4932,Common Myna,Passeriformes,Sturnidae,Acridotheres tristis,yes,Common Myna,Acridotheres tristis,NA,Sturnidae (Starlings),Passeriformes,yes,Acridotheres tristis,Common Myna,CONUS & Canada,Passeriformes,Sturnidae,10/31/2023-11/1/2023,yes
Acrocephalus dumetorum,Blyth's Reed Warbler,Blyth's Reed Warbler,Acrocephalus dumetorum,Rare/Accidental,PASSERIFORMES,Acrocephalidae,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Blyth's Reed Warbler,Acrocephalus dumetorum,Eastern Palearctic; winters in India and Sri Lanka,Acrocephalidae (Reed Warblers and Allies),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Acrocephalus schoenobaenus,Sedge Warbler,Sedge Warbler,Acrocephalus schoenobaenus,Rare/Accidental,PASSERIFORMES,Acrocephalidae,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Sedge Warbler,Acrocephalus schoenobaenus,Palearctic region; winters to southern Africa,Acrocephalidae (Reed Warblers and Allies),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Actitis hypoleucos,Common Sandpiper,Common Sandpiper,Actitis hypoleucos,NA,CHARADRIIFORMES,Scolopacidae,AFR; ASI; AUS; EUR; hol; MID; NAM; nea; OCE; PAC; pal; USak; UShi; XX,yes,2631,Common Sandpiper,Charadriiformes,Scolopacidae,Actitis hypoleucos,yes,Common Sandpiper,Actitis hypoleucos,"Palearctic; winters to southern Africa, central Asia, Philippines, and Australia",Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Actitis hypoleucos,Common Sandpiper,CONUS & Canada,Charadriiformes,Scolopacidae,10/10/2023; 11/2/2023,yes
Actitis macularius,Spotted Sandpiper,Spotted Sandpiper,Actitis macularius,NA,CHARADRIIFORMES,Scolopacidae,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,2630,Spotted Sandpiper,Charadriiformes,Scolopacidae,Actitis macularius,yes,Spotted Sandpiper,Actitis macularius,breeds North America; winters to southern South America,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Actitis macularius,Spotted Sandpiper,CONUS & Canada,Charadriiformes,Scolopacidae,1/6/2023,yes
