scientific_name,common_name,common_name_avibase8.17,scientific_name_avibase8.17,status_avibase8.17,order_avibase8.17,family_avibase8.17,region_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,scientific_name_orig,common_name_orig,region_origlist,order_origlist,family_origlist,origlist_dataentry_origlist,in_origlist,L1_ca.conus.data
Acanthis flammea [flammea Group/hornemanni/exilipes]; Carduelis flammea/hornemanni,Redpoll (Common/Hoary); unid. Common Redpoll/Hoary Redpoll,NA,NA,NA,NA,NA,NA,no,5275,unid. Common Redpoll / Hoary Redpoll,Passeriformes,Fringillidae,Carduelis flammea / hornemanni,yes,Redpoll (Common/Hoary),Acanthis flammea [flammea Group/hornemanni/exilipes],NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Carduelis flammea / hornemanni,unid. Common Redpoll / Hoary Redpoll,CONUS & Canada,Passeriformes,Fringillidae,N/A; unidentified species,yes,yes
Acridotheres cristatellus,Crested Myna,Crested Myna,Acridotheres cristatellus,Extirpated,PASSERIFORMES,Sturnidae,ASI; CA; EUR; hol; NAM; nea; pal; SAM,yes,NA,NA,NA,NA,NA,no,Crested Myna,Acridotheres cristatellus,NA,Sturnidae (Starlings),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Aechmophorus occidentalis/clarkii,Western/Clark's Grebe; unid. Western Grebe/Clark's Grebe,NA,NA,NA,NA,NA,NA,no,12,unid. Western Grebe / Clark's Grebe,Podicipediformes,Podicipedidae,Aechmophorus occidentalis / clarkii,yes,Western/Clark's Grebe,Aechmophorus occidentalis/clarkii,NA,Podicipedidae (Grebes),Podicipediformes,yes,Aechmophorus occidentalis / clarkii,unid. Western Grebe / Clark's Grebe,CONUS & Canada,Podicipediformes,Podicipedidae,N/A; unidentified species,yes,yes
Aerospiza/Tachyspiza/Accipiter/Astur sp.; Accipiter sp.,Accipitrine hawk sp. (former Accipiter sp.); unid. Accipiter hawk,NA,NA,NA,NA,NA,NA,no,3333,unid. Accipiter hawk,Accipitriformes,Accipitridae,Accipiter sp.,yes,Accipitrine hawk sp. (former Accipiter sp.),Aerospiza/Tachyspiza/Accipiter/Astur sp.,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Accipiter sp.,unid. Accipiter hawk,CONUS & Canada,Accipitriformes,Accipitridae,N/A; unidentified species,yes,yes
Agapornis roseicollis,Rosy-faced Lovebird,Rosy-faced Lovebird,Agapornis roseicollis,Introduced species,PSITTACIFORMES,Psittaculidae,AFR; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Rosy-faced Lovebird,Agapornis roseicollis,NA,Psittaculidae (Old World Parrots),Psittaciformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Aix galericulata,Mandarin Duck,Mandarin Duck,Aix galericulata,Introduced species,ANSERIFORMES,Anatidae,AFR; ASI; EUR; hol; MID; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Mandarin Duck,Aix galericulata,"wooded ponds, swamps, and streams of northeastern Asia from southeastern Siberia, Korean Peninsula, Japan, and eastern China","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Anas platyrhynchos x rubripes; Anas platyrhynchos x rubripes/diazi/fulvigula,Mallard x American Black Duck (hybrid); hybrid Mallard x Black/Mexican/Mottled Duck,NA,NA,NA,NA,NA,NA,no,1326,hybrid Mallard x Black / Mexican / Mottled Duck,Anseriformes,Anatidae,Anas platyrhynchos x rubripes / diazi / fulvigula,yes,Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anas platyrhynchos x rubripes / diazi / fulvigula,hybrid Mallard x Black / Mexican / Mottled Duck,CONUS & Canada,Anseriformes,Anatidae,N/A; hybrid species,yes,yes
Anhinga rufa,African Darter,African Darter,Anhinga rufa,Uncertain origin,SULIFORMES,Anhingidae,AFR; AUS; CAM; hol; MID; NAM; nea; OCE; pal; US48,yes,NA,NA,NA,NA,NA,no,African Darter,Anhinga rufa,NA,Anhingidae (Anhingas),Suliformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Anser indicus,Bar-headed Goose,Bar-headed Goose,Anser indicus,Uncertain origin,ANSERIFORMES,Anatidae,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal,yes,NA,NA,NA,NA,NA,no,Bar-headed Goose,Anser indicus,alpine lakes in central Asia; winters to India and Myanmar,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Anthropoides virgo,Demoiselle Crane,Demoiselle Crane,Anthropoides virgo,Uncertain origin,GRUIFORMES,Gruidae,AFR; ASI; CA; EUR; hol; MID; NAM; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Demoiselle Crane,Anthropoides virgo,Palearctic; winters in northeastern Africa and southern Asia,Gruidae (Cranes),Gruiformes,yes,NA,NA,NA,NA,NA,NA,no,yes
