scientific_name,common_name,common_name_avibase8.17,scientific_name_avibase8.17,status_avibase8.17,order_avibase8.17,family_avibase8.17,region_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,scientific_name_orig,common_name_orig,region_origlist,order_origlist,family_origlist,origlist_dataentry_origlist,in_origlist,L1_ca.conus.data,ca.conus.rejection
Acanthis flammea,Redpoll; Common Redpoll,Redpoll,Acanthis flammea,NA,PASSERIFORMES,Fringillidae,AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi; XX,yes,5280,Common Redpoll,Passeriformes,Fringillidae,Acanthis flammea,yes,Redpoll,Acanthis flammea,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Acanthis flammea,Common Redpoll,CONUS & Canada,Passeriformes,Fringillidae,8/30/2022,yes,yes,NA
Acanthis flammea [flammea Group/hornemanni/exilipes]; Carduelis flammea/hornemanni,Redpoll (Common/Hoary); unid. Common Redpoll/Hoary Redpoll,NA,NA,NA,NA,NA,NA,no,5275,unid. Common Redpoll / Hoary Redpoll,Passeriformes,Fringillidae,Carduelis flammea / hornemanni,yes,Redpoll (Common/Hoary),Acanthis flammea [flammea Group/hornemanni/exilipes],NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Carduelis flammea / hornemanni,unid. Common Redpoll / Hoary Redpoll,CONUS & Canada,Passeriformes,Fringillidae,N/A; unidentified species,yes,yes,NA
Acanthis flammea hornemanni/exilipes; Acanthis hornemanni,Redpoll (Hoary); Hoary Redpoll,NA,NA,NA,NA,NA,NA,no,5270,Hoary Redpoll,Passeriformes,Fringillidae,Acanthis hornemanni,yes,Redpoll (Hoary),Acanthis flammea hornemanni/exilipes,tundra of northern Eurasia and northern North America,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Acanthis hornemanni,Hoary Redpoll,CONUS & Canada,Passeriformes,Fringillidae,9/22/2022,yes,yes,NA
Accipiter striatus,Sharp-shinned Hawk,Sharp-shinned Hawk,Accipiter striatus,NA,ACCIPITRIFORMES,Accipitridae,CA; CAM; CAR; hol; NAM; nea; SAM; US48; USak,yes,3320,Sharp-shinned Hawk,Accipitriformes,Accipitridae,Accipiter striatus,yes,Sharp-shinned Hawk,Accipiter striatus,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Accipiter striatus,Sharp-shinned Hawk,CONUS & Canada,Accipitriformes,Accipitridae,4/4/2022 - 4/12/2022,yes,yes,NA
Acridotheres tristis,Common Myna,Common Myna,Acridotheres tristis,Introduced species,PASSERIFORMES,Sturnidae,AFR; ASI; AUS; CA; CAR; hol; MID; NAM; nea; OCE; oin; PAC; pal; US48; UShi,yes,4932,Common Myna,Passeriformes,Sturnidae,Acridotheres tristis,yes,Common Myna,Acridotheres tristis,NA,Sturnidae (Starlings),Passeriformes,yes,Acridotheres tristis,Common Myna,CONUS & Canada,Passeriformes,Sturnidae,10/31/2023-11/1/2023,yes,yes,NA
Actitis hypoleucos,Common Sandpiper,Common Sandpiper,Actitis hypoleucos,NA,CHARADRIIFORMES,Scolopacidae,AFR; ASI; AUS; EUR; hol; MID; NAM; nea; OCE; PAC; pal; USak; UShi; XX,yes,2631,Common Sandpiper,Charadriiformes,Scolopacidae,Actitis hypoleucos,yes,Common Sandpiper,Actitis hypoleucos,"Palearctic; winters to southern Africa, central Asia, Philippines, and Australia",Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Actitis hypoleucos,Common Sandpiper,CONUS & Canada,Charadriiformes,Scolopacidae,10/10/2023; 11/2/2023,yes,yes,NA
Actitis macularius,Spotted Sandpiper,Spotted Sandpiper,Actitis macularius,NA,CHARADRIIFORMES,Scolopacidae,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,2630,Spotted Sandpiper,Charadriiformes,Scolopacidae,Actitis macularius,yes,Spotted Sandpiper,Actitis macularius,breeds North America; winters to southern South America,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Actitis macularius,Spotted Sandpiper,CONUS & Canada,Charadriiformes,Scolopacidae,1/6/2023,yes,yes,NA
Aechmophorus clarkii,Clark's Grebe,Clark's Grebe,Aechmophorus clarkii,NA,PODICIPEDIFORMES,Podicipedidae,CA; CAM; hol; NAM; nea; US48,yes,11,Clark's Grebe,Podicipediformes,Podicipedidae,Aechmophorus clarkii,yes,Clark's Grebe,Aechmophorus clarkii,NA,Podicipedidae (Grebes),Podicipediformes,yes,Aechmophorus clarkii,Clark's Grebe,CONUS & Canada,Podicipediformes,Podicipedidae,11/14/2023-11/15/2023,yes,yes,NA
Aechmophorus occidentalis,Western Grebe,Western Grebe,Aechmophorus occidentalis,NA,PODICIPEDIFORMES,Podicipedidae,CA; CAM; hol; NAM; nea; US48; USak,yes,10,Western Grebe,Podicipediformes,Podicipedidae,Aechmophorus occidentalis,yes,Western Grebe,Aechmophorus occidentalis,NA,Podicipedidae (Grebes),Podicipediformes,yes,Aechmophorus occidentalis,Western Grebe,CONUS & Canada,Podicipediformes,Podicipedidae,9/28/2023-10/4/2023,yes,yes,NA
Aechmophorus occidentalis/clarkii,Western/Clark's Grebe; unid. Western Grebe/Clark's Grebe,NA,NA,NA,NA,NA,NA,no,12,unid. Western Grebe / Clark's Grebe,Podicipediformes,Podicipedidae,Aechmophorus occidentalis / clarkii,yes,Western/Clark's Grebe,Aechmophorus occidentalis/clarkii,NA,Podicipedidae (Grebes),Podicipediformes,yes,Aechmophorus occidentalis / clarkii,unid. Western Grebe / Clark's Grebe,CONUS & Canada,Podicipediformes,Podicipedidae,N/A; unidentified species,yes,yes,NA
