scientific_name,common_name,scientific_name_avibase8.17,common_name_avibase8.17,order_avibase8.17,family_avibase8.17,status_CA_avibase8.17,status_NAM_avibase8.17,status_NaN_avibase8.17,status_US48_avibase8.17,status_USak_avibase8.17,regions_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,status_CA_US48_USak,L1_ca.conus.data,AOU_bbs2024.combo,scientific_name_clements2024.combo,common_name_clements2024.combo
Acanthis flammea,Redpoll; Common Redpoll,Acanthis flammea,Redpoll,PASSERIFORMES,Fringillidae,NA,NA,NA,NA,NA,AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi; XX,yes,5280,Common Redpoll,Passeriformes,Fringillidae,Acanthis flammea,yes,Redpoll,Acanthis flammea,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,NA,yes,35280,Acanthis flammea,Redpoll
Acanthis flammea [flammea Group/hornemanni/exilipes]; Carduelis flammea/hornemanni,Redpoll (Common/Hoary); unid. Common Redpoll/Hoary Redpoll,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,5275,unid. Common Redpoll / Hoary Redpoll,Passeriformes,Fringillidae,Carduelis flammea / hornemanni,yes,Redpoll (Common/Hoary),Acanthis flammea [flammea Group/hornemanni/exilipes],NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,NA,yes,35280,Acanthis flammea,Redpoll
Acanthis flammea hornemanni/exilipes; Acanthis hornemanni,Redpoll (Hoary); Hoary Redpoll,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,5270,Hoary Redpoll,Passeriformes,Fringillidae,Acanthis hornemanni,yes,Redpoll (Hoary),Acanthis flammea hornemanni/exilipes,tundra of northern Eurasia and northern North America,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,NA,yes,35280,Acanthis flammea,Redpoll
Accipiter striatus,Sharp-shinned Hawk,Accipiter striatus,Sharp-shinned Hawk,ACCIPITRIFORMES,Accipitridae,NA,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; nea; SAM; US48; USak,yes,3320,Sharp-shinned Hawk,Accipitriformes,Accipitridae,Accipiter striatus,yes,Sharp-shinned Hawk,Accipiter striatus,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,NA,yes,3320,Accipiter striatus,Sharp-shinned Hawk
Acridotheres tristis,Common Myna,Acridotheres tristis,Common Myna,PASSERIFORMES,Sturnidae,Uncertain origin,Introduced species,NA,Introduced species,NA,AFR; ASI; AUS; CA; CAR; hol; MID; NAM; nea; OCE; oin; PAC; pal; US48; UShi,yes,4932,Common Myna,Passeriformes,Sturnidae,Acridotheres tristis,yes,Common Myna,Acridotheres tristis,NA,Sturnidae (Starlings),Passeriformes,yes,Uncertain origin; Introduced species,yes,4932,Acridotheres tristis,Common Myna
Actitis hypoleucos,Common Sandpiper,Actitis hypoleucos,Common Sandpiper,CHARADRIIFORMES,Scolopacidae,NA,NA,NA,NA,Rare/Accidental,AFR; ASI; AUS; EUR; hol; MID; NAM; nea; OCE; PAC; pal; USak; UShi; XX,yes,2631,Common Sandpiper,Charadriiformes,Scolopacidae,Actitis hypoleucos,yes,Common Sandpiper,Actitis hypoleucos,"Palearctic; winters to southern Africa, central Asia, Philippines, and Australia",Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Rare/Accidental,yes,2631,Actitis hypoleucos,Common Sandpiper
Actitis macularius,Spotted Sandpiper,Actitis macularius,Spotted Sandpiper,CHARADRIIFORMES,Scolopacidae,NA,NA,NA,NA,NA,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,2630,Spotted Sandpiper,Charadriiformes,Scolopacidae,Actitis macularius,yes,Spotted Sandpiper,Actitis macularius,breeds North America; winters to southern South America,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,NA,yes,2630,Actitis macularius,Spotted Sandpiper
Aechmophorus clarkii,Clark's Grebe,Aechmophorus clarkii,Clark's Grebe,PODICIPEDIFORMES,Podicipedidae,NA,NA,NA,NA,NA,CA; CAM; hol; NAM; nea; US48,yes,11,Clark's Grebe,Podicipediformes,Podicipedidae,Aechmophorus clarkii,yes,Clark's Grebe,Aechmophorus clarkii,NA,Podicipedidae (Grebes),Podicipediformes,yes,NA,yes,11,Aechmophorus clarkii,Clark's Grebe
Aechmophorus occidentalis,Western Grebe,Aechmophorus occidentalis,Western Grebe,PODICIPEDIFORMES,Podicipedidae,NA,NA,NA,NA,NA,CA; CAM; hol; NAM; nea; US48; USak,yes,10,Western Grebe,Podicipediformes,Podicipedidae,Aechmophorus occidentalis,yes,Western Grebe,Aechmophorus occidentalis,NA,Podicipedidae (Grebes),Podicipediformes,yes,NA,yes,10,Aechmophorus occidentalis,Western Grebe
Aechmophorus occidentalis/clarkii,Western/Clark's Grebe; unid. Western Grebe/Clark's Grebe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,12,unid. Western Grebe / Clark's Grebe,Podicipediformes,Podicipedidae,Aechmophorus occidentalis / clarkii,yes,Western/Clark's Grebe,Aechmophorus occidentalis/clarkii,NA,Podicipedidae (Grebes),Podicipediformes,yes,NA,yes,12,Aechmophorus occidentalis/clarkii,Western/Clark's Grebe
