scientific_name_clements2024.combo,common_name_clements2024.combo,AOU_bbs2024.combo,scientific_name_clements2024,common_name_clements2024,scientific_name_bbs2024,AOU_bbs2024,in_bbs2024
Acanthis flammea,Redpoll,35280,Acanthis flammea,Redpoll,Acanthis flammea,5280,yes
Acanthis flammea,Redpoll,35280,Acanthis flammea [flammea Group/hornemanni/exilipes],Redpoll (Common/Hoary),Carduelis flammea / hornemanni,5275,yes
Acanthis flammea,Redpoll,35280,Acanthis flammea hornemanni/exilipes,Redpoll (Hoary),Acanthis hornemanni,5270,yes
Accipiter striatus,Sharp-shinned Hawk,3320,Accipiter striatus,Sharp-shinned Hawk,Accipiter striatus,3320,yes
Acridotheres tristis,Common Myna,4932,Acridotheres tristis,Common Myna,Acridotheres tristis,4932,yes
Actitis hypoleucos,Common Sandpiper,2631,Actitis hypoleucos,Common Sandpiper,Actitis hypoleucos,2631,yes
Actitis macularius,Spotted Sandpiper,2630,Actitis macularius,Spotted Sandpiper,Actitis macularius,2630,yes
Aechmophorus clarkii,Clark's Grebe,11,Aechmophorus clarkii,Clark's Grebe,Aechmophorus clarkii,11,yes
Aechmophorus occidentalis,Western Grebe,10,Aechmophorus occidentalis,Western Grebe,Aechmophorus occidentalis,10,yes
Aechmophorus occidentalis/clarkii,Western/Clark's Grebe,12,Aechmophorus occidentalis/clarkii,Western/Clark's Grebe,Aechmophorus occidentalis / clarkii,12,yes
Aegolius acadicus,Northern Saw-whet Owl,3720,Aegolius acadicus,Northern Saw-whet Owl,Aegolius acadicus,3720,yes
Aegolius funereus,Boreal Owl,3710,Aegolius funereus,Boreal Owl,Aegolius funereus,3710,yes
Aeronautes saxatalis,White-throated Swift,4250,Aeronautes saxatalis,White-throated Swift,Aeronautes saxatalis,4250,yes
Aerospiza/Tachyspiza/Accipiter/Astur sp.,Accipitrine hawk sp. (former Accipiter sp.),3333,Aerospiza/Tachyspiza/Accipiter/Astur sp.,Accipitrine hawk sp. (former Accipiter sp.),Accipiter sp.,3333,yes
Aethia cristatella,Crested Auklet,NA,Aethia cristatella,Crested Auklet,NA,NA,no
Aethia psittacula,Parakeet Auklet,NA,Aethia psittacula,Parakeet Auklet,NA,NA,no
Aethia pusilla,Least Auklet,NA,Aethia pusilla,Least Auklet,NA,NA,no
Aethia pygmaea,Whiskered Auklet,NA,Aethia pygmaea,Whiskered Auklet,NA,NA,no
