common_name,scientific_name,status,order,family,region,in_LaSelva-Barva_studies?,previously_done?,recorder,entry_dates,BOW_citation,Notes
Highland Tinamou,Nothocercus bonapartei,,TINAMIFORMES,Tinamidae,CRhe,,,Liz Bauer,5/27/26-5/29/26,"Gomes, V. and G. M. Kirwan (2020). Highland Tinamou (Nothocercus bonapartei), version 1.0. In Birds of the World (T. S. Schulenberg, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.higtin1.01",
Great Tinamou,Tinamus major,,TINAMIFORMES,Tinamidae,CRhe,yes,Prev_Tinamus_major_CR_LB,Caroline Roche; Liz Bauer,9/18/24; 5/19/26,"Cabot, J., F. Jutglar, E. Garcia, P. F. D. Boesman, and C. J. Sharpe (2020). Great Tinamou (Tinamus major), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.gretin1.01 ",Likely incomplete sheet; only collected data from BOW
Little Tinamou,Crypturellus soui,,TINAMIFORMES,Tinamidae,CRhe,,Prev_Crypturellus_soui_AF_LB,Ava Fountain; Liz Bauer,09/18/2024; 5/20/26,"Dema L, T., M. F. Ramos-Ordoñez, R. Bribiesca-Formisano, C. I. Rodríguez-Flores, C. A. Soberanes-González, and M. d. C. Arizmendi (2020). Little Tinamou (Crypturellus soui), version 1.0. In Birds of the World (T. S. Schulenberg, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.littin1.01 ",Likely incomplete sheet; only collected data from BOW
Slaty-breasted Tinamou,Crypturellus boucardi,Vulnerable,TINAMIFORMES,Tinamidae,CRhe,,Prev_Crypturellus_boucardi_AF_LB,Ava Fountain; Liz Bauer,09/18/2024; 5/20/26,"Gomes, V., R. Bribiesca-Formisano, C. I. Rodríguez-Flores, C. A. Soberanes-González, and M. d. C. Arizmendi (2020). Slaty-breasted Tinamou (Crypturellus boucardi), version 1.0. In Birds of the World (T. S. Schulenberg, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.slbtin1.01 ",Likely incomplete sheet; only collected data from BOW
White-faced Whistling-Duck,Dendrocygna viduata,Extirpated,ANSERIFORMES,Anatidae,CRhe,,,Liz Bauer,5/29/26-,,
Black-bellied Whistling-Duck,Dendrocygna autumnalis,,ANSERIFORMES,Anatidae,CRhe,,none,,,,
Muscovy Duck,Cairina moschata,,ANSERIFORMES,Anatidae,CRhe,,Prev_Cairina_moschata_IH_EP,India Hirschowitz/Emily Parker,11/10/2023,"Eitniear, J. C., R. Bribiesca-Formisano, C. I. Rodríguez-Flores, C. A. Soberanes-González, and M. d. C. Arizmendi (2020). Muscovy Duck (Cairina moschata), version 1.0. In Birds of the World (T. S. Schulenberg, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.musduc.01 ",Likely incomplete sheet; only collected data from BOW
Blue-winged Teal,Spatula discors,,ANSERIFORMES,Anatidae,CRhe,,Prev_Spatula_discors_EP.csv,Emily Parker,11/23/2022,"Rohwer, F. C., W. P. Johnson, and E. R. Loos (2020). Blue-winged Teal (Spatula discors), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.buwtea.01","Likely incomplete sheet and unable to find original sheet avain_intxn_data, so a copy was downloaded from Github and added to this Drive. Was found in L0/species and does not appear checked. "
Cinnamon Teal,Spatula cyanoptera,Rare/Accidental,ANSERIFORMES,Anatidae,CRhe,,Prev_Spatula_discors_EP.csv,Emily Parker,11/23/2022,"Gammonley, J. H. (2020). Cinnamon Teal (Spatula cyanoptera), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.cintea.01","Likely incomplete sheet and unable to find original sheet avain_intxn_data, so a copy was downloaded from Github and added to this Drive. Was found in L0/species and does not appear checked. "
Northern Shoveler,Spatula clypeata,,ANSERIFORMES,Anatidae,CRhe,,Prev_Spatula_clypeata_GD_EP,Giovanni DePasquale/Emily Parker,9/15/23; 10/20/2023,"Dubowy, P. J., C. Carboneras, and G. M. Kirwan (2020). Northern Shoveler (Spatula clypeata), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.norsho.01 ",Likely incomplete sheet; only collected data from BOW
American Wigeon,Mareca americana,,ANSERIFORMES,Anatidae,CRhe,,Prev_Mareca_americana_EP.csv,Emily Parker,11/30/2022,"Mini, A. E., E. R. Harrington, E. Rucker, B. D. Dugger, and T. B. Mowbray (2020). American Wigeon (Mareca americana), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.amewig.01","Likely incomplete sheet and unable to find original sheet avain_intxn_data, so a copy was downloaded from Github and added to this Drive. Was found in L0/species and does not appear checked. "
Northern Pintail,Anas acuta,,ANSERIFORMES,Anatidae,CRhe,,none,,,,
Green-winged Teal,Anas crecca,Rare/Accidental,ANSERIFORMES,Anatidae,CRhe,,Prev_Anas_crecca.csv,India Hirschowitz/Emily Parker,11/30/2022-12/1/2022,"Johnson, K., C. Carboneras, D. A. Christie, and G. M. Kirwan (2020). Green-winged Teal (Anas crecca), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.gnwtea.01","Likely incomplete sheet and unable to find original sheet avain_intxn_data, so a copy was downloaded from Github and added to this Drive. Was found in L0/species and does not appear checked. "
Ring-necked Duck,Aythya collaris,,ANSERIFORMES,Anatidae,CRhe,,Prev_Aythya_collaris_IH_EP,India Hirschowitz/Emily Parker,12/6/2022-01/9/2022; 1/13/2023,"Roy, C. L., C. M. Herwig, W. L. Hohman, and R. T. Eberhardt (2020). Ring-necked Duck (Aythya collaris), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.rinduc.01",Likely incomplete sheet; only collected data from BOW
Lesser Scaup,Aythya affinis,,ANSERIFORMES,Anatidae,CRhe,,Prev_Aythya_affinis_JZ_EP,Jordan Zapata/Emily Parker,12/23/2022-1/6/2023; 1/9/2023,"Anteau, M. J., J. DeVink, D. N. Koons, J. E. Austin, C. M. Custer, and A. D. Afton (2020). Lesser Scaup (Aythya affinis), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.lessca.01",Likely incomplete sheet; only collected data from BOW
Masked Duck,Nomonyx dominicus,,ANSERIFORMES,Anatidae,CRhe,,Prev_Nomonyx_dominicus_GD_EP,Giovanni DePasquale/Emily Parker,4/5/2024; 4/17/24,"Eitniear, J. C. (2020). Masked Duck (Nomonyx dominicus), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.masduc.01",Likely incomplete sheet; only collected data from BOW. Duplicate sheets found in avain_intxn_data but this version was checked. 
