Habitat,Habitat subtype,Description,Notes
forest,NA,"Forest consists of a continuous stand of trees and includes both Includes primary and secondary forest habitats and forest edges/margins, forested areas (generally with a closed canopy) and wooded areas",NA
forest,boreal,"Boreal Forest Distributed across the high latitudes of the northern hemisphere (occurring between 50 and 60° N) in a broad belt across Eurasia and North America. Trees are predominantly coniferous (pine, fir and spruce), though a few deciduous genera are nearly ubiquitous in their distribution and are locally common (see 1.4). Includes forest types described as taiga, coniferous, coniferous deciduous, and broadleaved deciduous.",NA
forest,subarctic,Included for completeness sake - probably little forest occurs at these high latitudes.,NA
forest,subantarctic,"Stunted forest on subantarctic islands. Forest on Auckland and Snares Islands (to New Zealand), bosques sub-antárticos (Argentina).",NA
forest,temperate,"Distributed in the temperate regions (under the influence of moist continental climates) of North and South America (primarily Chile), Europe, Asia (China/Korea/Japan) and Australia/New Zealand. Includes forest types described as coniferous, broadleaved evergreen, broadleaved deciduous, and mixed; also riverine and alluvial. The deciduous trees shed their leaves in the winter season. In the northern hemisphere, the coniferous (or needleleaf evergreen) component increases towards the north where the mixed forest transitions to Boreal Forest (see 1.1). Includes Mediterranean forests but these might also be placed under 1.5 [needs resolution] and pine-oak forests found in Mexico and the southern US.",NA
forest,subtropical-tropical dry,"Distributed in the subtropical/tropical regions of the Neotropics, Africa and Indo-Malesia. Typically forests that experience a dry season of several months. Includes forest types described as deciduous, makatea, atoll/beach, palm, thorn and spiny; Florida rockland hammocks, pune rocklands, marine hammocks, shellmounds (last 4 from SE USA); bosque chaco, espinal, bosque de algarrobo/prosopis (Argentina, Paraguay, Uruguay); forest in the seasonally dry inter- Andean valleys.",NA
forest,subtropical-tropical moist lowland,"Distributed in the subtropical/tropical regions of the Neotropics, Africa Bamboo forests found at these elevations and conditions are included here Lowland Forest and Indo-Malesia, generally below c.1,200 m (but varying with geography and topography). Includes (lowland/hill rain/wet/humid/moist) forest types described as evergreen or semi-evergreen or broadleaved evergreen, deciduous, dipterocarp and mixed; also riparian/riverine and gallery, Sierra maestra se Cuba, selva paranaense, bosque de quebrada, bosque sammofilo (Uruguay)",NA
forest,subtropical-tropical mangrove vegetation above high tide level,"Distributed in the subtropics and tropics, growing in sheltered Species are above the high tide level - see 12.7. Forest Vegetation Above High Tide estuaries and along coastlines in brackish or salt water Level",NA
forest,subtropical-tropical swamp,"Distributed in the subtropics and tropics. Typically flooded for at least Forest part of the year and dependent on this flooding for its existence. Includes forest types described as peat swamp, bog, and varzea/igapo.",NA
forest,subtropical-tropical moist montane,"Distributed in the subtropical/tropical regions of the Neotropics, Africa Bamboo forests found at these elevations and conditions are included here Montane Forest and Indo-Malesia, generally above c.1,200 m (but varying with geography and topography). Includes (lower and upper montane/mountain rain/wet/moist) forest types described as cloud, mossy, elfin, dwarf, Polylepis, coniferous, pine, pine-oak and evergreen, mesophyllous, yungas (to Peru/Bolivia/Argentina).",NA
savanna,NA,"Savannas are transitional between grasslands and forests. They are ecosystems dominated by a grass ground cover with an overstorey of widely spaced trees and shrubs. May be referred to as savanna woodlands, savanna parklands, savanna grasslands, low tree/shrub savannas, thicket/scrub savannas. Distributed largely in Africa, Australia (mostly northern), Asia (India, SE Asia) and South America.",NA
savanna,dry,"Includes savanna types described as Eucalyptus and Acacia woodland, mopane/miombo/Brachystegia woodlands (Africa), cerrado/campos/caatinga (Brazil, Guiana), chaco seco (Argentina/Uruguay) and mulga (Australia), oak woodlands (mid- western USA)",NA
savanna,moist,"Includes savanna types described as pantanal (Brazil/Bolivia/Paraguay), chaco or chaco húmedo (Paraguay/Bolivia/Argentina), and llanos (Venezuela/Colombia).",NA
shrubland,NA,"Also referred to as scrub, bushland and thicket.",NA
shrubland,subarctic,NA,NA
shrubland,subantarctic,NA,NA
shrubland,boreal,NA,NA
shrubland,temperate,"Includes semi-deserts dominated by shrubs, coastal beach shrublands",NA
shrubland,subtropical-tropical dry,"Includes (arid/semi-desert/dry) shrubland types described as succulent, thorn or thorn scrub, karoo, strandveld (South Africa), Kalahari (Botswana, Namibia, South Africa), restingas (coastal scrub in Brazil); coastal strand; xerophyllous scrub; chapparal (Mexico and SW US); enclave, matorral sammofilo, matorral seco (Argentina, Paraguay, Uruguay).",NA
shrubland,subtropical-tropical moist,"Humid/semi-humid shrubland types described as evergreen and Shrubland found mainly on the lowlands Includes vegetation on river islands and in the riparian zones; matorral húmedo (Argentina, Paraguay, Uruguay)",NA
shrubland,subtropical-tropical high altitude,"Alpine/subalpine shrubland types around and above the tree-line in Altitude Shrubland mountainous regions. Some of the shrublands are dominated by rhododendron, juniper or birch; prepuna (Argentina, Paraguay, Uruguay).",NA
shrubland,mediterranean-type shrubby vegetation,"Distributed in Mediterranean ecosystems of Australia, Chile, Vegetation Europe/North Africa, North America (primarily California) and South Africa. Evergreen shrubs and sclerophyllous trees (low in stature with a relatively open canopy) are the dominant plant forms, and frequent fires have historically played an important role in regulating community composition and structure. The areas are characterized by warm dry summers. Includes shrubland types described as garrigue, chaparral (California), maquis (Mediterranean), mallee or mallee scrub (Australia), matorral (Chile) and fynbos (South Africa).",NA
grassland,NA,"Grasslands occur in regions with warm growing seasons and moderate water shortages. Native grasslands are comprised of grasses and broadleaved herbaceous plants, and are either without woody plants, or the latter are very sparsely distributed (see also 2. Savanna).",NA
grassland,tundra,Grasslands which have developed over permafrost. Confined to the northern hemisphere where it encircles the north pole and extends south to the Boreal Forests. The area is characterized by its extremely cold desert-like conditions.,NA
grassland,subarctic,NA,NA
grassland,subantarctic,Tussock grassland on subantarctic islands.,NA
grassland,temperate,"Includes grassland types described as prairies (North America); steppe (Eurasia); calcareous; siliceous; edaphic; pampa or pampas (South America); pastizal patagónico, patagonia, pastizal pampeano (Argentina).",NA
grassland,subtropical-tropical dry,"Includes (arid/dry) grassland types described as hummock/tussock (Australia); estepa (Argentina, Paraguay, Uruguay).",NA
grassland,subtropical-tropical seasonally wet-flooded,NA,NA
grassland,subtropical-tropical high altitude,"Sometimes also referred to as alpine tundra. The night time Altitude Grassland temperatures are usually below freezing, but the soils are well- drained. Includes (alpine/subalpine/highveld) grassland types described as paramos, altiplanos, puna, pastizal de altura.",NA
wetlands-inland,NA,"Inland wetlands correspond to the wetland types recognized by Ramsar. Note that other aquatic habitats are dealt with under other habitats (see 1. Forest, 4. Grassland, 9-12. Marine, 13. Coastal and 15. Artificial).",NA
wetlands-inland,premanent rivers/streams/creeks,Includes waterfalls.,NA
wetlands-inland,seasonal/intermittent/irregular rivers/streams/creeks,NA,NA
wetlands-inland,shrub dominated wetlands,"Shrub swamps, shrub-dominated freshwater marshes, shrub carr, alder thicket on inorganic soils.",NA
wetlands-inland,bogs/marshes/swamps/fens/peatlands,"Generally over 8 ha. Also includes mires. Excludes saline marshes (see 5.16 and 5.17). Note that the size difference Peatlands between marshes coded here versus under 5.7 or 5.8. Bogs are peat-accumulating systems fed only by rainwater and thus have very low nutrient levels. They are usually strongly acidic, and water flow is restricted. The water table is either at or just below the surface and remains relatively constant. Fens have a predominantly peat substrate, but the peat is shallower and more decomposed than bogs. They are fed by both rain and groundwater resulting in low to moderate nutrient and acidity levels. The water table is typically just below the peat surface but there are small noticeable fluctuations. Swamps are relatively high in nutrients supplied via surface runoff and groundwater from the surrounding land. The water table is usually above some of the ground surface, but there are large, seasonal fluctuations. Marshes are characterized by large periodic fluctuations of water table or water level.",NA
wetlands-inland,premanent freshwater lakes,Over 8 ha. Includes large oxbow lakes (see 13.5). Includes Caspian Sea,NA
wetlands-inland,seasonal/intermittent freshwater lakes,Over 8 ha. Includes floodplain lakes (see 13.5),NA
wetlands-inland,permanent freshwater marshes/pools,"(below 8 ha), marshes and swamps on inorganic soils; with emergent vegetation water-logged for at least most of the growing season.",NA
wetlands-inland,seasonal/intermittent freshwater marshes/pools,"Below 8 ha. On inorganic soils; includes sloughs, potholes, seasonally flooded meadows, sedge marshes",NA
wetlands-inland,freshwater springs and oases,NA,NA
wetlands-inland,tundra wetlands,Includes tundra pools and temporary waters from snowmelt.,NA
wetlands-inland,alpine wetlands,"Includes alpine meadows, seepages, temporary waters from snowmelt.",NA
wetlands-inland,geothermal wetlands,Wetlands influenced by heated geothermal water or chemistry derived from current or former geothermal activity. Often found in volcanically active areas.,NA
wetlands-inland,permanent inland deltas,"Created by a river dividing into multiple branches, these usually rejoin and continue to the sea. They often occur on former lake beds. In some cases a river flowing into a flat arid area splits into channels which then evaporate as it progresses into the desert. The Inner Niger Delta and Peace–Athabasca Delta are notable examples. The Amazon has an inland delta before the island of Marajó and the Okavango Delta is the best example of a desert inland delta .",NA
wetlands-inland,permanent saline/brackish or alkaline lakes,NA,NA
wetlands-inland,seasonal/intermittent saline/brackish or alkine lakes and flats,NA,NA
wetlands-inland,permanent saline/brackish or alkaline marshes/pools,NA,NA
wetlands-inland,seasonal/intermittent saline/brackish or alkaline marshes/pools,Salinas in South America,NA
wetlands-inland,karst and other subterranean hydrological systems,NA,NA
rocky areas,NA,"Includes inland cliffs, mountain peaks, talus, feldmark.",NA
caves and subterranean habitats- non-aquatic,caves,"Underground spaces produced naturally by the weathering of rock. Can extend deep underground, or can be much smaller rock",NA
caves and subterranean habitats- non-aquatic,other,NA,NA
desert,NA,"Desert consists of arid landscapes with a sparse plant cover, except in depressions where water accumulates. The sandy, stony or rocky substrate contributes more to the appearance of the landscape than does the vegetation.",NA
desert,hot,"Deserts where the main form of precipitation is rain, thus would include the Arabian Desert; various Australian deserts - Great Sandy, Victoria, Simpson, Gibson and Sturt; Sahara; and the Thar in India",NA
desert,temperate,"Not clear, but might include the Takla Makan Desert in China, and the desert areas of Turkestan and possibly the Iranian Desert",NA
desert,cold,"Deserts where the main form of precipitation is snow or fog, and thus would include the Atacama Desert (Peru and Chile), Gobi Desert (China and Mongolia), Namib Desert (Namibia and bit of South Africa), Antarctica and parts of the Arctic",NA
marine-neritic,NA,"Submergent (below extreme low tide), nearshore, on or over the continental shelf or oceanic island shelf. [Continental shelf is the expanded perimeter of each continent, which is gently sloping and covered by relatively shallow seas (typically limited to a depth of around 200 m) or embayments. The shelf usually ends at a point of increasing slope (called the shelf break)].",NA
marine-neritic,pelagic,"The division of the marine environment composed of all the ocean’s water; living in the water column, away from the bottom",NA
marine-neritic,subtidal rock and rocky reefs,"Bottom habitat consisting predominantly of boulders (any loose rock larger than 256 mm in diameter) or consolidated rock (includes submerged coastal karst systems, but see 12.1",NA
marine-neritic,subtidal loose rock/pebble/gravel,Bottom habitat consisting predominantly of unconsolidated cobbles (sediment size 64 to 256 mm diameter) and pebbles (sediment size 2 to 64 mm diameter).,NA
marine-neritic,subtidal sandy,Bottom habitat consisting of loose particles of rock or mineral sediments (predominantly ranges in size from 0.0625–2.0 mm in diameter).,NA
marine-neritic,subtidal sandy-mud,Bottom habitat consisting predominantly of a mixture of sandy (see 9.4) and muddy (see 9.6) sediment types.,NA
marine-neritic,subtidal muddy,Bottom habitat consisting of wet clay (any particle smaller than 0.002 mm in diameter) and silt-rich sediment (silt consists of loose particles of rock or mineral (sediment) that ranges in size from 0.002–0.0625 mm in diameter).,NA
marine-neritic,macroalgal/kelp,"Bottom habitat consisting predominantly of large algae, typically brown algae, which often forms dense macroalgal beds or forests.",NA
marine-neritic,coral reef,"Massive limestone structure built up through the cementing and Note that the coral habitats listed here refer primarily to habitats found below depositional activities of colonial stony corals, predominantly of the water. The unvegetated coral habitat found above sea-level is not specifically order Scleractinia, and other calcareous invertebrate and algal included in this classification, hence for the interim this habitat can be recorded as species. 9.8 [also need to consider use of 12.1 or 13.1 for such cases]. If it has been colonized by plants, one of the other appropriate habitat types should be used. Note, it is not mandatory to code the coral habitats to the third-level.",NA
marine-neritic,coral reef- outer reef channel,Coral reef habitat on the foreslope (see 9.8.3) within or around the surge channels (spur and groove formations).,NA
marine-neritic,coral reef- foreslope/outer reef slope,"The area opposite of the foreslope (see 9.8.3), also referring to the reef flat or inner part of a barrier reef or atoll. (Outer Reef The outer, seaward margin of a coral reef, also referring to the Slope) seaward side of a barrier reef or atoll.",NA
marine-neritic,coral reef- lagoon,"A shallow (less than a depth of 200 m), sheltered body of water separated from the open sea by coral reefs; also refers to the area between the shore and a fringing reef, between the coast and a barrier reef, or the portion of an atoll surrounded by the reef.",NA
marine-neritic,coral reef- inter-reef soft substrate,"Area between reefs typically consisting of sandy substrate (see 9.4), but sometimes also with clay or silt sediments (see 9.5 and 9.6).",NA
marine-neritic,coral reef- inter-reef rubble substrate,Area between reefs consisting predominantly of coral or calcareous fragments.,NA
marine-neritic,seagrass- submerged,"A bottom habitat consisting predominantly of grass-like marine flowering plants that grow and reproduce while submerged in seawater, such as eelgrass and turtle grass.",NA
marine-neritic,estuaries,A semi-enclosed coastal embayment where fresh water and seawater meet and mix.,NA
marine-oceanic,NA,The pelagic habitat deeper than and beyond the continental or island shelf (see 9.0 and 9.1).,NA
marine-oceanic,epipelagic (0-200m),The oceanic pelagic environment from the surface to a depth of around 200 m; also refers to the lighted or photic pelagic zone.,NA
marine-oceanic,mesopalgic (200-1000m),"Uppermost oceanic pelagic aphotic zone from a depth of approximately 200 to 1,000 m.",NA
marine-oceanic,bathypelagic (1000-4000m),"Pelagic aphotic zone lying between the mesopelagic and abyssalpelagic zones between 1,000 to 4,000 m.",NA
